retirobaixo,tresmarias,queimado,sobradinho,itaparica,pamx,xingo,serradamesa,canabrava,peixeangelical,lajeado,estreito,tucurui,saosalvador
83,401,42,2003,2047,2063,2063,422,484,816,1214,3144,9888,533
72,306,33,1476,1513,1526,1526,288,331,524,741,1687,4211,360
61,217,29,1260,1273,1280,1280,217,251,402,562,1211,2614,276
54,192,24,993,1043,1059,1059,163,189,322,460,1070,2001,216
58,196,23,844,830,845,845,142,165,286,409,1037,1794,190
77,285,37,1173,1104,1086,1086,278,321,475,649,1214,1948,334
128,575,44,1967,1882,1844,1844,394,459,723,965,2065,2885,495
480,1837,121,3057,2808,2732,2732,1225,1387,2328,3098,4479,5571,1503
256,1680,86,5658,5591,5568,5568,1250,1412,2344,3362,5816,15237,1546
210,1161,87,6556,6736,6747,6747,1320,1490,2864,4079,7310,18315,1636
116,569,52,3462,3854,3959,3959,679,773,1515,2427,5946,19080,886
76,334,45,1684,1746,1766,1766,490,560,1018,1539,4438,13466,635
64,248,37,1401,1446,1459,1459,354,406,818,1300,3605,10780,484
57,206,32,1119,1136,1142,1142,246,283,492,730,1946,5448,322
53,164,27,991,1002,1007,1007,192,223,383,558,1484,3753,254
48,165,23,898,912,916,916,149,174,310,452,1038,2840,203
40,154,18,801,809,811,811,118,138,266,398,857,2122,169
42,165,25,712,721,725,725,107,124,244,369,828,1775,153
56,212,32,946,872,850,850,272,313,487,669,1544,2245,338
40,163,33,1106,1162,1181,1181,398,455,780,1083,2425,2764,502
271,1175,104,3543,3389,3250,3250,2402,2681,4845,6247,10384,14122,2756
395,1686,87,7732,7972,7989,7989,2290,2568,5464,8082,13851,27222,2863
181,635,62,5284,5906,6056,6056,1000,1133,2568,4142,8943,26347,1348
107,333,47,2569,2843,3020,3020,734,834,1998,3230,6828,21821,1025
81,281,41,1566,1675,1702,1702,496,567,1094,1696,3844,13960,657
59,184,28,1166,1203,1216,1216,320,368,668,1018,2289,6685,423
61,214,31,1019,1027,1030,1030,242,280,496,740,1616,3799,322
48,155,25,924,943,949,949,181,210,381,570,1311,2636,246
38,119,26,734,750,755,755,124,145,297,460,1065,1963,183
69,368,36,878,830,814,814,259,298,545,777,1429,3072,348
161,705,61,2855,2625,2536,2536,574,657,1455,2223,2738,4988,792
259,1074,54,4250,4168,4130,4130,1045,1212,2343,3549,5967,9210,1354
384,1739,91,5188,5208,5208,5208,983,1128,2295,3374,5287,10992,1284
575,2545,67,5056,5031,5053,5053,1106,1263,2365,3551,6044,15554,1389
438,2504,89,5560,5487,5467,5467,1348,1503,3214,4614,8603,20714,1715
211,994,126,5836,6117,6250,6250,1276,1423,3452,5501,10620,27347,1709
156,628,35,2872,3078,3170,3170,643,739,1433,2276,4830,19620,845
111,390,39,1837,1899,1921,1921,411,480,854,1290,2742,8498,542
91,299,37,1510,1530,1537,1537,305,360,622,926,2006,4346,405
78,247,25,1269,1296,1306,1306,225,267,467,689,1593,3023,306
63,187,22,1053,1080,1089,1089,165,197,362,541,1326,2448,233
138,592,33,1430,1323,1294,1294,480,566,868,1171,2056,2767,594
214,886,51,2663,2544,2503,2503,748,867,1436,1929,3025,4475,924
248,1131,49,4170,4135,4135,4135,823,948,2126,3413,4900,9054,1132
598,2371,94,4402,4205,4210,4210,1041,1184,2531,3771,6052,12681,1367
414,1986,126,6188,6121,6098,6098,3591,3929,6341,8155,11888,21641,4193
285,1411,77,6708,6772,6788,6788,2025,2243,4588,6665,9155,24546,2475
173,785,63,4287,4896,5026,5026,965,1098,2609,4127,6100,22346,1333
138,587,52,2625,2731,2774,2774,649,780,1311,1974,3411,13244,842
107,440,42,1908,1969,1990,1990,413,489,848,1269,2389,6992,546
86,373,36,1513,1576,1580,1580,317,373,631,926,1739,3966,415
74,296,30,1330,1390,1402,1402,248,284,493,726,1304,2775,323
65,229,25,1081,1207,1213,1213,207,238,424,624,1172,2249,276
100,389,31,1200,1181,1170,1170,353,408,635,870,1458,2494,437
191,788,37,1911,1817,1788,1788,376,439,746,1070,2199,3602,486
264,1344,65,2532,2434,2408,2408,770,893,1502,2030,3793,5655,945
404,1932,58,5105,5052,5023,5023,755,866,1659,2624,4931,10164,973
377,1947,67,4685,4706,4693,4693,1078,1232,2747,4106,6598,12990,1460
239,1260,79,4016,4438,4455,4455,1119,1289,2654,3973,8484,19060,1463
154,873,61,3596,4490,4578,4578,847,958,2177,3456,8727,21671,1152
113,522,45,2453,2815,2863,2863,494,560,1121,1806,4548,14806,659
93,448,36,1537,1573,1586,1586,337,381,700,1071,2606,6791,440
82,367,30,1296,1318,1325,1325,249,288,519,780,1813,3675,333
66,279,24,1135,1150,1155,1155,184,211,410,630,1450,2544,256
56,257,21,968,983,989,989,146,159,356,570,1214,2047,210
74,286,19,887,895,899,899,168,183,377,597,1295,2070,228
193,919,40,1703,1522,1465,1465,398,469,1040,1607,2754,3381,583
242,1260,73,3911,3804,3770,3770,754,870,1765,2550,3983,5967,981
244,1333,45,5561,5491,5478,5478,652,754,1618,2650,5341,11094,919
201,1265,102,4444,4677,4871,4871,1254,1458,3547,4968,8017,14290,1717
193,1309,85,6495,6743,6702,6702,2125,2427,5751,8739,14811,31792,2789
130,655,60,5090,5480,5634,5634,886,1018,2093,3247,6080,25773,1171
88,431,44,2309,2478,2529,2529,516,600,1161,1819,4007,15861,694
76,334,37,1641,1672,1685,1685,359,422,770,1175,2488,7219,484
65,304,32,1430,1449,1456,1456,267,317,577,875,1831,3925,367
62,277,28,1307,1316,1319,1319,216,258,465,695,1464,2722,300
68,279,25,1238,1252,1254,1254,205,245,431,635,1281,2306,281
90,423,24,1298,1213,1199,1199,275,325,525,736,1483,2305,355
99,388,46,1760,1694,1675,1675,596,709,1889,2620,3681,3335,908
262,1154,65,4453,4329,4246,4246,1272,1473,3748,5940,8737,14533,1777
168,832,42,2837,3020,3209,3209,826,962,2290,3567,5839,13201,1168
138,825,64,3950,3845,4203,4203,1638,1850,3469,5105,7805,17776,2005
114,532,67,3851,3977,4531,4531,1383,1578,3321,5139,8748,21762,1797
84,359,41,2322,2522,2786,2786,666,769,1514,2389,5010,18974,892
65,269,35,1656,1686,1697,1697,514,599,1219,1920,3744,10365,704
64,263,27,1233,1263,1275,1275,354,415,708,996,2256,5059,455
53,214,23,1107,1121,1125,1125,251,298,569,790,1627,3214,344
47,144,19,987,1001,1006,1006,197,236,470,625,1260,2264,274
43,150,16,841,852,857,857,175,211,429,535,1126,1958,247
89,335,22,905,865,856,856,217,259,490,604,1290,2026,293
197,1174,75,2631,2295,2183,2183,793,895,1323,1673,2644,2991,963
270,1270,109,4879,4880,4842,4842,1452,1655,3378,4523,5712,6717,1817
289,1359,138,5959,6149,6132,6132,2369,2676,5537,7720,10883,14143,2901
180,987,79,6441,6442,6437,6437,1734,1960,4054,6145,9612,21598,2187
120,656,100,4717,5143,5226,5226,2177,2450,4963,7286,11721,28261,2682
109,596,67,2574,2650,2683,2683,1338,1505,2432,3438,5614,21671,1572
75,306,50,1899,2012,2051,2051,681,783,1331,1940,3610,14254,861
64,215,41,1428,1455,1463,1463,454,533,885,1242,2331,5623,581
58,207,36,1273,1282,1285,1285,348,416,688,911,1752,3317,451
53,201,31,1098,1115,1121,1121,272,329,561,706,1364,2411,360
63,297,31,1060,1060,1060,1060,260,312,523,627,1234,2046,337
92,445,39,1561,1495,1473,1473,385,457,758,975,1881,2520,492
137,610,50,2982,2781,2712,2712,687,811,1530,1963,3231,5194,879
101,328,42,2702,2844,2897,2897,529,635,1167,1721,3282,4994,711
64,221,32,1650,1713,1737,1737,468,564,974,1392,3078,5249,615
49,219,30,1436,1470,1474,1474,493,597,1120,1641,3688,7690,670
65,287,34,1755,1780,1759,1759,600,712,1523,2258,4415,10743,822
45,157,27,1407,1732,1733,1733,607,728,1575,2687,5640,15993,869
34,137,20,1122,1224,1266,1266,329,400,786,1385,3271,10748,470
43,64,16,913,913,913,913,241,291,557,838,1908,4696,337
31,58,14,827,837,840,840,182,222,429,600,1373,2816,258
24,95,12,722,732,757,757,152,184,371,500,1132,2138,217
33,155,11,743,742,742,742,150,187,375,463,1012,1871,214
62,332,27,1182,1080,1048,1048,312,378,619,790,1623,2210,398
206,832,58,2377,2180,2132,2132,1013,1171,2063,2752,3853,4697,1256
345,2143,130,6411,6118,6005,6005,1125,1304,2650,4018,5678,8961,1457
157,893,53,4959,5387,5516,5516,702,801,1465,2254,4159,10351,891
210,918,50,2886,2884,2885,2885,764,882,1695,2783,5499,14099,994
246,1075,50,3381,3404,3388,3388,977,1135,2254,3565,6275,19361,1273
142,749,59,2972,3017,3016,3016,844,977,1901,2984,5677,18652,1095
93,403,38,1785,1987,2049,2049,445,521,900,1335,2744,9671,573
75,305,31,1250,1279,1288,1288,316,375,642,903,1923,4496,414
75,299,27,1143,1128,1124,1124,246,294,509,682,1415,2806,325
56,242,22,1021,1062,1073,1073,196,233,425,565,1205,2252,264
52,264,18,863,866,867,867,167,198,377,501,1060,1992,229
99,559,27,1418,1299,1260,1260,388,446,682,866,1538,2101,463
200,1159,72,1969,1845,1816,1816,623,719,1068,1337,2186,2878,732
262,941,96,3790,3928,3899,3899,1744,1928,3108,3924,4870,5533,1988
338,1376,67,4644,4636,4630,4630,1111,1249,2348,3604,5967,13033,1367
286,1186,57,3784,3840,3847,3847,1115,1264,2228,3282,5007,12484,1348
300,1392,76,3607,3694,3650,3650,1628,1848,2932,4358,7427,19310,1961
166,935,62,4402,4685,4737,4737,1455,1647,2875,4565,7882,24895,1815
120,453,41,2054,2239,2302,2302,642,694,1322,2027,3935,15762,802
97,313,35,1443,1487,1502,1502,448,488,796,1199,2442,6648,528
87,279,30,1253,1269,1272,1272,361,421,650,891,1850,3971,445
68,239,25,1001,1029,1041,1041,272,318,510,665,1460,2964,340
63,201,22,836,846,851,851,223,258,427,552,1158,2159,279
91,570,49,1341,1203,1167,1167,673,786,1175,1408,2357,2933,783
172,1206,97,3233,3135,3089,3089,881,1023,1772,2412,3743,5726,1093
291,1200,81,4492,4419,4386,4386,975,1124,2629,4048,6056,10779,1346
327,1370,62,4561,4663,4657,4657,833,975,2108,3316,5815,13023,1142
192,717,46,3046,3645,3735,3735,811,984,2442,4111,7135,20746,1209
233,1085,117,3222,4348,4305,4305,2018,2415,4819,7214,12087,29428,2607
171,648,101,5184,6298,6335,6335,1611,1886,4073,6622,11956,35006,2159
116,396,70,2872,3386,3484,3484,866,1005,2156,3681,7615,31611,1175
99,338,54,1718,1775,1797,1797,552,649,1177,1778,3692,13951,724
84,282,44,1397,1415,1421,1421,409,488,823,1179,2523,6078,530
70,262,39,1233,1246,1252,1252,323,386,673,881,1936,3886,444
51,184,30,1046,1103,1113,1113,261,317,567,705,1661,3240,371
78,308,34,1116,1066,1048,1048,364,451,796,958,2056,3298,510
77,299,32,1868,1828,1816,1816,473,577,1156,1660,3193,4713,670
193,1035,38,2410,2405,2373,2373,648,781,1632,2533,4256,7399,897
313,1692,68,4301,4258,4206,4206,706,831,1794,3132,5594,11465,965
237,1184,45,4111,4114,4117,4117,1049,1248,2614,4516,7921,20627,1402
124,454,36,2392,2845,2921,2921,653,785,1560,3512,7086,20737,897
118,560,73,2446,2450,2415,2415,925,1093,2191,4254,9161,24647,1234
87,387,41,1924,2137,2201,2201,470,565,985,1886,4652,20504,639
64,285,33,1233,1271,1285,1285,328,401,720,1130,2730,8331,464
74,314,28,1133,1140,1319,1319,259,322,592,832,2185,4778,378
56,221,22,961,979,988,988,205,256,490,621,1617,3211,308
44,206,18,780,812,823,823,167,212,429,504,1291,2485,260
71,375,22,1033,907,873,873,325,397,710,787,1724,2479,454
172,734,34,2358,2221,2217,2217,532,647,1310,1701,2961,3935,745
163,728,26,2727,2806,2832,2832,552,668,1275,1868,3520,5869,759
104,497,29,2007,2088,2109,2109,504,611,1140,1826,3816,8177,694
124,494,40,1927,1970,1952,1952,780,938,1667,2781,6179,12966,1010
109,500,52,2107,2144,2160,2160,964,1124,2032,3551,6599,16898,1241
85,296,37,1765,1832,1847,1847,604,714,1206,2280,5119,17029,798
61,283,28,1037,1050,1058,1058,424,509,870,1553,3467,10644,575
53,177,22,1015,1034,1040,1040,283,348,609,930,2177,5709,403
61,126,18,796,820,828,828,219,272,508,646,1567,3361,324
55,144,15,772,767,766,766,179,221,440,525,1269,2436,270
91,294,15,985,898,874,874,213,254,497,555,1210,2111,304
125,314,15,1442,1470,1472,1472,292,370,741,1030,2247,3144,439
196,862,36,2187,1976,2025,2025,767,880,1715,2270,3540,4782,980
306,1591,87,4818,4663,4593,4593,1286,1417,2523,3631,5314,9786,1526
377,1307,98,4701,4855,5091,5091,1837,2077,3379,4017,5862,14148,2063
285,1102,91,5751,6136,6178,6178,2647,2936,5538,8625,12938,28314,3257
162,536,55,2163,2339,2398,2398,901,1038,1653,3163,6010,25250,1117
140,646,61,2131,2230,2294,2294,932,1106,1753,3099,6084,22812,1180
84,309,45,1797,1947,2068,2068,577,670,1078,2362,5625,21833,736
72,267,37,1294,1374,1378,1378,454,531,830,1340,2955,9764,587
58,186,30,1091,1152,1181,1181,332,401,636,919,2035,4977,451
46,181,24,955,959,962,962,260,317,532,690,1559,3221,365
56,195,21,912,910,910,910,254,307,505,612,1384,2540,348
44,172,24,1149,1147,1143,1143,346,420,559,1011,2154,3227,448
102,585,26,1477,1362,1335,1335,442,538,776,1282,2649,4264,550
141,828,53,2873,2780,2740,2740,954,1122,2278,2999,4677,7391,1191
370,1575,109,5872,5594,5466,5466,2657,3039,5661,8113,11493,23599,3076
214,935,90,5145,5337,5355,5355,1940,2306,5085,7934,10763,24683,2415
145,820,117,6259,6763,6863,6863,2331,2721,6359,10149,15600,38648,2798
132,558,111,4019,4149,4206,4206,1233,1451,3492,5518,8630,30477,1664
103,403,70,2490,2767,2810,2810,730,861,1625,2812,5551,22507,992
104,391,62,2221,2264,2273,2273,557,657,1190,1966,3482,10783,774
84,287,50,1526,1547,1558,1558,430,509,901,1345,2495,5552,538
64,249,41,1458,1482,1487,1487,328,394,717,997,1942,3940,425
60,208,34,1187,1206,1213,1213,274,332,615,798,1614,3021,354
75,302,39,1614,1470,1426,1426,366,427,788,1035,2001,3108,467
161,556,41,2055,2061,2063,2063,446,510,976,1203,2245,3739,563
221,1437,71,4045,3759,3655,3655,881,1001,2258,3207,4719,6836,1098
473,1675,183,5929,5982,5989,5989,3191,3511,6185,8420,11773,18545,3607
1024,4435,204,9409,8880,9213,9213,4071,4627,8999,12850,19850,38816,4786
417,1772,134,15676,16069,16102,16102,1924,2170,4055,6633,10954,37530,2329
252,1115,111,7174,7892,8160,8160,1226,1382,2420,4456,7717,29531,1508
204,718,79,3610,3820,3901,3901,745,856,1511,2352,4531,17502,938
164,534,68,2745,2802,2822,2822,586,670,1122,1629,3022,7583,759
135,439,58,2267,2282,2287,2287,447,518,877,1201,2283,4592,553
112,384,49,1949,1982,1995,1995,356,417,742,938,1887,3457,445
110,427,45,2034,1993,1981,1981,361,425,741,963,2013,3501,444
88,417,42,1992,2005,2018,2018,332,395,753,1009,2077,3705,454
215,723,58,3305,3219,3197,3197,524,614,1346,1819,3437,5336,635
409,1051,57,3333,3296,3309,3309,602,711,1533,1982,3763,6345,750
585,2682,142,6347,6114,6072,6072,2698,3078,5324,6637,9303,16285,3121
364,2274,201,9918,9946,9827,9827,6163,7012,12561,15250,22600,36439,7377
181,789,112,10490,11267,11431,11431,2568,2894,4754,9653,16896,51539,3108
335,1180,114,4684,4739,4781,4781,1634,1911,2940,4874,7747,36165,1980
136,543,83,3388,3697,3794,3794,877,982,1739,2542,4353,17883,1086
123,488,68,2359,2407,2423,2423,623,687,1253,1733,3042,8320,791
107,401,58,2220,2239,2244,2244,489,539,1018,1349,2412,5175,650
93,330,49,1875,1903,1911,1911,382,425,823,1065,1915,3892,507
81,280,45,1669,1687,1693,1693,375,428,760,910,1762,3328,464
69,232,36,1808,1786,1802,1802,358,437,756,950,1908,3477,467
121,600,48,2380,2257,2227,2227,656,795,1524,1843,3372,4642,864
347,1145,84,4856,4606,4524,4524,1541,1776,4039,5927,8361,11201,2405
446,1383,94,5974,5930,5911,5911,1946,2301,5392,7377,10979,22414,2840
246,659,64,4916,5304,5412,5412,1069,1248,2730,4519,7851,24988,1624
206,913,84,3817,4616,4765,4765,1475,1721,3334,4796,8181,21461,2334
138,588,105,5781,6213,6273,6273,1555,1739,3476,5990,10300,27661,2354
118,387,66,2728,2921,3003,3003,803,925,1568,2297,3925,15823,1062
108,371,55,2026,2061,2071,2071,611,716,1252,1692,2866,7534,804
79,253,44,1637,1677,1692,1692,463,549,915,1159,2160,4610,594
74,252,37,1509,1514,1515,1515,365,437,750,911,1764,3441,475
60,177,30,1342,1415,1419,1419,293,356,621,754,1431,2900,385
102,607,43,1960,1817,1779,1779,519,603,907,1149,1909,2956,662
323,1849,100,4448,4134,4042,4042,1168,1353,2982,3769,5286,6470,1580
359,2036,90,6170,6221,6218,6218,892,1042,2411,3285,5037,11513,1170
502,2877,174,6811,6841,6804,6804,3330,3771,8383,10351,13012,21499,4106
228,1783,113,7990,8097,8041,8041,1900,2113,4493,7834,12523,33360,2364
373,2504,170,7135,7582,7650,7650,1878,2098,3689,6481,9605,31241,2242
250,1455,133,6885,7191,7206,7206,1288,1428,2708,4890,7534,29053,1580
173,758,94,3678,4227,4334,4334,851,934,1517,2123,3870,18438,994
164,561,78,2536,2748,2771,2771,648,712,1175,1338,2560,9028,739
110,451,64,2131,2152,2159,2159,523,567,898,1021,2035,5053,626
97,352,56,1765,1801,1815,1815,428,476,774,840,1735,3606,494
72,319,49,1586,1662,1666,1666,396,446,786,797,1654,3190,451
117,492,49,1618,1712,1700,1700,472,559,926,954,1985,3621,555
127,460,43,1481,1733,1737,1737,497,605,1061,1197,2337,3935,622
226,1049,52,1701,1870,1880,1880,569,678,1165,1222,2513,4312,686
687,3009,146,5072,4873,4737,4737,1726,1880,3777,4120,5763,9122,2016
575,3744,164,7258,7728,7691,7691,4278,4446,8280,10505,15085,28332,4798
525,2382,130,9245,9752,9721,9721,1908,1983,3947,5099,7823,24823,2169
409,2095,103,6550,7326,7417,7417,1488,1621,3248,4520,7154,26687,1839
239,1287,80,4189,4828,4915,4915,870,949,1518,1891,3245,13118,1104
311,1062,66,2510,2764,2797,2797,629,721,1100,1294,2403,6212,764
152,747,56,2070,2146,2151,2151,471,578,857,958,1808,3890,610
134,487,46,1748,1939,1981,1981,372,470,726,769,1502,3031,510
148,531,32,1441,1536,1538,1538,337,428,624,644,1312,2588,470
188,957,39,2050,2011,1961,1961,419,531,820,853,1741,2826,568
300,1631,82,3720,3861,3801,3801,651,804,1381,1519,2609,4269,852
623,2496,93,5827,5861,5818,5818,1412,1553,3089,3921,5610,9160,1747
289,1422,80,6328,6688,6728,6728,1028,1165,1992,3117,5120,12848,1319
168,719,65,2999,3267,3363,3363,718,885,1553,2249,4327,13656,955
144,653,65,2686,2836,2840,2840,897,1036,1901,3000,5630,15888,1118
164,623,105,3469,4238,4230,4230,1008,1172,2346,3956,7771,23821,1260
103,394,57,1773,2077,2138,2138,531,644,1048,1649,3681,16580,673
80,304,46,1328,1469,1478,1478,383,466,762,987,2167,6326,476
72,212,38,1158,1302,1308,1308,299,374,629,725,1498,3600,417
73,189,35,1059,1171,1174,1174,250,316,547,593,1256,2694,356
109,351,37,1270,1393,1383,1383,268,339,578,604,1292,2593,362
83,329,35,1314,1493,1494,1494,378,437,751,724,1412,2531,459
118,415,29,1691,1841,1838,1838,354,430,783,921,1916,3545,475
360,1297,46,3888,3822,3731,3731,505,627,1159,1372,2456,4800,634
631,2545,71,5566,5864,5808,5808,2695,3080,5040,5520,7561,13594,3118
519,2243,58,7789,8467,8448,8448,2126,2394,4799,6663,11786,30504,2824
656,2117,93,6701,7563,7612,7612,1527,1737,3335,5093,8617,29618,2128
279,979,80,5015,7496,7766,7766,1263,1396,2528,4326,9391,35024,1676
178,656,56,2432,3337,3451,3451,717,868,1375,2327,5389,24771,937
134,467,44,1773,2061,2083,2083,527,629,965,1363,2975,9763,652
108,384,39,1423,1654,1664,1664,413,496,747,980,2188,4790,507
88,333,33,1259,1478,1478,1478,325,403,646,739,1697,3158,411
88,355,29,1235,1429,1430,1430,270,341,572,597,1418,2469,346
104,396,34,1636,1800,1798,1798,378,469,805,969,2219,3514,471
199,608,44,2148,2300,2287,2287,507,618,1166,1645,3536,5979,636
253,790,70,3265,3530,3491,3491,1539,1868,3970,4517,6997,12165,2056
428,2172,107,6332,6036,6020,6020,1886,2161,5477,8370,14230,29459,2497
303,1606,79,7556,7837,7886,7886,1507,1668,3496,5662,9898,27188,1936
211,876,64,4732,5301,5402,5402,1112,1250,2828,4566,9219,29813,1502
115,541,48,2140,2431,2638,2638,714,885,1816,3441,6645,25953,1011
109,444,42,1753,1802,1912,1912,532,640,1184,2046,4637,16524,711
83,337,33,1283,1336,1429,1429,393,472,826,1189,2740,7415,515
82,322,29,1230,1225,1329,1329,316,385,691,889,2055,4179,426
95,331,26,1230,1236,1312,1312,281,346,617,701,1680,2985,373
60,193,22,1128,1155,1249,1249,232,290,563,618,1504,2685,317
52,110,25,1056,1038,1061,1061,297,373,734,901,2308,3807,402
63,225,20,1117,1124,1198,1198,314,386,709,952,2381,4636,413
288,861,28,1872,1769,1855,1855,505,584,1083,1447,2927,5715,641
274,1360,34,3150,3157,3271,3271,696,844,1465,2165,4140,8857,912
178,826,46,2606,2649,2779,2779,611,703,1316,1977,3568,10240,763
223,619,58,2604,2654,2711,2711,996,1233,2621,3963,7038,19172,1358
173,799,47,2759,2909,3126,3126,710,863,1881,3320,6651,20524,1005
111,371,47,1701,1786,1879,1879,462,555,1137,1551,3369,10156,591
105,290,36,1159,1189,1260,1260,317,383,660,887,2005,4676,400
76,237,26,1071,1079,1160,1160,232,286,543,635,1493,2890,306
64,168,21,840,865,926,926,180,224,463,576,1217,2374,243
76,178,18,800,792,920,920,165,203,431,511,1050,2049,237
73,245,20,920,946,1014,1014,238,312,532,609,1337,2284,317
89,335,32,1325,1454,1431,1431,458,557,928,1139,2102,3278,577
451,1252,83,3709,3462,3434,3434,1260,1361,3254,3974,5597,8311,1663
324,863,74,5163,5413,5588,5588,978,1124,2524,4059,6375,14198,1362
426,1575,93,3829,3695,3712,3712,1304,1370,2595,3936,6252,16394,1497
345,963,105,4116,4554,4653,4653,1982,2158,5272,7110,10454,25150,2383
180,513,86,2843,3518,3594,3594,1053,1163,2306,3768,6765,26624,1310
113,321,63,1852,2173,2241,2241,606,726,1212,2016,3899,17987,763
91,246,50,1173,1288,1317,1317,474,568,867,1313,2403,7293,576
75,164,42,1033,1113,1109,1109,345,431,702,867,1736,3973,441
63,166,36,979,1118,1128,1128,268,346,581,709,1342,2887,354
51,136,29,767,1092,1106,1106,219,281,498,558,1097,2379,286
86,276,37,989,1067,1101,1101,351,447,727,781,1437,2503,528
113,319,48,1566,1702,1719,1719,469,595,1042,1569,2309,4468,623
171,644,68,2619,2587,2510,2510,874,1090,3239,3958,5586,10681,1297
144,737,71,3601,3841,3893,3893,928,1071,2101,3374,5578,14562,1215
182,813,71,2715,2685,2655,2655,833,990,1958,3241,5472,16130,1176
217,770,70,3018,3150,3193,3193,725,908,1855,3478,6744,21284,1032
101,297,46,1672,1904,2010,2010,514,630,1163,2745,6223,26042,675
73,218,35,1142,1385,1404,1404,377,469,853,1840,4438,19500,528
76,194,32,1030,1077,1080,1080,279,350,636,978,2335,7647,386
71,136,26,1013,1058,1068,1068,227,293,553,774,1750,4438,341
72,145,22,858,1005,1016,1016,198,257,505,625,1374,3255,310
64,151,20,893,932,940,940,207,254,499,575,1215,2789,307
101,216,22,996,964,980,980,282,324,598,660,1355,2867,344
153,497,70,1883,1754,1699,1699,624,807,1528,2004,3168,5780,910
376,1193,207,5073,5688,6032,6032,3823,4275,8897,10978,13671,18684,4569
286,1172,83,9467,9585,9620,9620,2322,2554,5900,9542,14735,34638,2889
140,569,54,3681,4171,4363,4363,1392,1590,3128,4499,6438,23317,1768
152,525,49,3101,3260,3313,3313,1285,1433,3203,5384,8128,28219,1712
116,329,37,1975,2127,2301,2301,878,1009,1939,3124,5603,22082,1149
98,266,37,1359,1410,1425,1425,658,800,1286,1944,3639,12244,851
70,179,30,1060,1109,1122,1122,467,560,941,1310,2368,6018,622
71,173,28,1130,1162,1144,1144,387,470,816,1041,1870,3971,535
65,134,23,987,1021,1081,1081,298,374,662,799,1429,2779,432
76,165,23,968,1068,1073,1073,330,410,729,763,1518,2791,469
61,153,34,984,1139,1189,1189,335,415,702,729,1537,3007,463
88,278,33,1355,1385,1411,1411,393,477,802,946,1921,3610,514
134,282,33,1617,1580,1618,1618,480,612,1180,1451,2815,5112,707
551,1817,43,3742,3420,3282,3282,1039,1190,2444,3307,5876,11900,1319
494,1636,74,5138,5351,5432,5432,1161,1278,2609,4030,6510,16990,1447
402,1389,118,4639,4868,4932,4932,1724,1969,3975,5811,7527,20761,2127
295,1300,109,5139,5262,5481,5481,1499,1654,3244,5369,8896,27720,1830
163,540,67,2340,2555,2727,2727,690,809,1387,2193,4293,21105,921
110,359,54,1470,1539,1613,1613,481,569,954,1280,2583,8940,621
87,273,44,1222,1251,1287,1287,362,444,753,966,2013,4150,481
76,215,34,1125,1159,1173,1173,281,359,625,846,1809,3039,391
79,242,28,1031,1026,1108,1108,248,322,547,736,1586,2510,361
124,367,31,1323,1320,1425,1425,295,373,581,760,1497,2636,379
169,442,59,2095,1872,1949,1949,408,512,981,1351,2172,3625,559
157,602,157,3057,3157,3271,3271,604,731,1272,2080,3303,6600,821
542,2043,214,4651,4693,4733,4733,1458,1703,4283,4633,5692,10608,1919
479,3606,294,9244,9301,9134,9134,3235,3615,8514,12011,17468,32634,3975
191,1328,120,12915,13633,13912,13912,1363,1454,2484,4030,6170,24316,1581
199,847,103,3754,4288,4732,4732,1198,1265,2325,3555,5827,23288,1418
234,641,80,2614,2809,3050,3050,716,841,1431,2110,3698,14035,923
145,394,63,1765,1886,1971,1971,514,601,1016,1323,2136,6200,642
89,324,54,1444,1498,1574,1574,401,477,820,1104,1688,3540,502
72,275,47,1283,1425,1450,1450,318,389,690,924,1384,2705,412
93,344,44,1384,1397,1465,1465,325,396,693,907,1356,2684,413
152,497,49,1860,1854,1925,1925,488,571,917,1105,1629,2863,585
320,1358,100,4269,4087,4069,4069,947,1041,1898,1970,3120,4915,1157
415,1495,105,4814,4863,5068,5068,2153,2327,5081,6064,8117,12159,2514
363,1164,84,5840,6053,6090,6090,1494,1537,3073,4520,6760,15817,1815
424,1452,121,4644,4734,4734,4734,1705,1718,3369,4573,6652,17706,1861
292,992,83,3943,4250,4405,4405,1131,1184,2110,3457,5955,20617,1372
216,805,81,2590,2620,2746,2746,784,886,1560,2604,4521,17662,1001
157,421,56,1801,1886,1965,1965,547,625,1128,1680,2972,10832,696
98,381,47,1439,1467,1486,1486,417,474,829,1152,1835,4773,509
71,270,38,1245,1269,1302,1302,323,378,680,802,1427,3092,406
66,237,32,1105,1143,1279,1279,274,324,596,665,1171,2417,348
71,248,28,981,1052,1130,1130,267,318,558,626,1121,2294,344
189,290,27,1214,1255,1295,1295,299,359,695,802,1456,2663,405
118,292,27,1180,1310,1372,1372,273,328,665,736,1487,3462,361
157,659,57,2046,1883,1897,1897,848,918,1560,1744,2952,6030,1007
515,2301,77,5366,5228,5144,5144,1228,1310,2869,4275,6999,16167,1601
182,681,51,4689,5056,5145,5145,949,1057,2070,3160,6258,22095,1212
347,1483,151,4993,4876,4887,4887,2157,2291,4757,6624,10521,30618,2472
210,649,86,4521,5037,5396,5396,1233,1295,2792,4665,7705,28050,1496
183,538,63,2154,2253,2376,2376,636,725,1258,1807,3284,15118,803
118,344,52,1470,1598,1718,1718,482,542,986,1221,2357,7106,583
