retirobaixo,tresmarias,queimado,sobradinho,itaparica,pamx,xingo,serradamesa,canabrava,peixeangelical,lajeado,estreito,tucurui,saosalvador
233,926,72,3850,4005,4019,4019,1121,1210,2358,3660,6847,20786,1354
169,597,25,2372,2484,2504,2504,630,678,1375,2516,5160,20133,783
155,470,24,1613,1719,1749,1749,307,325,648,1145,3073,12507,369
113,351,24,1419,1439,1445,1445,231,243,470,730,1718,6575,270
95,280,21,1157,1177,1183,1183,172,180,357,523,1165,4158,198
97,267,19,1033,1035,1038,1038,130,136,281,386,872,2879,149
92,240,17,956,969,972,972,164,170,287,356,722,1956,179
123,324,27,914,903,900,900,243,253,446,591,1318,2018,268
182,694,36,1538,1372,1321,1321,363,381,706,905,1806,3519,402
373,1576,117,2957,2961,2909,2909,962,1011,1775,2168,2937,7902,1049
438,2379,84,5096,5135,5102,5102,1913,2049,3302,4118,5169,13751,2160
420,1946,89,5897,5913,5871,5871,1866,1987,3303,4440,6541,19886,2133
213,825,49,4891,5465,5585,5585,1264,1362,2307,3192,5729,16084,1501
187,649,38,2156,2235,2263,2263,949,1011,1491,2085,3900,16815,1095
132,488,32,1627,1652,1663,1663,465,490,744,1016,1972,10949,537
105,359,33,1258,1299,1313,1313,323,339,512,627,1175,5891,360
97,308,31,1107,1118,1122,1122,270,287,460,559,1316,4168,306
85,253,25,1035,1045,1048,1048,170,177,286,335,863,3092,188
84,224,31,936,946,949,949,246,258,482,583,1045,2109,269
105,370,34,1285,1259,1244,1244,561,599,990,1417,2245,3430,644
85,393,44,1020,1025,1029,1029,856,936,1528,2257,3700,5484,1033
167,676,39,1707,1676,1666,1666,877,980,1590,2203,3595,7900,1084
195,1100,157,3103,3165,3106,3106,1825,2010,3331,4393,6420,14993,2158
249,1377,146,4739,4872,4757,4757,3665,4093,7270,9582,12077,27636,4461
301,1349,105,5500,6516,6548,6548,3827,4247,8264,12273,17227,36894,4828
136,530,52,4297,4960,5086,5086,1641,1849,3395,5721,10561,31303,2142
104,367,47,1914,2096,2139,2139,1066,1186,1921,3029,5247,15938,1304
86,269,43,1416,1479,1496,1496,745,827,1377,2019,3304,9032,908
73,218,41,1187,1205,1211,1211,547,602,1022,1426,2344,6086,659
59,184,39,1055,1076,1082,1082,437,476,810,1087,1809,4609,517
62,177,41,861,873,879,879,517,563,922,1131,1791,3542,606
89,272,48,926,920,918,918,551,606,1075,1257,1892,3947,661
256,1043,77,2138,1802,1700,1700,875,961,1905,2513,3809,6948,1047
319,1321,95,3793,4134,4189,4189,1206,1346,2582,3640,5667,12581,1495
364,1820,80,5004,4946,4857,4857,1436,1588,2638,3848,6241,17835,1716
193,905,42,4423,4848,4930,4930,1609,1743,3067,4268,6723,18794,1894
221,924,87,4132,4671,4864,4864,1783,1912,3516,4885,7638,20709,2071
217,1158,79,4791,4903,4862,4862,1324,1419,2834,4394,7003,23171,1583
118,515,34,2721,3113,3234,3234,467,489,941,1598,3150,13461,562
101,342,33,1658,1711,1725,1725,350,369,665,987,1742,6768,399
96,295,38,1423,1433,1437,1437,283,296,551,766,1350,4394,318
76,220,29,1260,1294,1305,1305,194,201,395,536,1023,3390,217
87,220,36,1022,1027,1030,1030,260,272,462,557,903,2216,282
88,304,54,1137,1087,1079,1079,437,467,938,1401,2392,2956,505
98,361,58,1670,1636,1609,1609,649,897,1345,2118,3962,7284,761
280,1097,82,2315,2321,2305,2305,864,948,1860,2752,4925,11802,1034
363,1595,99,4624,4502,4410,4410,1096,1236,2677,3698,5802,17833,1378
192,896,126,4420,4742,4819,4819,1762,1994,4927,6375,9087,25025,2214
259,1276,51,5277,5290,5217,5217,1582,1783,3539,4846,7814,35058,1918
139,674,70,3360,3711,3810,3810,1073,1181,2313,3095,5536,24601,1322
107,397,40,2274,2411,2442,2442,445,480,998,1360,2814,15899,542
85,297,38,1547,1583,1595,1595,313,336,684,837,1532,8811,366
74,236,35,1300,1323,1331,1331,231,246,523,622,1124,5562,269
60,190,31,1117,1135,1142,1142,171,182,392,439,791,3998,194
64,211,52,1024,1020,1018,1018,477,519,1012,1080,1575,2880,547
102,304,34,1324,1308,1300,1300,492,538,1066,1223,1882,5642,579
174,827,90,2274,2045,1986,1986,811,890,1792,2275,3413,7847,954
331,1603,182,5170,5173,5082,5082,1700,1882,4076,5331,7438,18128,2022
651,3257,206,6185,6306,6287,6287,3173,3497,8069,11869,15826,35804,3858
420,1853,95,9469,9340,9206,9206,2566,2876,6658,9984,15426,44250,3261
604,1590,193,7966,8616,8744,8744,2579,2828,6226,9387,15261,35691,3128
213,885,94,5097,5555,5632,5632,1563,1694,3547,5916,10134,33234,1910
149,613,66,2881,3032,3083,3083,671,727,1588,2554,4765,21110,821
126,474,64,2113,2158,2174,2174,512,553,1195,1748,3035,10195,599
98,400,59,1774,1808,1820,1820,379,407,910,1269,2221,7063,443
96,346,52,1522,1539,1545,1545,290,309,709,936,1650,5452,334
86,294,47,1290,1319,1329,1329,300,320,694,844,1510,3424,338
101,378,63,1394,1343,1329,1329,487,535,1111,1389,2058,4706,576
99,684,126,2205,2071,2042,2042,1044,1153,2372,2896,3817,8374,1245
323,1566,132,5150,5130,5045,5045,1656,1830,4133,5504,7409,17314,2007
210,783,57,6328,6451,6403,6403,1308,1447,3025,4414,7133,19585,1622
375,1394,122,4864,5102,5146,5146,1803,2018,3974,5306,7759,20796,2240
270,1101,100,4749,5179,5231,5231,1490,1616,3088,4281,7076,22547,1779
156,744,65,3729,4003,4032,4032,948,1029,2210,3123,6478,21231,1149
114,416,46,2518,2658,2692,2692,433,463,912,1325,3172,12141,519
93,318,47,1738,1772,1783,1783,356,379,714,916,1976,6730,408
79,270,39,1468,1493,1502,1502,247,261,532,670,1458,4484,287
67,221,35,1278,1296,1302,1302,188,198,416,503,1107,3138,215
56,182,31,1102,1122,1129,1129,144,151,328,374,819,2167,161
68,213,40,962,963,967,967,404,425,800,957,1797,1499,445
96,389,52,1651,1670,1638,1638,539,566,1098,1565,2765,4767,603
159,914,161,3848,3709,3604,3604,1322,1430,2865,3858,5286,10448,1524
326,1340,148,5632,5701,5678,5678,2778,3103,6628,9084,11060,26607,3437
322,2116,141,6944,7019,6972,6972,2849,3234,7109,10585,14271,32657,3680
240,1395,229,7973,8198,8193,8193,3601,3948,7976,10458,14846,29184,4255
213,1684,177,7150,7561,7572,7572,3524,3875,7929,10014,15155,30879,4250
129,819,72,8764,9073,9046,9046,1689,1876,4317,6060,10727,22924,2132
110,582,71,3939,4417,4580,4580,976,1073,2139,2867,5274,14345,1165
89,461,68,2591,2659,2683,2683,717,785,1553,1934,3278,7249,840
73,348,62,2078,2119,2133,2133,543,596,1210,1462,2466,5063,637
64,298,58,1703,1735,1746,1746,463,500,1032,1201,1927,3864,529
80,354,90,1978,1869,1831,1831,847,921,1864,2535,3775,5220,995
126,959,107,3267,3098,3043,3043,1556,1690,3122,4295,6252,10298,1817
292,2172,144,5593,5446,5398,5398,3037,3250,5303,6862,9845,16825,3436
314,2485,146,7284,7077,7008,7008,2774,2980,5709,7247,11088,23025,3227
139,1094,85,10080,10782,10823,10823,2066,2222,4222,5429,9183,21393,2416
181,1409,122,4595,4721,4787,4787,1775,1899,3732,4755,7953,19604,2043
