Início,Fim,Duração,Menor valor
Jul1931,Out1931,4,92.09927083809609
Abr1932,Out1932,7,76.73131484688201
Mai1933,Out1933,6,79.90051751915972
Abr1934,Nov1934,8,68.03314383459767
Jun1935,Nov1935,6,82.3797924435178
Abr1936,Out1936,7,74.7624115565788
Mai1937,Out1937,6,79.3092221711693
Mai1938,Out1938,6,79.97607725719186
Mai1939,Nov1939,7,78.6481513086606
Mai1940,Out1940,6,77.25057180947044
Mai1941,Nov1941,7,83.01968174214575
Mai1942,Out1942,6,81.62334306063964
Jul1943,Out1943,4,90.765653785861
Mai1944,Out1944,6,81.44837181607136
Jul1945,Out1945,4,97.1140512445689
Jun1946,Out1946,5,91.9862720802689
Jul1947,Out1947,4,93.05788273690642
Abr1948,Out1948,7,82.87638522505333
Jul1949,Out1949,4,93.41538451846104
Jun1950,Out1950,5,84.32700541882807
Jun1951,Nov1951,6,80.54598110298151
Abr1952,Out1952,7,87.09680731806785
Mai1953,Out1953,6,76.46434548484407
Abr1954,Nov1954,8,65.73636491050632
Abr1955,Out1955,7,66.2645659353922
Mai1956,Nov1956,7,76.6506149216487
Jun1957,Out1957,5,90.14727635332666
Abr1958,Out1958,7,85.13801389591616
Abr1959,Out1959,7,71.0995985883005
Abr1960,Nov1960,8,76.78388961999583
Jun1961,Nov1961,6,76.58965488421374
Mai1962,Out1962,6,79.10333530108026
Mar1963,Dez1963,10,63.71720375793275
Mar1964,Out1964,8,72.80997136037132
Jun1965,Out1965,5,87.33675115213343
Jun1966,Out1966,5,86.24145215022534
Jun1967,Out1967,5,81.72845866558112
Mai1968,Out1968,6,86.79610265829024
Abr1969,Out1969,7,74.7552962264075
Abr1970,Out1971,19,62.335781872635124
Mai1972,Out1972,6,82.80482311784264
Mai1973,Out1973,6,83.00666263275511
Mai1974,Out1974,6,82.75368943289108
Mai1975,Out1975,6,78.14194570062125
Mar1976,Out1976,8,73.76525968236997
Abr1977,Out1977,7,75.80581725607746
Jun1978,Out1978,5,87.43997720263289
Jul1979,Out1979,4,98.94734940493748
Jul1980,Out1980,4,94.4778320266058
Jun1981,Set1981,4,90.87656177384181
Jul1982,Nov1982,5,93.27150350133707
Jul1983,Out1983,4,95.74958381683555
Mai1984,Out1984,6,82.38640633072562
Jun1985,Out1985,5,89.33605582733546
Mai1986,Nov1986,7,77.26759682868182
Mai1987,Nov1987,7,72.8764238292577
Abr1988,Nov1988,8,73.18580634241874
Mar1989,Out1989,8,70.78686871523466
Mar1990,Nov1990,9,70.69448583768047
Mai1991,Out1991,6,83.04949942340436
Jun1992,Out1992,5,91.21279696520362
Mai1993,Nov1993,7,79.18310261136041
Mai1994,Nov1994,7,76.57037616001551
Mai1995,Out1995,6,73.55591077586804
Abr1996,Out1996,7,67.23356415504819
Jun1997,Nov1997,6,83.22224976834744
Mai1998,Out1998,6,70.7988054499257
Abr1999,Out1999,7,65.2708480657411
Mai2000,Out2000,6,73.36324714289547
Jan2001,Fev2001,2,99.91424325608494
Mar2001,Nov2001,9,61.09709966971402
Abr2002,Nov2002,8,62.542258730833225
Abr2003,Nov2003,8,63.4294841374016
Jun2004,Nov2004,6,75.66673597015645
Jun2005,Out2005,5,79.32603553865839
Mai2006,Out2006,6,80.83492859527148
Mai2007,Nov2007,7,67.99307995313461
Mai2008,Nov2008,7,71.5724155949595
Jun2009,Out2009,5,85.23542068934348
Abr2010,Out2010,7,69.279998136108
Mai2011,Nov2011,7,74.31990293763346
Mai2012,Out2012,6,70.03211594715223
Abr2013,Nov2017,56,2.755655762417539
