Início,Fim,Duração,Menor valor
Mai1931,Out1931,6,92.3701667502933
Abr1932,Out1932,7,81.4715674757003
Abr1933,Out1933,7,82.80287498594473
Abr1934,Nov1934,8,77.65816928148918
Jun1935,Out1935,5,94.40541731893055
Abr1936,Out1937,19,77.49111207009481
Abr1938,Nov1938,8,77.35722133241102
Abr1939,Out1939,7,86.04005289550142
Jun1940,Out1940,5,96.47480228355718
Abr1941,Out1941,7,85.69827609190142
Abr1942,Set1942,6,89.99230433914477
Mai1943,Out1943,6,93.07520722784517
Abr1944,Out1944,7,82.3742500716298
Jul1945,Set1945,3,98.21011284098753
Mai1946,Nov1946,7,82.74314185814893
Mai1947,Out1947,6,91.84454084481852
Abr1948,Nov1948,8,82.70536993762173
Abr1949,Out1956,91,39.1744872922225
Abr1959,Nov1959,8,80.19777169975684
Mai1960,Nov1960,7,82.79439721017006
Mai1961,Dez1963,32,63.971225636329386
Mai1966,Nov1967,19,76.10883411400027
Abr1969,Nov1969,8,79.64129596141524
Mai1970,Nov1972,31,65.62714538847302
Mai1974,Out1976,30,69.12108399864194
Mai1978,Nov1978,7,89.09301798401175
Mai1979,Out1979,6,92.12336566777277
Mai1980,Out1980,6,92.96016698511936
Mai1981,Out1981,6,91.36959527775787
Jun1982,Dez1982,7,92.14609861277285
Mai1983,Out1983,6,89.88160866818082
Abr1984,Dez1984,9,82.10276362786024
Mai1985,Out1985,6,89.35826727486169
Abr1986,Nov1987,20,69.2904034217879
Mai1990,Dez1990,8,85.78202106375039
Mai1991,Nov1991,7,84.90004996695372
Mai1992,Out1992,6,88.24018383012259
Abr1993,Nov1993,8,80.8775234136687
Mai1994,Nov1994,7,83.65672544035645
Mai1995,Nov1996,19,77.62493065326905
Mai1997,Nov1999,31,60.23803287900622
Abr2010,Nov2010,8,75.16866252105008
Abr2011,Out2011,7,83.07093753145284
Abr2012,Dez2019,93,3.068769084649247
