Unnamed: 0,retirobaixo,tresmarias,queimado,sobradinho,itaparica,peixeangelical,serradamesa,tucurui,pamx,xingo,canabrava,saosalvador,estreito,lajeado
411,241.59,19528.0,557.0,34116.0,10782.0,2741.0,53821.13554361813,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
412,241.59,19528.0,557.0,34116.0,10782.0,2741.0,53866.93391376515,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
413,241.59,19528.0,557.0,34116.0,10782.0,2741.0,53275.057177875584,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
414,241.59,19369.86565447895,557.0,33438.77263623972,10782.0,2741.0,52358.52795666227,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
415,241.59,19082.46485696229,557.0,31556.41014283554,10782.0,2741.0,51216.0245365084,47706.055468919774,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
416,241.59,18647.77358707382,553.3888422142803,28880.354732656066,10782.0,2741.0,49932.158183192114,43838.69040590128,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
417,241.59,19300.52941537701,557.0,27168.622345094347,10782.0,2741.0,49533.49673531305,40607.38505741185,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
418,241.59,19528.0,557.0,29635.40242409736,10782.0,2741.0,49864.54093952754,41046.87170204701,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
419,241.59,19528.0,557.0,34116.0,10782.0,2741.0,50424.53526633664,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
420,241.59,19528.0,557.0,34116.0,10782.0,2741.0,51582.97073924258,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
421,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
422,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
423,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
424,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
425,241.59,19528.0,557.0,34116.0,10782.0,2741.0,53812.27127120928,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
426,241.59,19528.0,557.0,33446.80783623973,10782.0,2741.0,52926.62903559395,49829.72130583969,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
427,241.59,19371.49372492187,557.0,31727.66004043336,10782.0,2741.0,51844.29982263888,46596.44186967896,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
428,241.59,19045.018381091184,557.0,29120.111326292143,10782.0,2741.0,50667.54059127415,42214.49912017314,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
429,241.59,19153.40411802013,557.0,26786.013958556294,10782.0,2741.0,49927.562480172215,38254.387177307035,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
430,241.59,19528.0,557.0,27312.71739069262,10782.0,2741.0,49293.918693493055,36435.481988137595,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
431,241.59,19528.0,557.0,30449.02985582414,10782.0,2741.0,49712.4947593637,39272.9606511038,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
432,241.59,19528.0,557.0,34116.0,10782.0,2741.0,50105.4122041717,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
433,241.59,19528.0,557.0,34116.0,10782.0,2741.0,51268.77447059534,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
434,241.59,19528.0,557.0,34116.0,10782.0,2741.0,52654.19826525869,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
435,241.59,19528.0,557.0,34116.0,10782.0,2741.0,53271.08810262091,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
436,241.59,19528.0,557.0,34116.0,10782.0,2741.0,52918.59027170637,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
437,241.59,19528.0,557.0,34116.0,10782.0,2741.0,52136.7235618104,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
438,241.59,19528.0,557.0,32865.59503623973,10782.0,2741.0,51072.82388128626,49050.30690583969,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
439,241.59,19325.96092492187,557.0,30636.27216828716,10782.0,2741.0,49823.69841007133,45198.15683343017,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
