retirobaixo,tresmarias,queimado,sobradinho,itaparica,pamx,xingo,serradamesa,canabrava,saosalvador,peixeangelical,lajeado,estreito,tucurui
91,246,25,1250,1266,1270,1270,229,244,267,413,570,1338,4267
82,208,24,1072,1092,1098,1098,177,187,202,319,417,989,2982
59,200,22,915,927,931,931,216,229,235,354,436,950,2121
74,318,34,1194,1090,1059,1059,379,402,419,596,674,1122,2069
82,435,77,1799,1770,1757,1757,809,883,964,1913,2399,3462,5477
307,1388,81,3336,3076,3002,3002,1469,1635,1825,3622,4907,7289,10382
245,1343,41,6110,5967,5915,5915,1467,1618,1846,3415,5240,8537,17635
100,486,51,4222,4749,4893,4893,1405,1545,1766,3432,5589,9939,16561
74,520,38,2298,2582,2831,2831,1114,1240,1474,2668,4985,9669,20002
66,380,39,1615,1664,1688,1688,995,1076,1219,1939,3420,7194,18642
58,279,28,1785,1808,1808,1808,365,389,461,782,1415,3999,14158
46,199,23,1167,1202,1215,1215,255,270,302,499,808,2043,6959
46,168,21,997,1008,1013,1013,188,198,222,379,573,1391,4206
43,147,19,897,911,915,915,140,147,162,290,411,1021,2877
41,179,21,799,1017,1027,1027,247,263,282,449,551,1141,1460
45,150,21,877,1011,1012,1012,195,202,215,355,449,1058,2282
62,337,32,905,898,905,905,509,547,599,1029,1420,2352,2693
74,584,75,1605,1550,1539,1539,789,911,1035,1962,2771,4538,7555
296,1258,64,4519,4258,4175,4175,1552,1792,2046,3635,5261,8013,18637
384,1835,93,5442,5564,5685,5685,2452,2838,3214,5764,7937,11390,26391
214,987,119,5408,5917,5991,5991,2337,2663,3007,6391,8767,13444,26625
263,1036,91,4716,4645,4609,4609,2133,2449,2798,5797,8242,13617,33864
148,636,41,3740,4183,4390,4390,1108,1254,1429,2574,4181,8461,22756
82,447,40,2010,2080,2106,2106,640,732,813,1481,2109,4201,12155
61,357,37,1557,1588,1599,1599,479,545,601,1118,1494,2764,6649
57,296,38,1237,1268,1278,1278,361,404,443,847,1118,2133,5059
53,240,32,1055,1074,1081,1081,323,357,384,749,914,1665,3792
43,299,46,1079,1061,1055,1055,490,538,580,1052,1242,1973,3785
64,344,76,1178,1179,1179,1179,889,955,1034,1702,2222,3451,5634
183,629,94,2585,2329,2242,2242,1302,1410,1544,2488,3360,4982,11497
133,437,51,2696,2803,2849,2849,1113,1220,1355,2193,2876,4223,15010
131,441,94,2664,2606,2563,2563,1556,1717,1921,3413,4820,7346,19607
191,814,89,4174,4132,4114,4114,1620,1788,2039,3638,5636,8806,28211
100,625,60,2764,2940,3023,3023,1214,1333,1536,3182,5051,8874,24722
73,335,37,2109,2190,2212,2212,513,549,638,1184,2201,4731,17514
52,228,34,1300,1338,1352,1352,343,367,410,752,1190,2565,8396
44,193,32,1092,1109,1116,1116,254,271,301,576,851,1796,5218
34,169,30,934,950,956,956,208,220,241,471,649,1368,3690
34,229,26,861,869,871,871,249,261,278,474,600,1232,2550
45,211,31,887,936,996,996,259,284,317,604,750,1418,2786
103,611,46,1597,1467,1420,1420,482,524,575,1088,1408,2342,4350
158,784,65,2724,2607,2567,2567,714,776,847,1639,2218,3361,7832
226,1643,63,4643,4526,4477,4477,863,962,1046,2025,2767,4265,12287
443,1683,60,5598,5601,5572,5572,1130,1240,1358,2469,3401,5743,16827
129,690,57,4242,4652,4772,4772,1057,1165,1294,2578,3590,6194,18042
94,504,57,2888,3247,3389,3389,878,975,1092,1934,2756,4915,20521
98,487,38,2237,2451,2464,2464,435,475,537,1007,1450,2897,14545
66,321,29,1454,1495,1511,1511,246,268,294,530,719,1482,7127
52,252,25,1231,1255,1263,1263,171,185,202,381,487,967,4456
44,199,24,1036,1052,1057,1057,129,139,151,300,368,773,2882
36,165,21,900,918,925,925,99,106,111,251,286,585,1446
39,394,44,920,885,878,878,467,497,519,879,1084,1874,1998
149,1052,59,2395,2174,2099,2099,900,977,1063,1848,2667,4225,5489
279,2421,83,4703,4502,4435,4435,1532,1709,1946,3690,5912,8782,12477
331,1729,39,6307,6203,6164,6164,1346,1496,1708,3424,5375,8748,18545
312,1207,46,4237,4594,4712,4712,1454,1576,1733,2951,4479,7659,18514
233,926,72,3850,4005,4019,4019,1121,1210,1354,2358,3660,6847,20786
169,597,25,2372,2484,2504,2504,630,678,783,1375,2516,5160,20133
155,470,24,1613,1719,1749,1749,307,325,369,648,1145,3073,12507
113,351,24,1419,1439,1445,1445,231,243,270,470,730,1718,6575
95,280,21,1157,1177,1183,1183,172,180,198,357,523,1165,4158
97,267,19,1033,1035,1038,1038,130,136,149,281,386,872,2879
92,240,17,956,969,972,972,164,170,179,287,356,722,1956
123,324,27,914,903,900,900,243,253,268,446,591,1318,2018
182,694,36,1538,1372,1321,1321,363,381,402,706,905,1806,3519
373,1576,117,2957,2961,2909,2909,962,1011,1049,1775,2168,2937,7902
438,2379,84,5096,5135,5102,5102,1913,2049,2160,3302,4118,5169,13751
420,1946,89,5897,5913,5871,5871,1866,1987,2133,3303,4440,6541,19886
213,825,49,4891,5465,5585,5585,1264,1362,1501,2307,3192,5729,16084
187,649,38,2156,2235,2263,2263,949,1011,1095,1491,2085,3900,16815
132,488,32,1627,1652,1663,1663,465,490,537,744,1016,1972,10949
105,359,33,1258,1299,1313,1313,323,339,360,512,627,1175,5891
97,308,31,1107,1118,1122,1122,270,287,306,460,559,1316,4168
85,253,25,1035,1045,1048,1048,170,177,188,286,335,863,3092
84,224,31,936,946,949,949,246,258,269,482,583,1045,2109
105,370,34,1285,1259,1244,1244,561,599,644,990,1417,2245,3430
85,393,44,1020,1025,1029,1029,856,936,1033,1528,2257,3700,5484
167,676,39,1707,1676,1666,1666,877,980,1084,1590,2203,3595,7900
