qnat,evap,conversor
50,21,2.6784
115,4,2.4192
153,21,2.6784
48,33,2.592
42,59,2.6784
39,70,2.592
37,77,2.6784
34,79,2.6784
31,80,2.592
40,51,2.6784
58,17,2.592
53,51,2.6784
116,21,2.6784
69,4,2.5056
51,21,2.6784
39,33,2.592
34,59,2.6784
29,70,2.592
26,77,2.6784
23,79,2.6784
27,80,2.592
42,51,2.6784
61,17,2.592
46,51,2.6784
90,21,2.6784
31,4,2.4192
90,21,2.6784
43,33,2.592
27,59,2.6784
28,70,2.592
25,77,2.6784
24,79,2.6784
22,80,2.592
34,51,2.6784
77,17,2.592
81,51,2.6784
41,21,2.6784
51,4,2.4192
38,21,2.6784
39,33,2.592
28,59,2.6784
23,70,2.592
21,77,2.6784
19,79,2.6784
21,80,2.592
21,51,2.6784
32,17,2.592
75,51,2.6784
64,21,2.6784
93,4,2.4192
119,21,2.6784
91,33,2.592
41,59,2.6784
40,70,2.592
37,77,2.6784
38,79,2.6784
32,80,2.592
46,51,2.6784
76,17,2.592
94,51,2.6784
51,21,2.6784
94,4,2.5056
89,21,2.6784
60,33,2.592
37,59,2.6784
34,70,2.592
32,77,2.6784
30,79,2.6784
26,80,2.592
31,51,2.6784
46,17,2.592
65,51,2.6784
63,21,2.6784
60,4,2.4192
57,21,2.6784
57,33,2.592
38,59,2.6784
29,70,2.592
25,77,2.6784
24,79,2.6784
21,80,2.592
44,51,2.6784
59,17,2.592
83,51,2.6784
39,21,2.6784
46,4,2.4192
72,21,2.6784
25,33,2.592
24,59,2.6784
24,70,2.592
21,77,2.6784
19,79,2.6784
17,80,2.592
27,51,2.6784
36,17,2.592
117,51,2.6784
84,21,2.6784
89,4,2.4192
49,21,2.6784
38,33,2.592
32,59,2.6784
33,70,2.592
31,77,2.6784
25,79,2.6784
31,80,2.592
34,51,2.6784
44,17,2.592
39,51,2.6784
157,21,2.6784
146,4,2.5056
105,21,2.6784
52,33,2.592
47,59,2.6784
43,70,2.592
41,77,2.6784
39,79,2.6784
41,80,2.592
48,51,2.6784
77,17,2.592
95,51,2.6784
80,21,2.6784
42,4,2.4192
87,21,2.6784
79,33,2.592
34,59,2.6784
33,70,2.592
38,77,2.6784
29,79,2.6784
36,80,2.592
54,51,2.6784
58,17,2.592
82,51,2.6784
99,21,2.6784
126,4,2.4192
51,21,2.6784
70,33,2.592
40,59,2.6784
38,70,2.592
35,77,2.6784
31,79,2.6784
52,80,2.592
34,51,2.6784
90,17,2.592
182,51,2.6784
206,21,2.6784
95,4,2.4192
193,21,2.6784
94,33,2.592
66,59,2.6784
64,70,2.592
59,77,2.6784
52,79,2.6784
47,80,2.592
63,51,2.6784
126,17,2.592
132,51,2.6784
57,21,2.6784
122,4,2.5056
100,21,2.6784
65,33,2.592
46,59,2.6784
47,70,2.592
39,77,2.6784
35,79,2.6784
31,80,2.592
40,51,2.6784
52,17,2.592
161,51,2.6784
148,21,2.6784
141,4,2.4192
229,21,2.6784
177,33,2.592
72,59,2.6784
71,70,2.592
68,77,2.6784
62,79,2.6784
58,80,2.592
90,51,2.6784
107,17,2.592
144,51,2.6784
146,21,2.6784
85,4,2.4192
122,21,2.6784
65,33,2.592
62,59,2.6784
49,70,2.592
48,77,2.6784
40,79,2.6784
38,80,2.592
36,51,2.6784
52,17,2.592
62,51,2.6784
92,21,2.6784
86,4,2.4192
151,21,2.6784
68,33,2.592
42,59,2.6784
40,70,2.592
38,77,2.6784
47,79,2.6784
40,80,2.592
70,51,2.6784
111,17,2.592
142,51,2.6784
62,21,2.6784
65,4,2.5056
135,21,2.6784
52,33,2.592
44,59,2.6784
44,70,2.592
40,77,2.6784
34,79,2.6784
35,80,2.592
41,51,2.6784
67,17,2.592
234,51,2.6784
103,21,2.6784
145,4,2.4192
68,21,2.6784
112,33,2.592
74,59,2.6784
53,70,2.592
50,77,2.6784
45,79,2.6784
40,80,2.592
55,51,2.6784
69,17,2.592
69,51,2.6784
82,21,2.6784
79,4,2.4192
96,21,2.6784
54,33,2.592
35,59,2.6784
34,70,2.592
31,77,2.6784
28,79,2.6784
31,80,2.592
44,51,2.6784
41,17,2.592
61,51,2.6784
54,21,2.6784
38,4,2.4192
98,21,2.6784
40,33,2.592
32,59,2.6784
26,70,2.592
24,77,2.6784
22,79,2.6784
21,80,2.592
24,51,2.6784
25,17,2.592
53,51,2.6784
48,21,2.6784
46,4,2.5056
93,21,2.6784
35,33,2.592
21,59,2.6784
22,70,2.592
21,77,2.6784
20,79,2.6784
24,80,2.592
22,51,2.6784
67,17,2.592
85,51,2.6784
52,21,2.6784
70,4,2.4192
97,21,2.6784
73,33,2.592
32,59,2.6784
33,70,2.592
32,77,2.6784
30,79,2.6784
35,80,2.592
35,51,2.6784
68,17,2.592
166,51,2.6784
82,21,2.6784
122,4,2.4192
73,21,2.6784
47,33,2.592
46,59,2.6784
42,70,2.592
37,77,2.6784
33,79,2.6784
30,80,2.592
24,51,2.6784
68,17,2.592
94,51,2.6784
143,21,2.6784
70,4,2.4192
58,21,2.6784
88,33,2.592
37,59,2.6784
38,70,2.592
35,77,2.6784
32,79,2.6784
29,80,2.592
59,51,2.6784
64,17,2.592
100,51,2.6784
52,21,2.6784
81,4,2.5056
87,21,2.6784
40,33,2.592
52,59,2.6784
37,70,2.592
32,77,2.6784
28,79,2.6784
26,80,2.592
40,51,2.6784
89,17,2.592
139,51,2.6784
162,21,2.6784
176,4,2.4192
190,21,2.6784
126,33,2.592
74,59,2.6784
60,70,2.592
52,77,2.6784
45,79,2.6784
40,80,2.592
41,51,2.6784
51,17,2.592
96,51,2.6784
74,21,2.6784
107,4,2.4192
75,21,2.6784
88,33,2.592
59,59,2.6784
49,70,2.592
45,77,2.6784
38,79,2.6784
35,80,2.592
40,51,2.6784
33,17,2.592
