qnat,evap,conversor
17342,12,2.6784
21530,5,2.4192
33299,4,2.6784
34674,1,2.592
15184,-9,2.6784
8611,-17,2.592
5939,-8,2.6784
4259,-4,2.6784
3282,22,2.592
3305,31,2.6784
6500,41,2.592
8461,21,2.6784
14002,12,2.6784
20596,5,2.5056
21638,4,2.6784
15967,1,2.592
9897,-9,2.6784
6661,-17,2.592
4338,-8,2.6784
2701,-4,2.6784
2227,22,2.592
2805,31,2.6784
5383,41,2.592
9547,21,2.6784
14644,12,2.6784
20569,5,2.4192
20535,4,2.6784
21021,1,2.592
14045,-9,2.6784
7065,-17,2.592
4267,-8,2.6784
2982,-4,2.6784
2121,22,2.592
2069,31,2.6784
5477,41,2.592
10382,21,2.6784
17635,12,2.6784
16561,5,2.4192
20002,4,2.6784
18642,1,2.592
14158,-9,2.6784
6959,-17,2.592
4206,-8,2.6784
2877,-4,2.6784
1460,22,2.592
2282,31,2.6784
2693,41,2.592
7555,21,2.6784
18637,12,2.6784
26391,5,2.4192
26625,4,2.6784
33864,1,2.592
22756,-9,2.6784
12155,-17,2.592
6649,-8,2.6784
5059,-4,2.6784
3792,22,2.592
3785,31,2.6784
5634,41,2.592
11497,21,2.6784
15010,12,2.6784
19607,5,2.5056
28211,4,2.6784
24722,1,2.592
17514,-9,2.6784
8396,-17,2.592
5218,-8,2.6784
3690,-4,2.6784
2550,22,2.592
2786,31,2.6784
4350,41,2.592
7832,21,2.6784
12287,12,2.6784
16827,5,2.4192
18042,4,2.6784
20521,1,2.592
14545,-9,2.6784
7127,-17,2.592
4456,-8,2.6784
2882,-4,2.6784
1446,22,2.592
1998,31,2.6784
5489,41,2.592
12477,21,2.6784
18545,12,2.6784
18514,5,2.4192
20786,4,2.6784
20133,1,2.592
12507,-9,2.6784
6575,-17,2.592
4158,-8,2.6784
2879,-4,2.6784
1956,22,2.592
2018,31,2.6784
3519,41,2.592
7902,21,2.6784
13751,12,2.6784
19886,5,2.4192
16084,4,2.6784
16815,1,2.592
10949,-9,2.6784
5891,-17,2.592
4168,-8,2.6784
3092,-4,2.6784
2109,22,2.592
3430,31,2.6784
5484,41,2.592
7900,21,2.6784
14993,12,2.6784
27636,5,2.5056
36894,4,2.6784
31303,1,2.592
15938,-9,2.6784
9032,-17,2.592
6086,-8,2.6784
4609,-4,2.6784
3542,22,2.592
3947,31,2.6784
6948,41,2.592
12581,21,2.6784
17835,12,2.6784
18794,5,2.4192
20709,4,2.6784
23171,1,2.592
13461,-9,2.6784
6768,-17,2.592
4394,-8,2.6784
3390,-4,2.6784
2216,22,2.592
2956,31,2.6784
7284,41,2.592
11802,21,2.6784
17833,12,2.6784
25025,5,2.4192
35058,4,2.6784
24601,1,2.592
15899,-9,2.6784
8811,-17,2.592
5562,-8,2.6784
3998,-4,2.6784
2880,22,2.592
5642,31,2.6784
7847,41,2.592
18128,21,2.6784
35804,12,2.6784
44250,5,2.4192
35691,4,2.6784
33234,1,2.592
21110,-9,2.6784
10195,-17,2.592
7063,-8,2.6784
5452,-4,2.6784
3424,22,2.592
4706,31,2.6784
8374,41,2.592
17314,21,2.6784
19585,12,2.6784
20796,5,2.5056
22547,4,2.6784
21231,1,2.592
12141,-9,2.6784
6730,-17,2.592
4484,-8,2.6784
3138,-4,2.6784
2167,22,2.592
1499,31,2.6784
4767,41,2.592
10448,21,2.6784
26607,12,2.6784
32657,5,2.4192
29184,4,2.6784
30879,1,2.592
22924,-9,2.6784
14345,-17,2.592
7249,-8,2.6784
5063,-4,2.6784
3864,22,2.592
5220,31,2.6784
10298,41,2.592
16825,21,2.6784
23025,12,2.6784
21393,5,2.4192
19604,4,2.6784
20167,1,2.592
12629,-9,2.6784
8439,-17,2.592
5120,-8,2.6784
3386,-4,2.6784
2372,22,2.592
1992,31,2.6784
2985,41,2.592
5547,21,2.6784
10186,12,2.6784
17521,5,2.4192
23180,4,2.6784
32076,1,2.592
16482,-9,2.6784
7632,-17,2.592
4882,-8,2.6784
3873,-4,2.6784
3431,22,2.592
3072,31,2.6784
7723,41,2.592
10656,21,2.6784
16679,12,2.6784
16748,5,2.5056
21290,4,2.6784
22611,1,2.592
12126,-9,2.6784
6255,-17,2.592
4181,-8,2.6784
2905,-4,2.6784
2155,22,2.592
2256,31,2.6784
2896,41,2.592
15553,21,2.6784
22654,12,2.6784
25576,5,2.4192
25246,4,2.6784
20732,1,2.592
13266,-9,2.6784
7072,-17,2.592
3826,-8,2.6784
2566,-4,2.6784
1719,22,2.592
1541,31,2.6784
3766,41,2.592
6012,21,2.6784
7373,12,2.6784
9275,5,2.4192
14375,4,2.6784
16639,1,2.592
13227,-9,2.6784
5707,-17,2.592
3399,-8,2.6784
2569,-4,2.6784
1996,22,2.592
2349,31,2.6784
3558,41,2.592
6461,21,2.6784
10746,12,2.6784
14125,5,2.4192
13093,4,2.6784
17253,1,2.592
11885,-9,2.6784
6477,-17,2.592
3501,-8,2.6784
2250,-4,2.6784
1602,22,2.592
1472,31,2.6784
1715,41,2.592
3917,21,2.6784
9216,12,2.6784
7738,5,2.5056
16885,4,2.6784
17636,1,2.592
13181,-9,2.6784
5691,-17,2.592
3162,-8,2.6784
2048,-4,2.6784
1580,22,2.592
1542,31,2.6784
2141,41,2.592
6195,21,2.6784
10716,12,2.6784
7199,5,2.4192
10319,4,2.6784
13675,1,2.592
9076,-9,2.6784
3925,-17,2.592
2278,-8,2.6784
1657,-4,2.6784
1392,22,2.592
2347,31,2.6784
3649,41,2.592
6608,21,2.6784
13507,12,2.6784
15275,5,2.4192
16335,4,2.6784
16927,1,2.592
12009,-9,2.6784
6585,-17,2.592
3811,-8,2.6784
2186,-4,2.6784
1464,22,2.592
1269,31,2.6784
1999,41,2.592
8249,21,2.6784
8339,12,2.6784
14264,5,2.4192
12922,4,2.6784
13512,1,2.592
9827,-9,2.6784
5046,-17,2.592
3023,-8,2.6784
2103,-4,2.6784
1675,22,2.592
1522,31,2.6784
3163,41,2.592
5963,21,2.6784
12167,12,2.6784
10102,5,2.5056
17733,4,2.6784
15606,1,2.592
11890,-9,2.6784
6755,-17,2.592
4131,-8,2.6784
3044,-4,2.6784
2511,22,2.592
2303,31,2.6784
7679,41,2.592
18563,21,2.6784
31790,12,2.6784
30269,5,2.4192
40272,4,2.6784
49445,1,2.592
26300,-9,2.6784
14245,-17,2.592
7742,-8,2.6784
5559,-4,2.6784
4379,22,2.592
4516,31,2.6784
3658,41,2.592
7943,21,2.6784
14026,12,2.6784
21384,5,2.4192
21931,4,2.6784
25589,1,2.592
19070,-9,2.6784
9907,-17,2.592
4826,-8,2.6784
3490,-4,2.6784
2497,22,2.592
2837,31,2.6784
3969,41,2.592
5073,21,2.6784
17774,12,2.6784
27623,5,2.4192
26688,4,2.6784
24679,1,2.592
14823,-9,2.6784
7782,-17,2.592
4931,-8,2.6784
3228,-4,2.6784
2291,22,2.592
2284,31,2.6784
3502,41,2.592
5770,21,2.6784
10303,12,2.6784
22024,5,2.5056
28633,4,2.6784
26989,1,2.592
15595,-9,2.6784
8612,-17,2.592
4810,-8,2.6784
2934,-4,2.6784
2186,22,2.592
2067,31,2.6784
3410,41,2.592
8203,21,2.6784
15344,12,2.6784
23407,5,2.4192
25078,4,2.6784
19787,1,2.592
11752,-9,2.6784
6119,-17,2.592
3487,-8,2.6784
2553,-4,2.6784
1946,22,2.592
1621,31,2.6784
2037,41,2.592
3165,21,2.6784
6720,12,2.6784
13121,5,2.4192
16635,4,2.6784
16527,1,2.592
9888,-9,2.6784
4211,-17,2.592
2614,-8,2.6784
2001,-4,2.6784
1794,22,2.592
1948,31,2.6784
2885,41,2.592
5571,21,2.6784
15237,12,2.6784
18315,5,2.4192
19080,4,2.6784
13466,1,2.592
10780,-9,2.6784
5448,-17,2.592
3753,-8,2.6784
2840,-4,2.6784
2122,22,2.592
1775,31,2.6784
2245,41,2.592
2764,21,2.6784
14122,12,2.6784
27222,5,2.5056
26347,4,2.6784
21821,1,2.592
13960,-9,2.6784
6685,-17,2.592
3799,-8,2.6784
2636,-4,2.6784
1963,22,2.592
3072,31,2.6784
4988,41,2.592
9210,21,2.6784
10992,12,2.6784
15554,5,2.4192
20714,4,2.6784
27347,1,2.592
19620,-9,2.6784
8498,-17,2.592
4346,-8,2.6784
3023,-4,2.6784
2448,22,2.592
2767,31,2.6784
4475,41,2.592
9054,21,2.6784
12681,12,2.6784
21641,5,2.4192
24546,4,2.6784
22346,1,2.592
13244,-9,2.6784
6992,-17,2.592
3966,-8,2.6784
2775,-4,2.6784
2249,22,2.592
2494,31,2.6784
3602,41,2.592
