qnat,evap,conversor
940,-1,2.6784
1932,-2,2.4192
1858,28,2.6784
1189,47,2.592
687,61,2.6784
472,61,2.592
380,58,2.6784
312,49,2.6784
375,49,2.592
385,35,2.6784
469,21,2.592
579,22,2.6784
1134,-1,2.6784
959,-2,2.5056
655,28,2.6784
409,47,2.592
316,61,2.6784
273,61,2.592
215,58,2.6784
172,49,2.6784
161,49,2.592
322,35,2.6784
593,21,2.592
1344,22,2.6784
1994,-1,2.6784
809,-2,2.4192
686,28,2.6784
534,47,2.592
371,61,2.6784
286,61,2.592
246,58,2.6784
208,49,2.6784
200,49,2.592
318,35,2.6784
435,21,2.592
1388,22,2.6784
1343,-1,2.6784
486,-2,2.4192
520,28,2.6784
380,47,2.592
279,61,2.6784
199,61,2.592
168,58,2.6784
147,49,2.6784
179,49,2.592
150,35,2.6784
337,21,2.592
584,22,2.6784
1258,-1,2.6784
1835,-2,2.4192
987,28,2.6784
1036,47,2.592
636,61,2.6784
447,61,2.592
357,58,2.6784
296,49,2.6784
240,49,2.592
299,35,2.6784
344,21,2.592
629,22,2.6784
437,-1,2.6784
441,-2,2.5056
814,28,2.6784
625,47,2.592
335,61,2.6784
228,61,2.592
193,58,2.6784
169,49,2.6784
229,49,2.592
211,35,2.6784
611,21,2.592
784,22,2.6784
1643,-1,2.6784
1683,-2,2.4192
690,28,2.6784
504,47,2.592
487,61,2.6784
321,61,2.592
252,58,2.6784
199,49,2.6784
165,49,2.592
394,35,2.6784
1052,21,2.592
2421,22,2.6784
1729,-1,2.6784
1207,-2,2.4192
926,28,2.6784
597,47,2.592
470,61,2.6784
351,61,2.592
280,58,2.6784
267,49,2.6784
240,49,2.592
324,35,2.6784
694,21,2.592
1576,22,2.6784
2379,-1,2.6784
1946,-2,2.4192
825,28,2.6784
649,47,2.592
488,61,2.6784
359,61,2.592
308,58,2.6784
253,49,2.6784
224,49,2.592
370,35,2.6784
393,21,2.592
676,22,2.6784
1100,-1,2.6784
1377,-2,2.5056
1349,28,2.6784
530,47,2.592
367,61,2.6784
269,61,2.592
218,58,2.6784
184,49,2.6784
177,49,2.592
272,35,2.6784
1043,21,2.592
1321,22,2.6784
1820,-1,2.6784
905,-2,2.4192
924,28,2.6784
1158,47,2.592
515,61,2.6784
342,61,2.592
295,58,2.6784
220,49,2.6784
220,49,2.592
304,35,2.6784
361,21,2.592
1097,22,2.6784
1595,-1,2.6784
896,-2,2.4192
1276,28,2.6784
674,47,2.592
397,61,2.6784
297,61,2.592
236,58,2.6784
190,49,2.6784
211,49,2.592
304,35,2.6784
827,21,2.592
1603,22,2.6784
3257,-1,2.6784
1853,-2,2.4192
1590,28,2.6784
885,47,2.592
613,61,2.6784
474,61,2.592
400,58,2.6784
346,49,2.6784
294,49,2.592
378,35,2.6784
684,21,2.592
1566,22,2.6784
783,-1,2.6784
1394,-2,2.5056
1101,28,2.6784
744,47,2.592
416,61,2.6784
318,61,2.592
270,58,2.6784
221,49,2.6784
182,49,2.592
213,35,2.6784
389,21,2.592
914,22,2.6784
1340,-1,2.6784
2116,-2,2.4192
1395,28,2.6784
1684,47,2.592
819,61,2.6784
582,61,2.592
461,58,2.6784
348,49,2.6784
298,49,2.592
354,35,2.6784
959,21,2.592
2172,22,2.6784
2485,-1,2.6784
1094,-2,2.4192
1409,28,2.6784
1212,47,2.592
622,61,2.6784
449,61,2.592
356,58,2.6784
282,49,2.6784
267,49,2.592
327,35,2.6784
658,21,2.592
730,22,2.6784
1417,-1,2.6784
1698,-2,2.4192
2228,28,2.6784
1307,47,2.592
626,61,2.6784
456,61,2.592
383,58,2.6784
301,49,2.6784
362,49,2.592
387,35,2.6784
598,21,2.592
1269,22,2.6784
1431,-1,2.6784
1075,-2,2.5056
1043,28,2.6784
577,47,2.592
331,61,2.6784
276,61,2.592
213,58,2.6784
178,49,2.6784
152,49,2.592
217,35,2.6784
648,21,2.592
1549,22,2.6784
1975,-1,2.6784
3273,-2,2.4192
1701,28,2.6784
1329,47,2.592
730,61,2.6784
529,61,2.592
430,58,2.6784
341,49,2.6784
273,49,2.592
391,35,2.6784
560,21,2.592
1029,22,2.6784
922,-1,2.6784
1485,-2,2.4192
1109,28,2.6784
786,47,2.592
504,61,2.6784
379,61,2.592
291,58,2.6784
230,49,2.6784
209,49,2.592
277,35,2.6784
787,21,2.592
1216,22,2.6784
1055,-1,2.6784
1442,-2,2.4192
1385,28,2.6784
1433,47,2.592
642,61,2.6784
479,61,2.592
378,58,2.6784
304,49,2.6784
251,49,2.592
274,35,2.6784
268,21,2.592
542,22,2.6784
989,-1,2.6784
2030,-2,2.5056
2716,28,2.6784
1236,47,2.592
655,61,2.6784
461,61,2.592
407,58,2.6784
331,49,2.6784
357,49,2.592
285,35,2.6784
575,21,2.592
812,22,2.6784
366,-1,2.6784
530,-2,2.4192
736,28,2.6784
755,47,2.592
365,61,2.6784
258,61,2.592
202,58,2.6784
164,49,2.6784
163,49,2.592
242,35,2.6784
537,21,2.592
1029,22,2.6784
521,-1,2.6784
701,-2,2.4192
354,28,2.6784
466,47,2.592
300,61,2.6784
197,61,2.592
152,58,2.6784
123,49,2.6784
108,49,2.592
105,35,2.6784
389,21,2.592
439,22,2.6784
953,-1,2.6784
570,-2,2.4192
522,28,2.6784
561,47,2.592
216,61,2.6784
183,61,2.592
136,58,2.6784
107,49,2.6784
94,49,2.592
212,35,2.6784
395,21,2.592
1359,22,2.6784
1006,-1,2.6784
610,-2,2.5056
986,28,2.6784
369,47,2.592
414,61,2.6784
348,61,2.592
229,58,2.6784
205,49,2.6784
187,49,2.592
179,35,2.6784
287,21,2.592
1139,22,2.6784
1472,-1,2.6784
1113,-2,2.4192
1355,28,2.6784
1450,47,2.592
655,61,2.6784
401,61,2.592
324,58,2.6784
269,49,2.6784
262,49,2.592
255,35,2.6784
626,21,2.592
1403,22,2.6784
759,-1,2.6784
816,-2,2.4192
676,28,2.6784
472,47,2.592
347,61,2.6784
271,61,2.592
263,58,2.6784
191,49,2.6784
244,49,2.592
326,35,2.6784
327,21,2.592
481,22,2.6784
855,-1,2.6784
584,-2,2.4192
892,28,2.6784
423,47,2.592
269,61,2.6784
192,61,2.592
148,58,2.6784
133,49,2.6784
119,49,2.592
220,35,2.6784
521,21,2.592
544,22,2.6784
1202,-1,2.6784
1239,-2,2.5056
1489,28,2.6784
562,47,2.592
343,61,2.6784
252,61,2.592
202,58,2.6784
164,49,2.6784
188,49,2.592
194,35,2.6784
538,21,2.592
1270,22,2.6784
2136,-1,2.6784
2337,-2,2.4192
1774,28,2.6784
761,47,2.592
590,61,2.6784
372,61,2.592
277,58,2.6784
202,49,2.6784
169,49,2.592
150,35,2.6784
315,21,2.592
590,22,2.6784
1402,-1,2.6784
1565,-2,2.4192
1325,28,2.6784
638,47,2.592
401,61,2.6784
306,61,2.592
217,58,2.6784
192,49,2.6784
196,49,2.592
285,35,2.6784
575,21,2.592
1837,22,2.6784
1680,-1,2.6784
1161,-2,2.4192
569,28,2.6784
334,47,2.592
248,61,2.6784
206,61,2.592
164,58,2.6784
165,49,2.6784
154,49,2.592
165,35,2.6784
212,21,2.592
163,22,2.6784
1175,-1,2.6784
1686,-2,2.5056
635,28,2.6784
333,47,2.592
281,61,2.6784
184,61,2.592
214,58,2.6784
155,49,2.6784
119,49,2.592
368,35,2.6784
705,21,2.592
1074,22,2.6784
1739,-1,2.6784
2545,-2,2.4192
2504,28,2.6784
994,47,2.592
628,61,2.6784
390,61,2.592
299,58,2.6784
247,49,2.6784
187,49,2.592
592,35,2.6784
886,21,2.592
1131,22,2.6784
2371,-1,2.6784
1986,-2,2.4192
1411,28,2.6784
785,47,2.592
587,61,2.6784
440,61,2.592
373,58,2.6784
296,49,2.6784
229,49,2.592
389,35,2.6784
788,21,2.592
1344,22,2.6784
1932,-1,2.6784
1947,-2,2.4192
1260,28,2.6784
873,47,2.592
522,61,2.6784
448,61,2.592
367,58,2.6784
279,49,2.6784
257,49,2.592
286,35,2.6784
919,21,2.592
1260,22,2.6784
1333,-1,2.6784
1265,-2,2.5056
1309,28,2.6784
655,47,2.592
431,61,2.6784
334,61,2.592
304,58,2.6784
277,49,2.6784
279,49,2.592
423,35,2.6784
388,21,2.592
1154,22,2.6784
832,-1,2.6784
825,-2,2.4192
532,28,2.6784
359,47,2.592
269,61,2.6784
263,61,2.592
214,58,2.6784
144,49,2.6784
150,49,2.592
335,35,2.6784
1174,21,2.592
1270,22,2.6784
1359,-1,2.6784
987,-2,2.4192
656,28,2.6784
596,47,2.592
306,61,2.6784
215,61,2.592
207,58,2.6784
201,49,2.6784
297,49,2.592
445,35,2.6784
610,21,2.592
328,22,2.6784
221,-1,2.6784
219,-2,2.4192
287,28,2.6784
157,47,2.592
137,61,2.6784
64,61,2.592
58,58,2.6784
95,49,2.6784
155,49,2.592
332,35,2.6784
832,21,2.592
2143,22,2.6784
893,-1,2.6784
918,-2,2.5056
1075,28,2.6784
749,47,2.592
403,61,2.6784
305,61,2.592
299,58,2.6784
242,49,2.6784
264,49,2.592
559,35,2.6784
1159,21,2.592
941,22,2.6784
1376,-1,2.6784
1186,-2,2.4192
1392,28,2.6784
935,47,2.592
453,61,2.6784
313,61,2.592
279,58,2.6784
239,49,2.6784
201,49,2.592
570,35,2.6784
1206,21,2.592
1200,22,2.6784
1370,-1,2.6784
717,-2,2.4192
1085,28,2.6784
648,47,2.592
396,61,2.6784
338,61,2.592
282,58,2.6784
262,49,2.6784
184,49,2.592
308,35,2.6784
299,21,2.592
1035,22,2.6784
1692,-1,2.6784
1184,-2,2.4192
454,28,2.6784
560,47,2.592
387,61,2.6784
285,61,2.592
314,58,2.6784
221,49,2.6784
206,49,2.592
375,35,2.6784
734,21,2.592
728,22,2.6784
497,-1,2.6784
494,-2,2.5056
500,28,2.6784
296,47,2.592
283,61,2.6784
177,61,2.592
126,58,2.6784
144,49,2.6784
294,49,2.592
314,35,2.6784
862,21,2.592
1591,22,2.6784
1307,-1,2.6784
1102,-2,2.4192
536,28,2.6784
646,47,2.592
309,61,2.6784
267,61,2.592
186,58,2.6784
181,49,2.6784
195,49,2.592
172,35,2.6784
585,21,2.592
828,22,2.6784
1575,-1,2.6784
935,-2,2.4192
820,28,2.6784
558,47,2.592
403,61,2.6784
391,61,2.592
287,58,2.6784
249,49,2.6784
208,49,2.592
302,35,2.6784
556,21,2.592
1437,22,2.6784
1675,-1,2.6784
4435,-2,2.4192
1772,28,2.6784
1115,47,2.592
718,61,2.6784
534,61,2.592
439,58,2.6784
384,49,2.6784
427,49,2.592
417,35,2.6784
723,21,2.592
1051,22,2.6784
2682,-1,2.6784
2274,-2,2.5056
789,28,2.6784
1180,47,2.592
543,61,2.6784
488,61,2.592
401,58,2.6784
330,49,2.6784
280,49,2.592
232,35,2.6784
600,21,2.592
1145,22,2.6784
1383,-1,2.6784
659,-2,2.4192
913,28,2.6784
588,47,2.592
387,61,2.6784
371,61,2.592
253,58,2.6784
252,49,2.6784
177,49,2.592
607,35,2.6784
1849,21,2.592
2036,22,2.6784
2877,-1,2.6784
1783,-2,2.4192
2504,28,2.6784
1455,47,2.592
758,61,2.6784
561,61,2.592
451,58,2.6784
352,49,2.6784
319,49,2.592
492,35,2.6784
460,21,2.592
1049,22,2.6784
3009,-1,2.6784
3744,-2,2.4192
2382,28,2.6784
2095,47,2.592
1287,61,2.6784
1062,61,2.592
747,58,2.6784
487,49,2.6784
531,49,2.592
957,35,2.6784
1631,21,2.592
2496,22,2.6784
1422,-1,2.6784
719,-2,2.5056
653,28,2.6784
623,47,2.592
394,61,2.6784
304,61,2.592
212,58,2.6784
189,49,2.6784
351,49,2.592
329,35,2.6784
415,21,2.592
1297,22,2.6784
2545,-1,2.6784
2243,-2,2.4192
2117,28,2.6784
979,47,2.592
656,61,2.6784
467,61,2.592
384,58,2.6784
333,49,2.6784
355,49,2.592
396,35,2.6784
608,21,2.592
790,22,2.6784
2172,-1,2.6784
1606,-2,2.4192
876,28,2.6784
541,47,2.592
444,61,2.6784
337,61,2.592
322,58,2.6784
331,49,2.6784
193,49,2.592
110,35,2.6784
225,21,2.592
861,22,2.6784
1360,-1,2.6784
826,-2,2.4192
619,28,2.6784
799,47,2.592
371,61,2.6784
290,61,2.592
237,58,2.6784
168,49,2.6784
178,49,2.592
245,35,2.6784
335,21,2.592
1252,22,2.6784
863,-1,2.6784
1575,-2,2.5056
963,28,2.6784
513,47,2.592
321,61,2.6784
246,61,2.592
164,58,2.6784
166,49,2.6784
136,49,2.592
276,35,2.6784
319,21,2.592
644,22,2.6784
737,-1,2.6784
813,-2,2.4192
770,28,2.6784
297,47,2.592
218,61,2.6784
194,61,2.592
136,58,2.6784
145,49,2.6784
151,49,2.592
216,35,2.6784
497,21,2.592
1193,22,2.6784
1172,-1,2.6784
569,-2,2.4192
525,28,2.6784
329,47,2.592
266,61,2.6784
179,61,2.592
173,58,2.6784
134,49,2.6784
165,49,2.592
153,35,2.6784
278,21,2.592
282,22,2.6784
1817,-1,2.6784
1636,-2,2.4192
1389,28,2.6784
1300,47,2.592
540,61,2.6784
359,61,2.592
273,58,2.6784
215,49,2.6784
242,49,2.592
367,35,2.6784
442,21,2.592
602,22,2.6784
2043,-1,2.6784
3606,-2,2.5056
1328,28,2.6784
847,47,2.592
641,61,2.6784
394,61,2.592
324,58,2.6784
275,49,2.6784
344,49,2.592
497,35,2.6784
1358,21,2.592
1495,22,2.6784
1164,-1,2.6784
1452,-2,2.4192
992,28,2.6784
805,47,2.592
421,61,2.6784
381,61,2.592
270,58,2.6784
237,49,2.6784
248,49,2.592
290,35,2.6784
292,21,2.592
659,22,2.6784
2301,-1,2.6784
681,-2,2.4192
1483,28,2.6784
649,47,2.592
538,61,2.6784
344,61,2.592
296,58,2.6784
230,49,2.6784
194,49,2.592
209,35,2.6784
358,21,2.592
762,22,2.6784
488,-1,2.6784
1316,-2,2.4192
867,28,2.6784
580,47,2.592
411,61,2.6784
272,61,2.592
250,58,2.6784
172,49,2.6784
127,49,2.592
245,35,2.6784
528,21,2.592
1187,22,2.6784
1486,-1,2.6784
