qnat,evap,conversor
2720,29,2.592
1949,52,2.6784
1383,72,2.6784
1364,75,2.592
1502,69,2.6784
1500,41,2.592
2580,29,2.6784
10825,12,2.6784
8965,5,2.4192
8015,4,2.6784
5040,-2,2.592
2638,2,2.6784
1961,29,2.592
1284,52,2.6784
968,72,2.6784
858,75,2.592
992,69,2.6784
1729,41,2.592
1466,29,2.6784
4758,12,2.6784
8503,5,2.5056
12943,4,2.6784
8667,-2,2.592
3646,2,2.6784
2357,29,2.592
1787,52,2.6784
1400,72,2.6784
1149,75,2.592
1182,69,2.6784
1775,41,2.592
4083,29,2.6784
7012,12,2.6784
9433,5,2.4192
7579,4,2.6784
4553,-2,2.592
2993,2,2.6784
1861,29,2.592
1193,52,2.6784
946,72,2.6784
786,75,2.592
801,69,2.6784
1197,41,2.592
2245,29,2.6784
3859,12,2.6784
5782,5,2.4192
6789,4,2.6784
4345,-2,2.592
3144,2,2.6784
1687,29,2.592
1211,52,2.6784
1070,72,2.6784
1037,75,2.592
1214,69,2.6784
2065,41,2.592
4479,29,2.6784
5816,12,2.6784
7310,5,2.4192
5946,4,2.6784
4438,-2,2.592
3605,2,2.6784
1946,29,2.592
1484,52,2.6784
1038,72,2.6784
857,75,2.592
828,69,2.6784
1544,41,2.592
2425,29,2.6784
10384,12,2.6784
13851,5,2.5056
8943,4,2.6784
6828,-2,2.592
3844,2,2.6784
2289,29,2.592
1616,52,2.6784
1311,72,2.6784
1065,75,2.592
1429,69,2.6784
2738,41,2.592
5967,29,2.6784
5287,12,2.6784
6044,5,2.4192
8603,4,2.6784
10620,-2,2.592
4830,2,2.6784
2742,29,2.592
2006,52,2.6784
1593,72,2.6784
1326,75,2.592
2056,69,2.6784
3025,41,2.592
4900,29,2.6784
6052,12,2.6784
11888,5,2.4192
9155,4,2.6784
6100,-2,2.592
3411,2,2.6784
2389,29,2.592
1739,52,2.6784
1304,72,2.6784
1172,75,2.592
1458,69,2.6784
2199,41,2.592
3793,29,2.6784
4931,12,2.6784
6598,5,2.4192
8484,4,2.6784
8727,-2,2.592
4548,2,2.6784
2606,29,2.592
1813,52,2.6784
1450,72,2.6784
1214,75,2.592
1295,69,2.6784
2754,41,2.592
3983,29,2.6784
5341,12,2.6784
8017,5,2.5056
14811,4,2.6784
6080,-2,2.592
4007,2,2.6784
2488,29,2.592
1831,52,2.6784
1464,72,2.6784
1281,75,2.592
1483,69,2.6784
3681,41,2.592
8737,29,2.6784
5839,12,2.6784
7805,5,2.4192
8748,4,2.6784
5010,-2,2.592
3744,2,2.6784
2256,29,2.592
1627,52,2.6784
1260,72,2.6784
1126,75,2.592
1290,69,2.6784
2644,41,2.592
5712,29,2.6784
10883,12,2.6784
9612,5,2.4192
11721,4,2.6784
5614,-2,2.592
3610,2,2.6784
2331,29,2.592
1752,52,2.6784
1364,72,2.6784
1234,75,2.592
1881,69,2.6784
3231,41,2.592
3282,29,2.6784
3078,12,2.6784
3688,5,2.4192
4415,4,2.6784
5640,-2,2.592
3271,2,2.6784
1908,29,2.592
1373,52,2.6784
1132,72,2.6784
1012,75,2.592
1623,69,2.6784
3853,41,2.592
5678,29,2.6784
4159,12,2.6784
5499,5,2.5056
6275,4,2.6784
5677,-2,2.592
2744,2,2.6784
1923,29,2.592
1415,52,2.6784
1205,72,2.6784
1060,75,2.592
1538,69,2.6784
2186,41,2.592
4870,29,2.6784
5967,12,2.6784
5007,5,2.4192
7427,4,2.6784
7882,-2,2.592
3935,2,2.6784
2442,29,2.592
1850,52,2.6784
1460,72,2.6784
1158,75,2.592
2357,69,2.6784
3743,41,2.592
6056,29,2.6784
5815,12,2.6784
7135,5,2.4192
12087,4,2.6784
11956,-2,2.592
7615,2,2.6784
3692,29,2.592
2523,52,2.6784
1936,72,2.6784
1661,75,2.592
2056,69,2.6784
3193,41,2.592
4256,29,2.6784
5594,12,2.6784
7921,5,2.4192
7086,4,2.6784
9161,-2,2.592
4652,2,2.6784
2730,29,2.592
2185,52,2.6784
1617,72,2.6784
1291,75,2.592
1724,69,2.6784
2961,41,2.592
3520,29,2.6784
3816,12,2.6784
6179,5,2.5056
6599,4,2.6784
5119,-2,2.592
3467,2,2.6784
2177,29,2.592
1567,52,2.6784
1269,72,2.6784
1210,75,2.592
2247,69,2.6784
3540,41,2.592
5314,29,2.6784
5862,12,2.6784
12938,5,2.4192
6010,4,2.6784
6084,-2,2.592
5625,2,2.6784
2955,29,2.592
2035,52,2.6784
1559,72,2.6784
1384,75,2.592
2154,69,2.6784
2649,41,2.592
4677,29,2.6784
11493,12,2.6784
10763,5,2.4192
15600,4,2.6784
8630,-2,2.592
5551,2,2.6784
3482,29,2.592
2495,52,2.6784
1942,72,2.6784
1614,75,2.592
2001,69,2.6784
2245,41,2.592
4719,29,2.6784
11773,12,2.6784
19850,5,2.4192
10954,4,2.6784
7717,-2,2.592
4531,2,2.6784
3022,29,2.592
2283,52,2.6784
1887,72,2.6784
2013,75,2.592
2077,69,2.6784
3437,41,2.592
3763,29,2.6784
9303,12,2.6784
22600,5,2.5056
16896,4,2.6784
7747,-2,2.592
4353,2,2.6784
3042,29,2.592
2412,52,2.6784
1915,72,2.6784
1762,75,2.592
1908,69,2.6784
3372,41,2.592
8361,29,2.6784
10979,12,2.6784
7851,5,2.4192
8181,4,2.6784
10300,-2,2.592
3925,2,2.6784
2866,29,2.592
2160,52,2.6784
1764,72,2.6784
1431,75,2.592
1909,69,2.6784
5286,41,2.592
5037,29,2.6784
13012,12,2.6784
12523,5,2.4192
9605,4,2.6784
7534,-2,2.592
3870,2,2.6784
2560,29,2.592
2035,52,2.6784
1735,72,2.6784
1654,75,2.592
1985,69,2.6784
2337,41,2.592
2513,29,2.6784
5763,12,2.6784
15085,5,2.4192
7823,4,2.6784
7154,-2,2.592
3245,2,2.6784
2403,29,2.592
1808,52,2.6784
1502,72,2.6784
1312,75,2.592
1741,69,2.6784
2609,41,2.592
5610,29,2.6784
5120,12,2.6784
4327,5,2.5056
5630,4,2.6784
7771,-2,2.592
3681,2,2.6784
2167,29,2.592
1498,52,2.6784
1256,72,2.6784
1292,75,2.592
1412,69,2.6784
1916,41,2.592
2456,29,2.6784
7561,12,2.6784
11786,5,2.4192
8617,4,2.6784
9391,-2,2.592
5389,2,2.6784
2975,29,2.592
2188,52,2.6784
1697,72,2.6784
1418,75,2.592
2219,69,2.6784
3536,41,2.592
6997,29,2.6784
14230,12,2.6784
9898,5,2.4192
9219,4,2.6784
6645,-2,2.592
4637,2,2.6784
2740,29,2.592
2055,52,2.6784
1680,72,2.6784
1504,75,2.592
2308,69,2.6784
2381,41,2.592
2927,29,2.6784
4140,12,2.6784
3568,5,2.4192
7038,4,2.6784
6651,-2,2.592
3369,2,2.6784
2005,29,2.592
1493,52,2.6784
1217,72,2.6784
1050,75,2.592
1337,69,2.6784
2102,41,2.592
5597,29,2.6784
6375,12,2.6784
6252,5,2.5056
10454,4,2.6784
6765,-2,2.592
3899,2,2.6784
2403,29,2.592
1736,52,2.6784
1342,72,2.6784
1097,75,2.592
1437,69,2.6784
2309,41,2.592
5586,29,2.6784
5578,12,2.6784
5472,5,2.4192
6744,4,2.6784
6223,-2,2.592
4438,2,2.6784
2335,29,2.592
1750,52,2.6784
1374,72,2.6784
1215,75,2.592
1355,69,2.6784
3168,41,2.592
13671,29,2.6784
14735,12,2.6784
6438,5,2.4192
8128,4,2.6784
5603,-2,2.592
3639,2,2.6784
2368,29,2.592
1870,52,2.6784
1429,72,2.6784
1518,75,2.592
1537,69,2.6784
1921,41,2.592
2815,29,2.6784
5876,12,2.6784
6510,5,2.4192
7527,4,2.6784
8896,-2,2.592
4293,2,2.6784
2583,29,2.592
2013,52,2.6784
1809,72,2.6784
1586,75,2.592
1497,69,2.6784
2172,41,2.592
3303,29,2.6784
5692,12,2.6784
