,qnat,evap,conversor
0,1049,27,2.6784
1,1426,8,2.4192
2,2515,16,2.6784
3,1604,26,2.592
4,782,52,2.6784
5,577,70,2.592
6,429,85,2.6784
7,326,93,2.6784
8,327,105,2.592
9,486,60,2.6784
10,690,45,2.592
11,718,36,2.6784
12,1219,27,2.6784
13,1529,8,2.5056
14,1090,16,2.6784
15,656,26,2.592
16,339,52,2.6784
17,229,70,2.592
18,169,85,2.6784
19,127,93,2.6784
20,158,105,2.592
21,371,60,2.6784
22,658,45,2.592
23,898,36,2.6784
24,1420,27,2.6784
25,1389,8,2.4192
26,1164,16,2.6784
27,1072,26,2.592
28,449,52,2.6784
29,319,70,2.592
30,229,85,2.6784
31,177,93,2.6784
32,216,105,2.592
33,379,60,2.6784
34,809,45,2.592
35,1469,36,2.6784
36,1467,27,2.6784
37,1405,8,2.4192
38,1114,16,2.6784
39,995,26,2.592
40,365,52,2.6784
41,255,70,2.592
42,188,85,2.6784
43,140,93,2.6784
44,247,105,2.592
45,195,60,2.6784
46,509,45,2.592
47,789,36,2.6784
48,1552,27,2.6784
49,2452,8,2.4192
50,2337,16,2.6784
51,2133,26,2.592
52,1108,52,2.6784
53,640,70,2.592
54,479,85,2.6784
55,361,93,2.6784
56,323,105,2.592
57,490,60,2.6784
58,889,45,2.592
59,1302,36,2.6784
60,1113,27,2.6784
61,1556,8,2.5056
62,1620,16,2.6784
63,1214,26,2.592
64,513,52,2.6784
65,343,70,2.592
66,254,85,2.6784
67,208,93,2.6784
68,249,105,2.592
69,259,60,2.6784
70,482,45,2.592
71,714,36,2.6784
72,863,27,2.6784
73,1130,8,2.4192
74,1057,16,2.6784
75,878,26,2.592
76,435,52,2.6784
77,246,70,2.592
78,171,85,2.6784
79,129,93,2.6784
80,99,105,2.592
81,467,60,2.6784
82,900,45,2.592
83,1532,36,2.6784
84,1346,27,2.6784
85,1454,8,2.4192
86,1121,16,2.6784
87,630,26,2.592
88,307,52,2.6784
89,231,70,2.592
90,172,85,2.6784
91,130,93,2.6784
92,164,105,2.592
93,243,60,2.6784
94,363,45,2.592
95,962,36,2.6784
96,1913,27,2.6784
97,1866,8,2.4192
98,1264,16,2.6784
99,949,26,2.592
100,465,52,2.6784
101,323,70,2.592
102,270,85,2.6784
103,170,93,2.6784
104,246,105,2.592
105,561,60,2.6784
106,856,45,2.592
107,877,36,2.6784
108,1825,27,2.6784
109,3665,8,2.5056
110,3827,16,2.6784
111,1641,26,2.592
112,1066,52,2.6784
113,745,70,2.592
114,547,85,2.6784
115,437,93,2.6784
116,517,105,2.592
117,551,60,2.6784
118,875,45,2.592
119,1206,36,2.6784
120,1436,27,2.6784
121,1609,8,2.4192
122,1783,16,2.6784
123,1324,26,2.592
124,467,52,2.6784
125,350,70,2.592
126,283,85,2.6784
127,194,93,2.6784
128,260,105,2.592
129,437,60,2.6784
130,649,45,2.592
131,864,36,2.6784
132,1096,27,2.6784
133,1762,8,2.4192
134,1582,16,2.6784
135,1073,26,2.592
136,445,52,2.6784
137,313,70,2.592
138,231,85,2.6784
139,171,93,2.6784
140,477,105,2.592
141,492,60,2.6784
142,811,45,2.592
143,1700,36,2.6784
144,3173,27,2.6784
145,2566,8,2.4192
146,2579,16,2.6784
147,1563,26,2.592
148,671,52,2.6784
149,512,70,2.592
150,379,85,2.6784
151,290,93,2.6784
152,300,105,2.592
153,487,60,2.6784
154,1044,45,2.592
155,1656,36,2.6784
156,1308,27,2.6784
157,1803,8,2.5056
158,1490,16,2.6784
159,948,26,2.592
160,433,52,2.6784
161,356,70,2.592
162,247,85,2.6784
163,188,93,2.6784
164,144,105,2.592
165,404,60,2.6784
166,539,45,2.592
167,1322,36,2.6784
168,2778,27,2.6784
169,2849,8,2.4192
170,3601,16,2.6784
171,3524,26,2.592
172,1689,52,2.6784
173,976,70,2.592
174,717,85,2.6784
175,543,93,2.6784
176,463,105,2.592
177,847,60,2.6784
178,1556,45,2.592
179,3037,36,2.6784
180,2774,27,2.6784
181,2066,8,2.4192
182,1775,16,2.6784
183,1139,26,2.592
184,662,52,2.6784
185,389,70,2.592
186,285,85,2.6784
187,218,93,2.6784
188,236,105,2.592
189,258,60,2.6784
190,527,45,2.592
191,645,36,2.6784
192,1195,27,2.6784
193,1691,8,2.4192
194,2378,16,2.6784
195,1542,26,2.592
196,651,52,2.6784
197,489,70,2.592
198,377,85,2.6784
199,416,93,2.6784
200,284,105,2.592
201,524,60,2.6784
202,850,45,2.592
203,1307,36,2.6784
204,1381,27,2.6784
205,1345,8,2.5056
206,1757,16,2.6784
207,978,26,2.592
208,481,52,2.6784
209,381,70,2.592
210,279,85,2.6784
211,210,93,2.6784
212,228,105,2.592
213,339,60,2.6784
214,732,45,2.592
215,2926,36,2.6784
216,1917,27,2.6784
217,2799,8,2.4192
218,1635,16,2.6784
219,1154,26,2.592
220,624,52,2.6784
221,377,70,2.592
222,276,85,2.6784
223,202,93,2.6784
224,166,105,2.592
225,273,60,2.6784
226,483,45,2.592
227,803,36,2.6784
228,691,27,2.6784
229,870,8,2.4192
230,1366,16,2.6784
231,834,26,2.592
232,378,52,2.6784
233,231,70,2.592
234,168,85,2.6784
235,139,93,2.6784
236,124,105,2.592
237,207,60,2.6784
238,528,45,2.592
239,699,36,2.6784
240,966,27,2.6784
241,1037,8,2.4192
242,1332,16,2.6784
243,1152,26,2.592
244,533,52,2.6784
245,421,70,2.592
246,302,85,2.6784
247,240,93,2.6784
248,234,105,2.592
249,207,60,2.6784
250,230,45,2.592
251,663,36,2.6784
252,434,27,2.6784
253,621,8,2.5056
254,1697,16,2.6784
255,611,26,2.592
256,420,52,2.6784
257,244,70,2.592
258,172,85,2.6784
259,135,93,2.6784
260,127,105,2.592
261,137,60,2.6784
262,339,45,2.592
263,992,36,2.6784
264,436,27,2.6784
265,489,8,2.4192
266,806,16,2.6784
267,799,26,2.592
268,347,52,2.6784
269,253,70,2.592
270,198,85,2.6784
271,167,93,2.6784
272,148,105,2.592
273,308,60,2.6784
274,460,45,2.592
275,1042,36,2.6784
276,811,27,2.6784
277,1423,8,2.4192
278,554,16,2.6784
279,759,26,2.592
280,299,52,2.6784
281,213,70,2.592
282,163,85,2.6784
283,132,93,2.6784
284,122,105,2.592
285,98,60,2.6784
286,251,45,2.592
287,1214,36,2.6784
288,1126,27,2.6784
289,1168,8,2.4192
290,833,16,2.6784
291,1014,26,2.592
292,324,52,2.6784
293,271,70,2.592
294,191,85,2.6784
295,157,93,2.6784
296,145,105,2.592
297,248,60,2.6784
298,396,45,2.592
299,1019,36,2.6784
300,943,27,2.6784
301,432,8,2.5056
302,1095,16,2.6784
303,474,26,2.592
304,445,52,2.6784
305,309,70,2.592
306,193,85,2.6784
307,160,93,2.6784
308,133,105,2.592
309,210,60,2.6784
310,902,45,2.592
311,1664,36,2.6784
312,2338,27,2.6784
313,2052,8,2.4192
314,2427,16,2.6784
315,1890,26,2.592
316,566,52,2.6784
317,408,70,2.592
318,287,85,2.6784
319,212,93,2.6784
320,192,105,2.592
321,221,60,2.6784
322,355,45,2.592
323,867,36,2.6784
324,1121,27,2.6784
325,2320,8,2.4192
326,1286,16,2.6784
327,1379,26,2.592
328,821,52,2.6784
329,375,70,2.592
330,312,85,2.6784
331,184,93,2.6784
332,193,105,2.592
333,250,60,2.6784
334,284,45,2.592
335,670,36,2.6784
336,3206,27,2.6784
337,1437,8,2.4192
338,1475,16,2.6784
339,790,26,2.592
340,371,52,2.6784
341,297,70,2.592
342,209,85,2.6784
343,172,93,2.6784
344,133,105,2.592
345,228,60,2.6784
346,527,45,2.592
347,524,36,2.6784
348,1607,27,2.6784
349,2593,8,2.5056
350,2602,16,2.6784
351,1475,26,2.592
352,650,52,2.6784
353,444,70,2.592
354,325,85,2.6784
355,244,93,2.6784
356,159,105,2.592
357,235,60,2.6784
358,548,45,2.592
359,1129,36,2.6784
360,1518,27,2.6784
361,1838,8,2.4192
362,1274,16,2.6784
363,768,26,2.592
364,704,52,2.6784
365,322,70,2.592
366,240,85,2.6784
367,208,93,2.6784
368,165,105,2.592
369,151,60,2.6784
370,216,45,2.592
371,601,36,2.6784
372,943,27,2.6784
373,1152,8,2.4192
374,1551,16,2.6784
375,645,26,2.592
376,422,52,2.6784
377,288,70,2.592
378,217,85,2.6784
379,163,93,2.6784
380,142,105,2.592
381,278,60,2.6784
382,394,45,2.592
383,1225,36,2.6784
384,1250,27,2.6784
385,1320,8,2.4192
386,679,16,2.6784
387,490,26,2.592
388,354,52,2.6784
389,246,70,2.592
390,192,85,2.6784
391,149,93,2.6784
392,118,105,2.592
393,107,60,2.6784
394,272,45,2.592
395,398,36,2.6784
396,2402,27,2.6784
397,2290,8,2.5056
398,1000,16,2.6784
399,734,26,2.592
400,496,52,2.6784
401,320,70,2.592
402,242,85,2.6784
403,181,93,2.6784
404,124,105,2.592
405,259,60,2.6784
406,574,45,2.592
407,1045,36,2.6784
408,983,27,2.6784
409,1106,8,2.4192
410,1348,16,2.6784
411,1276,26,2.592
412,643,52,2.6784
413,411,70,2.592
414,305,85,2.6784
415,225,93,2.6784
416,165,105,2.592
417,480,60,2.6784
418,748,45,2.592
419,823,36,2.6784
420,1041,27,2.6784
421,3591,8,2.4192
422,2025,16,2.6784
423,965,26,2.592
424,649,52,2.6784
425,413,70,2.592
426,317,85,2.6784
427,248,93,2.6784
428,207,105,2.592
429,353,60,2.6784
430,376,45,2.592
431,770,36,2.6784
432,755,27,2.6784
433,1078,8,2.4192
434,1119,16,2.6784
435,847,26,2.592
436,494,52,2.6784
437,337,70,2.592
438,249,85,2.6784
439,184,93,2.6784
440,146,105,2.592
441,168,60,2.6784
442,398,45,2.592
443,754,36,2.6784
444,652,27,2.6784
445,1254,8,2.5056
446,2125,16,2.6784
447,886,26,2.592
448,516,52,2.6784
449,359,70,2.592
450,267,85,2.6784
451,216,93,2.6784
452,205,105,2.592
453,275,60,2.6784
454,596,45,2.592
455,1272,36,2.6784
456,826,27,2.6784
457,1638,8,2.4192
458,1383,16,2.6784
459,666,26,2.592
460,514,52,2.6784
461,354,70,2.592
462,251,85,2.6784
463,197,93,2.6784
464,175,105,2.592
465,217,60,2.6784
466,793,45,2.592
467,1452,36,2.6784
468,2369,27,2.6784
469,1734,8,2.4192
470,2177,16,2.6784
471,1338,26,2.592
472,681,52,2.6784
473,454,70,2.592
474,348,85,2.6784
475,272,93,2.6784
476,260,105,2.592
477,385,60,2.6784
478,687,45,2.592
479,529,36,2.6784
480,468,27,2.6784
481,493,8,2.4192
482,600,16,2.6784
483,607,26,2.592
484,329,52,2.6784
485,241,70,2.592
486,182,85,2.6784
487,152,93,2.6784
488,150,105,2.592
489,312,60,2.6784
490,1013,45,2.592
491,1125,36,2.6784
492,702,27,2.6784
493,764,8,2.5056
494,977,16,2.6784
495,844,26,2.592
496,445,52,2.6784
497,316,70,2.592
498,246,85,2.6784
499,196,93,2.6784
500,167,105,2.592
501,388,60,2.6784
502,623,45,2.592
503,1744,36,2.6784
504,1111,27,2.6784
505,1115,8,2.4192
506,1628,16,2.6784
507,1455,26,2.592
508,642,52,2.6784
509,448,70,2.592
510,361,85,2.6784
511,272,93,2.6784
512,223,105,2.592
513,673,60,2.6784
514,881,45,2.592
515,975,36,2.6784
516,833,27,2.6784
517,811,8,2.4192
518,2018,16,2.6784
519,1611,26,2.592
520,866,52,2.6784
521,552,70,2.592
522,409,85,2.6784
523,323,93,2.6784
524,261,105,2.592
525,364,60,2.6784
526,473,45,2.592
527,648,36,2.6784
528,706,27,2.6784
529,1049,8,2.4192
530,653,16,2.6784
531,925,26,2.592
532,470,52,2.6784
533,328,70,2.592
534,259,85,2.6784
535,205,93,2.6784
536,167,105,2.592
537,325,60,2.6784
538,532,45,2.592
539,552,36,2.6784
540,504,27,2.6784
541,780,8,2.5056
542,964,16,2.6784
543,604,26,2.592
544,424,52,2.6784
545,283,70,2.592
546,219,85,2.6784
547,179,93,2.6784
548,213,105,2.592
549,292,60,2.6784
550,767,45,2.592
551,1286,36,2.6784
552,1837,27,2.6784
553,2647,8,2.4192
554,901,16,2.6784
555,932,26,2.592
556,577,52,2.6784
557,454,70,2.592
558,332,85,2.6784
559,260,93,2.6784
560,254,105,2.592
561,346,60,2.6784
562,442,45,2.592
563,954,36,2.6784
564,2657,27,2.6784
565,1940,8,2.4192
566,2331,16,2.6784
567,1233,26,2.592
568,730,52,2.6784
569,557,70,2.592
570,430,85,2.6784
571,328,93,2.6784
572,274,105,2.592
573,366,60,2.6784
574,446,45,2.592
575,881,36,2.6784
576,3191,27,2.6784
577,4071,8,2.4192
578,1924,16,2.6784
579,1226,26,2.592
580,745,52,2.6784
581,586,70,2.592
582,447,85,2.6784
583,356,93,2.6784
584,361,105,2.592
585,332,60,2.6784
586,524,45,2.592
587,602,36,2.6784
588,2698,27,2.6784
589,6163,8,2.5056
590,2568,16,2.6784
591,1634,26,2.592
592,877,52,2.6784
593,623,70,2.592
594,489,85,2.6784
595,382,93,2.6784
596,375,105,2.592
597,358,60,2.6784
598,656,45,2.592
599,1541,36,2.6784
600,1946,27,2.6784
601,1069,8,2.4192
602,1475,16,2.6784
603,1555,26,2.592
604,803,52,2.6784
605,611,70,2.592
606,463,85,2.6784
607,365,93,2.6784
608,293,105,2.592
609,519,60,2.6784
610,1168,45,2.592
611,892,36,2.6784
612,3330,27,2.6784
613,1900,8,2.4192
614,1878,16,2.6784
615,1288,26,2.592
616,851,52,2.6784
617,648,70,2.592
618,523,85,2.6784
619,428,93,2.6784
620,396,105,2.592
621,472,60,2.6784
622,497,45,2.592
623,569,36,2.6784
624,1726,27,2.6784
625,4278,8,2.4192
626,1908,16,2.6784
627,1488,26,2.592
628,870,52,2.6784
629,629,70,2.592
630,471,85,2.6784
631,372,93,2.6784
632,337,105,2.592
633,419,60,2.6784
634,651,45,2.592
635,1412,36,2.6784
636,1028,27,2.6784
637,718,8,2.5056
638,897,16,2.6784
639,1008,26,2.592
640,531,52,2.6784
641,383,70,2.592
642,299,85,2.6784
643,250,93,2.6784
644,268,105,2.592
645,378,60,2.6784
646,354,45,2.592
647,505,36,2.6784
648,2695,27,2.6784
649,2126,8,2.4192
650,1527,16,2.6784
651,1263,26,2.592
652,717,52,2.6784
653,527,70,2.592
654,413,85,2.6784
655,325,93,2.6784
656,270,105,2.592
657,378,60,2.6784
658,507,45,2.592
659,1539,36,2.6784
660,1886,27,2.6784
661,1507,8,2.4192
662,1112,16,2.6784
663,714,26,2.592
664,532,52,2.6784
665,393,70,2.592
666,316,85,2.6784
667,281,93,2.6784
668,232,105,2.592
669,297,60,2.6784
670,314,45,2.592
671,505,36,2.6784
672,696,27,2.6784
673,611,8,2.4192
674,996,16,2.6784
675,710,26,2.592
676,462,52,2.6784
677,317,70,2.592
678,232,85,2.6784
679,180,93,2.6784
680,165,105,2.592
681,238,60,2.6784
682,458,45,2.592
683,1260,36,2.6784
684,978,27,2.6784
685,1304,8,2.5056
686,1982,16,2.6784
687,1053,26,2.592
688,606,52,2.6784
689,474,70,2.592
690,345,85,2.6784
691,268,93,2.6784
692,219,105,2.592
693,351,60,2.6784
694,469,45,2.592
695,874,36,2.6784
696,928,27,2.6784
697,833,8,2.4192
698,725,16,2.6784
699,514,26,2.592
700,377,52,2.6784
701,279,70,2.592
702,227,85,2.6784
703,198,93,2.6784
704,207,105,2.592
705,282,60,2.6784
706,624,45,2.592
707,3823,36,2.6784
708,2322,27,2.6784
709,1392,8,2.4192
710,1285,16,2.6784
711,878,26,2.592
712,658,52,2.6784
713,467,70,2.592
714,387,85,2.6784
715,298,93,2.6784
716,330,105,2.592
717,335,60,2.6784
718,393,45,2.592
719,480,36,2.6784
720,1039,27,2.6784
721,1161,8,2.4192
722,1724,16,2.6784
723,1499,26,2.592
724,690,52,2.6784
725,481,70,2.592
726,362,85,2.6784
727,281,93,2.6784
728,248,105,2.592
729,295,60,2.6784
730,408,45,2.592
731,604,36,2.6784
732,1458,27,2.6784
733,3235,8,2.5056
734,1363,16,2.6784
735,1198,26,2.592
736,716,52,2.6784
737,514,70,2.592
738,401,85,2.6784
739,318,93,2.6784
740,325,105,2.592
741,488,60,2.6784
742,947,45,2.592
743,2153,36,2.6784
744,1494,27,2.6784
745,1705,8,2.4192
746,1131,16,2.6784
747,784,26,2.592
748,547,52,2.6784
749,417,70,2.592
750,323,85,2.6784
751,274,93,2.6784
752,267,105,2.592
753,299,60,2.6784
754,273,45,2.592
755,848,36,2.6784
756,1228,27,2.6784
757,949,8,2.4192
758,2157,16,2.6784
759,1233,26,2.592
760,636,52,2.6784
761,482,70,2.592
762,380,85,2.6784
763,288,93,2.6784
764,224,105,2.592
765,233,60,2.6784
766,437,45,2.592
767,759,36,2.6784
768,1049,27,2.6784
769,1431,8,2.4192
770,991,16,2.6784
771,1313,26,2.592
772,750,52,2.6784
773,497,70,2.592
774,371,85,2.6784
775,277,93,2.6784
776,224,105,2.592
777,251,60,2.6784
778,415,45,2.592
779,1076,36,2.6784
780,977,27,2.6784
781,682,8,2.5056
782,849,16,2.6784
783,645,26,2.592
784,436,52,2.6784
785,315,70,2.592
786,242,85,2.6784
787,205,93,2.6784
788,171,105,2.592
789,263,60,2.6784
790,426,45,2.592
791,483,36,2.6784
792,1481,27,2.6784
793,939,8,2.4192
794,2204,16,2.6784
795,1768,26,2.592
796,868,52,2.6784
797,595,70,2.592
798,448,85,2.6784
799,323,93,2.6784
800,321,105,2.592
801,338,60,2.6784
802,394,45,2.592
803,708,36,2.6784
804,865,27,2.6784
805,1164,8,2.4192
806,856,16,2.6784
807,447,26,2.592
808,286,52,2.6784
809,204,70,2.592
810,162,85,2.6784
811,107,93,2.6784
812,137,105,2.592
813,148,60,2.6784
814,614,45,2.592
815,879,36,2.6784
816,689,27,2.6784
817,576,8,2.4192
818,884,16,2.6784
819,330,26,2.592
820,215,52,2.6784
821,145,70,2.592
822,111,85,2.6784
823,97,93,2.6784
824,131,105,2.592
825,159,60,2.6784
826,621,45,2.592
