,qnat,evap,conversor
827,1375,36,2.6784
828,1806,27,2.6784
829,1724,8,2.5056
830,1766,16,2.6784
831,856,26,2.592
832,459,52,2.6784
833,339,70,2.592
834,266,85,2.6784
835,206,93,2.6784
836,223,105,2.592
837,164,60,2.6784
838,699,45,2.592
839,1328,36,2.6784
840,810,27,2.6784
841,600,8,2.4192
842,979,16,2.6784
843,553,26,2.592
844,322,52,2.6784
845,208,70,2.592
846,176,85,2.6784
847,120,93,2.6784
848,144,105,2.592
849,315,60,2.6784
850,599,45,2.592
851,981,36,2.6784
852,2084,27,2.6784
853,1741,8,2.4192
854,1036,16,2.6784
855,652,26,2.592
856,405,52,2.6784
857,300,70,2.592
858,239,85,2.6784
859,163,93,2.6784
860,168,105,2.592
861,139,60,2.6784
862,329,45,2.592
863,608,36,2.6784
864,1197,27,2.6784
865,1056,8,2.4192
866,1140,16,2.6784
867,919,26,2.592
868,425,52,2.6784
869,293,70,2.592
870,206,85,2.6784
871,135,93,2.6784
872,167,105,2.592
873,139,60,2.6784
874,283,45,2.592
875,340,36,2.6784
876,1292,27,2.6784
877,2998,8,2.5056
878,1870,16,2.6784
879,1326,26,2.592
880,671,52,2.6784
881,448,70,2.592
882,321,85,2.6784
883,230,93,2.6784
884,201,105,2.592
885,252,60,2.6784
886,330,45,2.592
887,497,36,2.6784
888,993,27,2.6784
889,1359,8,2.4192
890,1605,16,2.6784
891,797,26,2.592
892,449,52,2.6784
893,298,70,2.592
894,236,85,2.6784
895,188,93,2.6784
896,137,105,2.592
897,109,60,2.6784
898,403,45,2.592
899,1237,36,2.6784
900,692,27,2.6784
901,792,8,2.4192
902,1216,16,2.6784
903,1036,26,2.592
904,473,52,2.6784
905,309,70,2.592
906,228,85,2.6784
907,195,93,2.6784
908,169,105,2.592
909,419,60,2.6784
910,629,45,2.592
911,872,36,2.6784
912,1163,27,2.6784
913,2427,8,2.4192
914,978,16,2.6784
915,642,26,2.592
916,389,52,2.6784
917,265,70,2.592
918,224,85,2.6784
919,165,93,2.6784
920,129,105,2.592
921,102,60,2.6784
922,310,45,2.592
923,550,36,2.6784
924,605,27,2.6784
925,1224,8,2.5056
926,1800,16,2.6784
927,1102,26,2.592
928,484,52,2.6784
929,332,70,2.592
930,241,85,2.6784
931,172,93,2.6784
932,107,105,2.592
933,97,60,2.6784
934,402,45,2.592
935,1271,36,2.6784
936,1224,27,2.6784
937,1120,8,2.4192
938,820,16,2.6784
939,1300,26,2.592
940,636,52,2.6784
941,409,70,2.592
942,283,85,2.6784
943,222,93,2.6784
944,239,105,2.592
945,537,60,2.6784
946,728,45,2.592
947,1271,36,2.6784
948,1428,27,2.6784
949,747,8,2.4192
950,1036,16,2.6784
951,749,26,2.592
952,290,52,2.6784
953,222,70,2.592
954,181,85,2.6784
955,146,93,2.6784
956,105,105,2.592
957,211,60,2.6784
958,652,45,2.592
959,1157,36,2.6784
960,2433,27,2.6784
961,1321,8,2.4192
962,2110,16,2.6784
963,1145,26,2.592
964,583,52,2.6784
965,421,70,2.592
966,322,85,2.6784
967,186,93,2.6784
968,124,105,2.592
969,315,60,2.6784
970,685,45,2.592
971,1371,36,2.6784
972,2182,27,2.6784
973,1472,8,2.5056
974,960,16,2.6784
975,634,26,2.592
976,383,52,2.6784
977,324,70,2.592
978,221,85,2.6784
979,130,93,2.6784
980,152,105,2.592
981,250,60,2.6784
982,564,45,2.592
983,585,36,2.6784
984,1393,27,2.6784
985,1143,8,2.4192
986,921,16,2.6784
987,873,26,2.592
988,410,52,2.6784
989,399,70,2.592
990,256,85,2.6784
991,173,93,2.6784
992,118,105,2.592
993,224,60,2.6784
994,314,45,2.592
995,1114,36,2.6784
996,745,27,2.6784
997,831,8,2.4192
998,1233,16,2.6784
999,1047,26,2.592
1000,531,52,2.6784
1001,324,70,2.592
1002,230,85,2.6784
1003,147,93,2.6784
1004,127,105,2.592
1005,126,60,2.6784
1006,375,45,2.592
1007,853,36,2.6784
1008,354,27,2.6784
1009,827,8,2.4192
1010,932,16,2.6784
1011,869,26,2.592
1012,598,52,2.6784
1013,334,70,2.592
1014,240,85,2.6784
1015,156,93,2.6784
1016,116,105,2.592
1017,105,60,2.6784
1018,161,45,2.592
1019,227,36,2.6784
1020,1469,27,2.6784
1021,856,8,2.5056
1022,722,16,2.6784
1023,315,26,2.592
1024,233,52,2.6784
1025,165,70,2.592
1026,115,85,2.6784
1027,140,93,2.6784
1028,94,105,2.592
1029,154,60,2.6784
1030,387,45,2.592
1031,439,36,2.6784
1032,347,27,2.6784
1033,734,8,2.4192
1034,534,16,2.6784
1035,471,26,2.592
1036,260,52,2.6784
1037,158,70,2.592
1038,109,85,2.6784
1039,91,93,2.6784
1040,98,105,2.592
1041,123,60,2.6784
1042,243,45,2.592
1043,812,36,2.6784
1044,602,27,2.6784
1045,921,8,2.4192
1046,964,16,2.6784
1047,724,26,2.592
1048,329,52,2.6784
1049,229,70,2.592
1050,168,85,2.6784
1051,130,93,2.6784
1052,115,105,2.592
1053,194,60,2.6784
1054,510,45,2.592
1055,766,36,2.6784
1056,408,27,2.6784
1057,508,8,2.4192
1058,870,16,2.6784
1059,935,26,2.592
1060,416,52,2.6784
1061,256,70,2.592
1062,184,85,2.6784
1063,139,93,2.6784
1064,93,105,2.592
1065,114,60,2.6784
1066,188,45,2.592
1067,279,36,2.6784
1068,784,27,2.6784
1069,1369,8,2.5056
1070,1804,16,2.6784
1071,1188,26,2.592
1072,599,52,2.6784
1073,383,70,2.592
1074,273,85,2.6784
1075,202,93,2.6784
1076,142,105,2.592
1077,177,60,2.6784
1078,412,45,2.592
1079,387,36,2.6784
