qnat,evap,conversor
1344,32,2.6784
1797,7,2.4192
3166,15,2.6784
2023,21,2.592
988,42,2.6784
703,55,2.592
521,60,2.6784
394,71,2.6784
382,91,2.592
576,61,2.6784
846,46,2.592
906,36,2.6784
1481,32,2.6784
1917,7,2.5056
1379,15,2.6784
790,21,2.592
415,42,2.6784
272,55,2.592
200,60,2.6784
147,71,2.6784
185,91,2.592
418,61,2.6784
748,46,2.592
1053,36,2.6784
1691,32,2.6784
1727,7,2.4192
1441,15,2.6784
1315,21,2.592
544,42,2.6784
370,55,2.592
267,60,2.6784
202,71,2.6784
235,91,2.592
419,61,2.6784
964,46,2.592
1825,36,2.6784
1846,32,2.6784
1766,7,2.4192
1474,15,2.6784
1219,21,2.592
461,42,2.6784
302,55,2.592
222,60,2.6784
162,71,2.6784
282,91,2.592
215,61,2.6784
599,46,2.592
1035,36,2.6784
2046,32,2.6784
3214,7,2.4192
3007,15,2.6784
2798,21,2.592
1429,42,2.6784
813,55,2.592
601,60,2.6784
443,71,2.6784
384,91,2.592
580,61,2.6784
1034,46,2.592
1544,36,2.6784
1355,32,2.6784
1921,7,2.5056
2039,15,2.6784
1536,21,2.592
638,42,2.6784
410,55,2.592
301,60,2.6784
241,71,2.6784
278,91,2.592
317,61,2.6784
575,46,2.592
847,36,2.6784
1046,32,2.6784
1358,7,2.4192
1294,15,2.6784
1092,21,2.592
537,42,2.6784
294,55,2.592
202,60,2.6784
151,71,2.6784
111,91,2.592
519,61,2.6784
1063,46,2.592
1946,36,2.6784
1708,32,2.6784
1733,7,2.4192
1354,15,2.6784
783,21,2.592
369,42,2.6784
270,55,2.592
198,60,2.6784
149,71,2.6784
179,91,2.592
268,61,2.6784
402,46,2.592
1049,36,2.6784
2160,32,2.6784
2133,7,2.4192
1501,15,2.6784
1095,21,2.592
537,42,2.6784
360,55,2.592
306,60,2.6784
188,71,2.6784
269,91,2.592
644,61,2.6784
1033,46,2.592
1084,36,2.6784
2158,32,2.6784
4461,7,2.5056
4828,15,2.6784
2142,21,2.592
1304,42,2.6784
908,55,2.592
659,60,2.6784
517,71,2.6784
606,91,2.592
661,61,2.6784
1047,46,2.592
1495,36,2.6784
1716,32,2.6784
1894,7,2.4192
2071,15,2.6784
1583,21,2.592
562,42,2.6784
399,55,2.592
318,60,2.6784
217,71,2.6784
282,91,2.592
505,61,2.6784
761,46,2.592
1034,36,2.6784
1378,32,2.6784
2214,7,2.4192
1918,15,2.6784
1322,21,2.592
542,42,2.6784
366,55,2.592
269,60,2.6784
194,71,2.6784
547,91,2.592
579,61,2.6784
954,46,2.592
2022,36,2.6784
3858,32,2.6784
3261,7,2.4192
3128,15,2.6784
1910,21,2.592
821,42,2.6784
599,55,2.592
443,60,2.6784
334,71,2.6784
338,91,2.592
576,61,2.6784
1245,46,2.592
2007,36,2.6784
1622,32,2.6784
2240,7,2.5056
1779,15,2.6784
1149,21,2.592
519,42,2.6784
408,55,2.592
287,60,2.6784
215,71,2.6784
161,91,2.592
445,61,2.6784
603,46,2.592
1524,36,2.6784
3437,32,2.6784
3680,7,2.4192
4255,15,2.6784
4250,21,2.592
2132,42,2.6784
1165,55,2.592
840,60,2.6784
637,71,2.6784
529,91,2.592
995,61,2.6784
1817,46,2.592
3436,36,2.6784
3227,32,2.6784
2416,7,2.4192
2043,15,2.6784
1279,21,2.592
745,42,2.6784
430,55,2.592
309,60,2.6784
235,71,2.6784
251,91,2.592
282,61,2.6784
590,46,2.592
708,36,2.6784
1329,32,2.6784
1965,7,2.4192
2786,15,2.6784
1924,21,2.592
818,42,2.6784
586,55,2.592
446,60,2.6784
484,71,2.6784
331,91,2.592
599,61,2.6784
1002,46,2.592
1560,36,2.6784
1657,32,2.6784
1591,7,2.5056
2052,15,2.6784
1205,21,2.592
562,42,2.6784
433,55,2.592
317,60,2.6784
235,71,2.6784
262,91,2.592
367,61,2.6784
851,46,2.592
3646,36,2.6784
2464,32,2.6784
3367,7,2.4192
2055,15,2.6784
1467,21,2.592
756,42,2.6784
443,55,2.592
322,60,2.6784
231,71,2.6784
188,91,2.592
320,61,2.6784
603,46,2.592
993,36,2.6784
898,32,2.6784
1070,7,2.4192
1683,15,2.6784
1102,21,2.592
474,42,2.6784
276,55,2.592
199,60,2.6784
162,71,2.6784
147,91,2.592
236,61,2.6784
603,46,2.592
786,36,2.6784
1044,32,2.6784
1113,7,2.4192
1432,15,2.6784
1301,21,2.592
612,42,2.6784
449,55,2.592
325,60,2.6784
257,71,2.6784
251,91,2.592
220,61,2.6784
238,46,2.592
764,36,2.6784
597,32,2.6784
747,7,2.5056
2057,15,2.6784
786,21,2.592
493,42,2.6784
295,55,2.592
201,60,2.6784
154,71,2.6784
142,91,2.592
150,61,2.6784
358,46,2.592
1122,36,2.6784
542,32,2.6784
564,7,2.4192
924,15,2.6784
906,21,2.592
406,42,2.6784
281,55,2.592
218,60,2.6784
183,71,2.6784
159,91,2.592
336,61,2.6784
483,46,2.592
1137,36,2.6784
945,32,2.6784
1634,7,2.4192
685,15,2.6784
853,21,2.592
357,42,2.6784
232,55,2.592
181,60,2.6784
144,71,2.6784
133,91,2.592
107,61,2.6784
254,46,2.592
1296,36,2.6784
1251,32,2.6784
1325,7,2.4192
965,15,2.6784
1149,21,2.592
386,42,2.6784
293,55,2.592
208,60,2.6784
170,71,2.6784
159,91,2.592
265,61,2.6784
433,46,2.592
1146,36,2.6784
1124,32,2.6784
520,7,2.5056
1254,15,2.6784
591,21,2.592
498,42,2.6784
352,55,2.592
221,60,2.6784
178,71,2.6784
149,91,2.592
225,61,2.6784
1076,46,2.592
2087,36,2.6784
2830,32,2.6784
2539,7,2.4192
2935,15,2.6784
2429,21,2.592
736,42,2.6784
487,55,2.592
346,60,2.6784
249,71,2.6784
223,91,2.592
250,61,2.6784
403,46,2.592
976,36,2.6784
1300,32,2.6784
2803,7,2.4192
1614,15,2.6784
1615,21,2.592
952,42,2.6784
441,55,2.592
350,60,2.6784
210,71,2.6784
236,91,2.592
297,61,2.6784
354,46,2.592
755,36,2.6784
3863,32,2.6784
1804,7,2.4192
1756,15,2.6784
947,21,2.592
445,42,2.6784
340,55,2.592
240,60,2.6784
194,71,2.6784
155,91,2.592
244,61,2.6784
585,46,2.592
580,36,2.6784
1835,32,2.6784
2994,7,2.5056
3085,15,2.6784
1773,21,2.592
783,42,2.6784
514,55,2.592
375,60,2.6784
280,71,2.6784
189,91,2.592
253,61,2.6784
581,46,2.592
1276,36,2.6784
1812,32,2.6784
2221,7,2.4192
1565,15,2.6784
902,21,2.592
815,42,2.6784
391,55,2.592
275,60,2.6784
236,71,2.6784
192,91,2.592
208,61,2.6784
281,46,2.592
697,36,2.6784
1109,32,2.6784
1397,7,2.4192
1882,15,2.6784
812,21,2.592
533,42,2.6784
360,55,2.592
276,60,2.6784
216,71,2.6784
190,91,2.592
334,61,2.6784
495,46,2.592
1503,36,2.6784
1546,32,2.6784
1636,7,2.4192
886,15,2.6784
635,21,2.592
484,42,2.6784
322,55,2.592
254,60,2.6784
203,71,2.6784
169,91,2.592
153,61,2.6784
338,46,2.592
502,36,2.6784
2756,32,2.6784
2863,7,2.5056
1348,15,2.6784
1025,21,2.592
657,42,2.6784
423,55,2.592
322,60,2.6784
246,71,2.6784
183,91,2.592
348,61,2.6784
