Unnamed: 0,retirobaixo,tresmarias,queimado,sobradinho,itaparica,peixeangelical,serradamesa,tucurui,pamx,xingo,canabrava,saosalvador,estreito,lajeado
0,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
1,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
2,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
3,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
4,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
5,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54237.35927120928,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
6,241.59,19528.0,557.0,34116.0,10782.0,2741.0,53650.69679309629,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
7,241.59,19414.34812492187,557.0,34116.0,10782.0,2741.0,52775.44204959036,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
8,241.59,19466.210171757284,557.0,34116.0,10782.0,2741.0,51907.091415210045,47950.401400939736,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
9,241.59,19528.0,557.0,34002.20656438798,10782.0,2741.0,51521.365294874224,45588.61635493332,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
10,241.59,19528.0,557.0,34116.0,10782.0,2741.0,51699.71611255464,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
11,241.59,19528.0,557.0,34116.0,10782.0,2741.0,51976.73312942498,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
12,241.59,19528.0,557.0,34116.0,10782.0,2741.0,53610.81176173704,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
13,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
14,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
15,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
16,241.59,19412.17736433131,557.0,34116.0,10782.0,2741.0,53630.72942432689,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
17,241.59,19186.83795103276,557.0,34116.0,10782.0,2741.0,52567.56437576215,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
18,241.59,18804.61240743439,557.0,33895.01129223977,10782.0,2741.0,51288.40653222585,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
19,241.59,18317.61329619589,556.2549416866018,33034.22188171837,10782.0,2741.0,49886.08054348528,46397.603500919206,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
20,241.59,17817.309389114773,557.0,31831.74916052546,10782.0,2741.0,48587.750089792346,41342.78887750604,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
21,241.59,17748.306208935217,557.0,30725.18120770429,10782.0,2741.0,47899.24752623126,37651.7826048321,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
22,241.59,18396.80975970976,557.0,32650.850160183505,10782.0,2741.0,47998.92515447098,40740.55569895508,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
23,241.59,19528.0,557.0,34116.0,10782.0,2741.0,48761.54888352657,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
24,241.59,19528.0,557.0,34116.0,10782.0,2741.0,50936.27202449573,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
25,241.59,19528.0,557.0,34116.0,10782.0,2741.0,52851.830405903165,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
26,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54357.10276417811,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
27,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
28,241.59,19528.0,557.0,34116.0,10782.0,2741.0,53925.353424326895,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
29,241.59,19336.04082033131,557.0,34116.0,10782.0,2741.0,53094.899674331966,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
30,241.59,19036.45084433217,557.0,34093.21289223977,10782.0,2741.0,51975.22988420448,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
31,241.59,18645.3415628022,557.0,33434.515648566594,10782.0,2741.0,50705.12061566526,47150.23390091921,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
32,241.59,18245.35395444655,553.3888422142803,32248.342389559053,10782.0,2741.0,49554.86554377387,41819.83658915323,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
33,241.59,18164.905996866528,557.0,31698.26204829365,10782.0,2741.0,48886.27807293936,36156.83689957121,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
34,241.59,18403.44581203156,557.0,32801.48095357786,10782.0,2741.0,49376.19377776405,39492.05407011775,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
35,241.59,19528.0,557.0,34116.0,10782.0,2741.0,51666.89415077007,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
36,241.59,19528.0,557.0,34116.0,10782.0,2741.0,53965.43959873269,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
37,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
38,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
39,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
40,241.59,19313.07656433131,557.0,34116.0,10782.0,2741.0,53700.367824326895,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
41,241.59,18896.20233424511,556.8210369374953,34112.70337081779,10782.0,2741.0,52704.460635742245,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
42,241.59,18388.875275727707,550.8901697378017,33412.33711082782,10782.0,2741.0,51475.877710725625,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
43,241.59,17835.889574643217,539.532853747825,32299.146757775372,10782.0,2741.0,50107.90745358319,46869.00190091921,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
44,241.59,17383.3922348469,533.6123345000635,30839.528661796092,10782.0,2741.0,49039.65432502239,39825.60391039879,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
45,241.59,16854.450881224035,530.0997800092238,29478.555752030996,10782.0,2741.0,47879.04777990663,34735.969803996304,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
46,241.59,16840.32582741032,557.0,28319.19740921609,10782.0,2741.0,47592.54098677554,30857.73829666832,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
47,241.59,17487.026377436254,557.0,29134.146788812875,10782.0,2741.0,48063.59853938518,39925.22781029925,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
48,241.59,19528.0,557.0,34116.0,10782.0,2741.0,50592.36006599573,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
49,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
50,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
51,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
52,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
53,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
54,241.59,19525.21285447895,557.0,34116.0,10782.0,2741.0,53946.87230361127,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
55,241.59,19368.71264581577,557.0,33898.76212696166,10782.0,2741.0,53164.60172688094,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
56,241.59,19070.75545583048,557.0,33064.29009479719,10782.0,2741.0,52284.77214073533,49272.32140093974,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
57,241.59,18938.043379761497,557.0,32183.89572523513,10782.0,2741.0,51909.15163239323,48194.07300623436,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
58,241.59,18939.93430007984,557.0,31665.36966901127,10782.0,2741.0,52602.84464117458,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
59,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
60,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
61,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
62,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
63,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
64,241.59,19463.06696433131,557.0,34116.0,10782.0,2741.0,54096.771024326896,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
65,241.59,19120.94832967556,557.0,34116.0,10782.0,2741.0,53328.19293277829,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
66,241.59,18679.974006207485,557.0,33670.02569223977,10782.0,2741.0,52274.94182994941,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
67,241.59,18185.22930492519,557.0,32650.55570762135,10782.0,2741.0,51087.11482613118,49046.54110091921,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
68,241.59,17861.496024498905,557.0,31343.2354181741,10782.0,2741.0,50021.33532433754,44825.98842915766,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
69,241.59,17495.11463549017,557.0,29995.45822826393,10782.0,2741.0,49030.60721480157,41078.946334976434,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
70,241.59,18190.535572385525,557.0,30617.14092949175,10782.0,2741.0,48672.76979176701,41483.73702450607,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
71,241.59,19371.457978444232,557.0,34116.0,10782.0,2741.0,48941.93785704839,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
72,241.59,19528.0,557.0,34116.0,10782.0,2741.0,49624.6654348055,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
73,241.59,19528.0,557.0,34116.0,10782.0,2741.0,50913.92683471157,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
74,241.59,19528.0,557.0,34116.0,10782.0,2741.0,52133.44025261309,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
75,241.59,19528.0,557.0,34116.0,10782.0,2741.0,52831.046922382,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
76,241.59,19528.0,557.0,34116.0,10782.0,2741.0,52321.14644827209,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
77,241.59,19426.76082033131,557.0,34116.0,10782.0,2741.0,51304.53848715287,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
78,241.59,19143.003905316946,557.0,34042.323292239766,10782.0,2741.0,50033.61203707325,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
79,241.59,18727.547283727792,557.0,33288.26800257478,10782.0,2741.0,48639.7212376499,46882.39390091921,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
80,241.59,18236.64804853152,550.7968422142803,32066.7318703698,10782.0,2741.0,47191.87699622961,39802.69310997389,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
81,241.59,18359.77327568224,557.0,30787.715223063748,10782.0,2741.0,46762.673800337965,33952.42603560529,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
82,241.59,19528.0,557.0,33458.337224618655,10782.0,2741.0,47490.9412538892,37322.92177511807,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
83,241.59,19528.0,557.0,34116.0,10782.0,2741.0,49952.1448260546,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
84,241.59,19528.0,557.0,34116.0,10782.0,2741.0,51927.82724025578,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
85,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54000.42260310008,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
86,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
87,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
88,241.59,19528.0,557.0,34116.0,10782.0,2741.0,53545.02062432689,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
89,241.59,19504.52082033131,557.0,34116.0,10782.0,2741.0,52487.20443795448,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
90,241.59,19295.557434839506,551.0661806312448,33844.121692239765,10782.0,2741.0,51216.26620947593,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
91,241.59,19061.889663655773,539.7060034332753,33086.1752874655,10782.0,2741.0,49822.15349451888,46874.358700919205,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
92,241.59,18764.62113933869,523.4148383090318,32014.647076749432,10782.0,2741.0,48539.55083054687,41116.58679052553,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
93,241.59,18699.371429388186,536.0654151548573,30720.97699373209,10782.0,2741.0,47508.288239247966,35318.00608920148,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
94,241.59,19528.0,557.0,31171.901645962345,10782.0,2741.0,46843.78206880379,33579.66496918209,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
95,241.59,19528.0,557.0,34116.0,10782.0,2741.0,47778.9014709888,43573.78921628464,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
96,241.59,19528.0,557.0,34116.0,10782.0,2741.0,51274.764805228464,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
97,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54344.20983029521,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
98,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
99,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
100,241.59,19528.0,557.0,34116.0,10782.0,2741.0,53968.20782432689,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
101,241.59,19525.25682033131,557.0,34116.0,10782.0,2741.0,53148.03909153057,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
102,241.59,19391.235142175225,557.0,33710.20169223977,10782.0,2741.0,52138.0605902359,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
103,241.59,19119.85750850497,557.0,32960.41075759204,10782.0,2741.0,50848.79645730528,47444.85790091921,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
104,241.59,18780.985480242864,557.0,31840.061729253266,10782.0,2741.0,49775.90303535775,42083.02932344361,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
105,241.59,18838.915058475388,557.0,31544.823216197234,10782.0,2741.0,49594.43751822055,40064.949119801015,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
106,241.59,18967.91179321954,557.0,30632.690901823164,10782.0,2741.0,50205.34605323456,43410.99021366871,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
107,241.59,19528.0,557.0,31669.547757562654,10782.0,2741.0,50909.652205604914,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
108,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54167.60779015748,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
109,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
110,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
111,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
112,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
113,241.59,19291.97682033131,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
114,241.59,18917.50768617589,557.0,33924.47369223977,10782.0,2741.0,54129.00350361127,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
115,241.59,18462.38897359208,557.0,33223.77232232168,10782.0,2741.0,53549.82194768208,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
116,241.59,18003.21476898223,557.0,31902.698460455296,10782.0,2741.0,53171.73342511465,48624.32140093974,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
117,241.59,17799.9730823039,557.0,30644.21269433384,10782.0,2741.0,52958.05392095734,47981.00358463256,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
118,241.59,19528.0,557.0,32652.23003086672,10782.0,2741.0,53614.18620824015,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
119,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
120,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
121,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
122,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
123,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
124,241.59,19528.0,557.0,34116.0,10782.0,2741.0,53973.56462432689,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
125,241.59,19481.19282033131,557.0,34116.0,10782.0,2741.0,53223.36951390332,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
126,241.59,19312.46575974288,557.0,34116.0,10782.0,2741.0,52248.035500635466,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
127,241.59,18952.87553442292,557.0,33960.365326961655,10782.0,2741.0,51022.77818951123,48243.021100919206,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
128,241.59,18604.01590489325,557.0,33038.87262170425,10782.0,2741.0,49985.68959145439,43157.6446846133,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
