qnat,evap,conversor
2537,24,2.6784
3360,6,2.4192
7219,11,2.6784
3937,7,2.592
1904,34,2.6784
1398,53,2.592
1065,61,2.6784
829,71,2.6784
781,93,2.592
1025,60,2.6784
1684,41,2.592
1789,35,2.6784
2575,24,2.6784
3247,6,2.5056
2357,11,2.6784
1258,7,2.592
687,34,2.6784
474,53,2.592
361,61,2.6784
276,71,2.6784
363,93,2.592
732,60,2.6784
1226,41,2.592
1643,35,2.6784
2531,24,2.6784
2626,6,2.4192
2363,11,2.6784
2123,7,2.592
806,34,2.6784
554,53,2.592
413,61,2.6784
319,71,2.6784
354,93,2.592
596,60,2.6784
1913,41,2.592
3622,35,2.6784
3415,24,2.6784
3432,6,2.4192
2668,11,2.6784
1939,7,2.592
782,34,2.6784
499,53,2.592
379,61,2.6784
290,71,2.6784
449,93,2.592
355,60,2.6784
1029,41,2.592
1962,35,2.6784
3635,24,2.6784
5764,6,2.4192
6391,11,2.6784
5797,7,2.592
2574,34,2.6784
1481,53,2.592
1118,61,2.6784
847,71,2.6784
749,93,2.592
1052,60,2.6784
1702,41,2.592
2488,35,2.6784
2193,24,2.6784
3413,6,2.5056
3638,11,2.6784
3182,7,2.592
1184,34,2.6784
752,53,2.592
576,61,2.6784
471,71,2.6784
474,93,2.592
604,60,2.6784
1088,41,2.592
1639,35,2.6784
2025,24,2.6784
2469,6,2.4192
2578,11,2.6784
1934,7,2.592
1007,34,2.6784
530,53,2.592
381,61,2.6784
300,71,2.6784
251,93,2.592
879,60,2.6784
1848,41,2.592
3690,35,2.6784
3424,24,2.6784
2951,6,2.4192
2358,11,2.6784
1375,7,2.592
648,34,2.6784
470,53,2.592
357,61,2.6784
281,71,2.6784
287,93,2.592
446,60,2.6784
706,41,2.592
1775,35,2.6784
3302,24,2.6784
3303,6,2.4192
2307,11,2.6784
1491,7,2.592
744,34,2.6784
512,53,2.592
460,61,2.6784
286,71,2.6784
482,93,2.592
990,60,2.6784
1528,41,2.592
1590,35,2.6784
3331,24,2.6784
7270,6,2.5056
8264,11,2.6784
3395,7,2.592
1921,34,2.6784
1377,53,2.592
1022,61,2.6784
810,71,2.6784
922,93,2.592
1075,60,2.6784
1905,41,2.592
2582,35,2.6784
2638,24,2.6784
3067,6,2.4192
3516,11,2.6784
2834,7,2.592
941,34,2.6784
665,53,2.592
551,61,2.6784
395,71,2.6784
462,93,2.592
938,60,2.6784
1345,41,2.592
1860,35,2.6784
2677,24,2.6784
4927,6,2.4192
3539,11,2.6784
2313,7,2.592
998,34,2.6784
684,53,2.592
523,61,2.6784
392,71,2.6784
1012,93,2.592
1066,60,2.6784
1792,41,2.592
4076,35,2.6784
8069,24,2.6784
6658,6,2.4192
6226,11,2.6784
3547,7,2.592
1588,34,2.6784
1195,53,2.592
910,61,2.6784
709,71,2.6784
694,93,2.592
1111,60,2.6784
2372,41,2.592
4133,35,2.6784
3025,24,2.6784
3974,6,2.5056
3088,11,2.6784
2210,7,2.592
912,34,2.6784
714,53,2.592
532,61,2.6784
416,71,2.6784
328,93,2.592
800,60,2.6784
1098,41,2.592
2865,35,2.6784
6628,24,2.6784
7109,6,2.4192
7976,11,2.6784
7929,7,2.592
4317,34,2.6784
2139,53,2.592
1553,61,2.6784
1210,71,2.6784
1032,93,2.592
1864,60,2.6784
3122,41,2.592
5303,35,2.6784
5709,24,2.6784
4222,6,2.4192
3732,11,2.6784
2114,7,2.592
1251,34,2.6784
739,53,2.592
547,61,2.6784
431,71,2.6784
478,93,2.592
483,60,2.6784
1132,41,2.592
1324,35,2.6784
2254,24,2.6784
3106,6,2.4192
5570,11,2.6784
3585,7,2.592
1483,34,2.6784
1082,53,2.592
839,61,2.6784
901,71,2.6784
694,93,2.592
1161,60,2.6784
1978,41,2.592
3384,35,2.6784
3521,24,2.6784
3002,6,2.5056
3621,11,2.6784
2119,7,2.592
906,34,2.6784
706,53,2.592
533,61,2.6784
410,71,2.6784
457,93,2.592
630,60,2.6784
1427,41,2.592
6585,35,2.6784
4418,24,2.6784
6106,6,2.4192
3517,11,2.6784
2425,7,2.592
1233,34,2.6784
755,53,2.592
563,61,2.6784
425,71,2.6784
355,93,2.592
546,60,2.6784
1066,41,2.592
1644,35,2.6784
1647,24,2.6784
1857,6,2.4192
2954,11,2.6784
1861,7,2.592
