qnat,evap,conversor
4676,171,2.6784
4805,109,2.4192
6630,61,2.6784
7333,56,2.592
4467,108,2.6784
2397,104,2.592
1870,165,2.6784
1619,203,2.6784
1448,234,2.592
1376,267,2.6784
1935,245,2.592
2207,223,2.6784
4036,171,2.6784
4531,109,2.5056
3214,61,2.6784
1976,56,2.592
1425,108,2.6784
1292,104,2.592
1176,165,2.6784
995,203,2.6784
905,234,2.592
982,267,2.6784
2107,245,2.592
3594,223,2.6784
5014,171,2.6784
5516,109,2.4192
3429,61,2.6784
2692,56,2.592
1905,108,2.6784
1357,104,2.592
1250,165,2.6784
1072,203,2.6784
915,234,2.592
1194,267,2.6784
1799,245,2.592
3336,223,2.6784
6110,171,2.6784
4222,109,2.4192
2298,61,2.6784
1615,56,2.592
1785,108,2.6784
1167,104,2.592
997,165,2.6784
897,203,2.6784
799,234,2.592
877,267,2.6784
905,245,2.592
1605,223,2.6784
4519,171,2.6784
5442,109,2.4192
5408,61,2.6784
4716,56,2.592
3740,108,2.6784
2010,104,2.592
1557,165,2.6784
1237,203,2.6784
1055,234,2.592
1079,267,2.6784
1178,245,2.592
2585,223,2.6784
2696,171,2.6784
2664,109,2.5056
4174,61,2.6784
2764,56,2.592
2109,108,2.6784
1300,104,2.592
1092,165,2.6784
934,203,2.6784
861,234,2.592
887,267,2.6784
1597,245,2.592
2724,223,2.6784
4643,171,2.6784
5598,109,2.4192
4242,61,2.6784
2888,56,2.592
2237,108,2.6784
1454,104,2.592
1231,165,2.6784
1036,203,2.6784
900,234,2.592
920,267,2.6784
2395,245,2.592
4703,223,2.6784
6307,171,2.6784
4237,109,2.4192
3850,61,2.6784
2372,56,2.592
1613,108,2.6784
1419,104,2.592
1157,165,2.6784
1033,203,2.6784
956,234,2.592
914,267,2.6784
1538,245,2.592
2957,223,2.6784
5096,171,2.6784
5897,109,2.4192
4891,61,2.6784
2156,56,2.592
1627,108,2.6784
1258,104,2.592
1107,165,2.6784
1035,203,2.6784
936,234,2.592
1285,267,2.6784
1020,245,2.592
1707,223,2.6784
3103,171,2.6784
4739,109,2.5056
5500,61,2.6784
4297,56,2.592
1914,108,2.6784
1416,104,2.592
1187,165,2.6784
1055,203,2.6784
861,234,2.592
926,267,2.6784
2138,245,2.592
3793,223,2.6784
5004,171,2.6784
4423,109,2.4192
4132,61,2.6784
4791,56,2.592
2721,108,2.6784
1658,104,2.592
1423,165,2.6784
1260,203,2.6784
1022,234,2.592
1137,267,2.6784
1670,245,2.592
2315,223,2.6784
4624,171,2.6784
4420,109,2.4192
5277,61,2.6784
3360,56,2.592
2274,108,2.6784
1547,104,2.592
1300,165,2.6784
1117,203,2.6784
1024,234,2.592
1324,267,2.6784
2274,245,2.592
5170,223,2.6784
6185,171,2.6784
9469,109,2.4192
7966,61,2.6784
5097,56,2.592
2881,108,2.6784
2113,104,2.592
1774,165,2.6784
1522,203,2.6784
1290,234,2.592
1394,267,2.6784
2205,245,2.592
5150,223,2.6784
6328,171,2.6784
4864,109,2.5056
4749,61,2.6784
3729,56,2.592
2518,108,2.6784
1738,104,2.592
1468,165,2.6784
1278,203,2.6784
1102,234,2.592
962,267,2.6784
1651,245,2.592
3848,223,2.6784
5632,171,2.6784
6944,109,2.4192
7973,61,2.6784
7150,56,2.592
8764,108,2.6784
3939,104,2.592
2591,165,2.6784
2078,203,2.6784
1703,234,2.592
1978,267,2.6784
3267,245,2.592
5593,223,2.6784
7284,171,2.6784
10080,109,2.4192
4595,61,2.6784
5591,56,2.592
3581,108,2.6784
2453,104,2.592
2009,165,2.6784
1724,203,2.6784
1497,234,2.592
1518,267,2.6784
2171,245,2.592
3769,223,2.6784
3749,171,2.6784
5142,109,2.4192
5706,61,2.6784
7283,56,2.592
