qnat,evap,conversor
138,-21,2.6784
145,-14,2.4192
408,9,2.6784
357,30,2.592
163,45,2.6784
112,49,2.592
89,69,2.6784
74,83,2.6784
55,60,2.592
70,30,2.6784
77,1,2.592
101,-12,2.6784
269,-21,2.6784
128,-14,2.5056
111,9,2.6784
62,30,2.592
48,45,2.6784
61,49,2.592
58,69,2.6784
45,83,2.6784
34,60,2.592
28,30,2.6784
100,1,2.592
181,-12,2.6784
409,-21,2.6784
232,-14,2.4192
179,9,2.6784
125,30,2.592
122,45,2.6784
111,49,2.592
91,69,2.6784
82,83,2.6784
59,60,2.592
74,30,2.6784
82,1,2.592
307,-12,2.6784
245,-21,2.6784
100,-14,2.4192
74,9,2.6784
66,30,2.592
58,45,2.6784
46,49,2.592
46,69,2.6784
43,83,2.6784
41,60,2.592
45,30,2.6784
62,1,2.592
74,-12,2.6784
296,-21,2.6784
384,-14,2.4192
214,9,2.6784
263,30,2.592
148,45,2.6784
82,49,2.592
61,69,2.6784
57,83,2.6784
53,60,2.592
43,30,2.6784
64,1,2.592
183,-12,2.6784
133,-21,2.6784
131,-14,2.5056
191,9,2.6784
100,30,2.592
73,45,2.6784
52,49,2.592
44,69,2.6784
34,83,2.6784
34,60,2.592
45,30,2.6784
103,1,2.592
158,-12,2.6784
226,-21,2.6784
443,-14,2.4192
129,9,2.6784
94,30,2.592
98,45,2.6784
66,49,2.592
52,69,2.6784
44,83,2.6784
36,60,2.592
39,30,2.6784
149,1,2.592
279,-12,2.6784
331,-21,2.6784
312,-14,2.4192
233,9,2.6784
169,30,2.592
155,45,2.6784
113,49,2.592
95,69,2.6784
97,83,2.6784
92,60,2.592
123,30,2.6784
182,1,2.592
373,-12,2.6784
438,-21,2.6784
420,-14,2.4192
213,9,2.6784
187,30,2.592
132,45,2.6784
105,49,2.592
97,69,2.6784
85,83,2.6784
84,60,2.592
105,30,2.6784
85,1,2.592
167,-12,2.6784
195,-21,2.6784
249,-14,2.5056
301,9,2.6784
136,30,2.592
104,45,2.6784
86,49,2.592
73,69,2.6784
59,83,2.6784
62,60,2.592
89,30,2.6784
256,1,2.592
319,-12,2.6784
364,-21,2.6784
193,-14,2.4192
221,9,2.6784
217,30,2.592
118,45,2.6784
101,49,2.592
96,69,2.6784
76,83,2.6784
87,60,2.592
88,30,2.6784
98,1,2.592
280,-12,2.6784
363,-21,2.6784
192,-14,2.4192
259,9,2.6784
139,30,2.592
107,45,2.6784
85,49,2.592
74,69,2.6784
60,83,2.6784
64,60,2.592
102,30,2.6784
174,1,2.592
331,-12,2.6784
651,-21,2.6784
420,-14,2.4192
604,9,2.6784
213,30,2.592
149,45,2.6784
126,49,2.592
98,69,2.6784
96,83,2.6784
86,60,2.592
101,30,2.6784
99,1,2.592
323,-12,2.6784
210,-21,2.6784
375,-14,2.5056
270,9,2.6784
156,30,2.592
114,45,2.6784
93,49,2.592
79,69,2.6784
67,83,2.6784
56,60,2.592
68,30,2.6784
96,1,2.592
159,-12,2.6784
326,-21,2.6784
322,-14,2.4192
240,9,2.6784
213,30,2.592
129,45,2.6784
110,49,2.592
89,69,2.6784
73,83,2.6784
64,60,2.592
80,30,2.6784
126,1,2.592
292,-12,2.6784
314,-21,2.6784
139,-14,2.4192
181,9,2.6784
146,30,2.592
99,45,2.6784
83,49,2.592
70,69,2.6784
57,83,2.6784
53,60,2.592
79,30,2.6784
117,1,2.592
135,-12,2.6784
240,-21,2.6784
235,-14,2.4192
428,9,2.6784
177,30,2.592
116,45,2.6784
93,49,2.592
82,69,2.6784
75,83,2.6784
92,60,2.592
79,30,2.6784
90,1,2.592
230,-12,2.6784
206,-21,2.6784
233,-14,2.5056
248,9,2.6784
119,30,2.592
84,45,2.6784
77,49,2.592
64,69,2.6784
50,83,2.6784
44,60,2.592
54,30,2.6784
164,1,2.592
502,-12,2.6784
487,-21,2.6784
760,-14,2.4192
324,9,2.6784
221,30,2.592
150,45,2.6784
128,49,2.592
99,69,2.6784
82,83,2.6784
69,60,2.592
85,30,2.6784
106,1,2.592
247,-12,2.6784
303,-21,2.6784
320,-14,2.4192
202,9,2.6784
148,30,2.592
110,45,2.6784
88,49,2.592
74,69,2.6784
58,83,2.6784
56,60,2.592
69,30,2.6784
218,1,2.592
254,-12,2.6784
246,-21,2.6784
414,-14,2.4192
399,9,2.6784
305,30,2.592
161,45,2.6784
124,49,2.592
98,69,2.6784
82,83,2.6784
69,60,2.592
71,30,2.6784
56,1,2.592
143,-12,2.6784
267,-21,2.6784
449,-14,2.5056
413,9,2.6784
210,30,2.592
131,45,2.6784
117,49,2.592
89,69,2.6784
72,83,2.6784
72,60,2.592
69,30,2.6784
118,1,2.592
177,-12,2.6784
105,-21,2.6784
170,-14,2.4192
144,9,2.6784
169,30,2.592
87,45,2.6784
68,49,2.592
56,69,2.6784
47,83,2.6784
48,60,2.592
61,30,2.6784
126,1,2.592
194,-12,2.6784
111,-21,2.6784
167,-14,2.4192
90,9,2.6784
127,30,2.592
76,45,2.6784
54,49,2.592
42,69,2.6784
33,83,2.6784
29,60,2.592
30,30,2.6784
82,1,2.592
119,-12,2.6784
278,-21,2.6784
141,-14,2.4192
101,9,2.6784
95,30,2.592
62,45,2.6784
59,49,2.592
40,69,2.6784
31,83,2.6784
25,60,2.592
53,30,2.6784
84,1,2.592
265,-12,2.6784
214,-21,2.6784
123,-14,2.5056
190,9,2.6784
85,30,2.592
77,45,2.6784
77,49,2.592
57,69,2.6784
49,83,2.6784
48,60,2.592
39,30,2.6784
60,1,2.592
440,-12,2.6784
247,-21,2.6784
239,-14,2.4192
221,9,2.6784
205,30,2.592
137,45,2.6784
94,49,2.592
78,69,2.6784
63,83,2.6784
78,60,2.592
59,30,2.6784
141,1,2.592
272,-12,2.6784
164,-21,2.6784
203,-14,2.4192
137,9,2.6784
111,30,2.592
98,45,2.6784
73,49,2.592
77,69,2.6784
55,83,2.6784
65,60,2.592
106,30,2.6784
87,1,2.592
112,-12,2.6784
143,-21,2.6784
97,-14,2.4192
245,9,2.6784
93,30,2.592
63,45,2.6784
51,49,2.592
43,69,2.6784
37,83,2.6784
32,60,2.592
55,30,2.6784
95,1,2.592
100,-12,2.6784
242,-21,2.6784
225,-14,2.5056
277,9,2.6784
108,30,2.592
87,45,2.6784
70,49,2.592
58,69,2.6784
59,83,2.6784
55,60,2.592
62,30,2.6784
84,1,2.592
239,-12,2.6784
592,-21,2.6784
607,-14,2.4192
414,9,2.6784
202,30,2.592
154,45,2.6784
110,49,2.592
89,69,2.6784
74,83,2.6784
62,60,2.592
56,30,2.6784
79,1,2.592
94,-12,2.6784
300,-21,2.6784
311,-14,2.4192
168,9,2.6784
98,30,2.592
83,45,2.6784
72,49,2.592
61,69,2.6784
54,83,2.6784
58,60,2.592
77,30,2.6784
128,1,2.592
480,-12,2.6784
256,-21,2.6784
210,-14,2.4192
116,9,2.6784
76,30,2.592
64,45,2.6784
57,49,2.592
53,69,2.6784
48,83,2.6784
40,60,2.592
42,30,2.6784
56,1,2.592
40,-12,2.6784
271,-21,2.6784
395,-14,2.5056
181,9,2.6784
107,30,2.592
81,45,2.6784
59,49,2.592
61,69,2.6784
48,83,2.6784
38,60,2.592
69,30,2.6784
161,1,2.592
259,-12,2.6784
384,-21,2.6784
575,-14,2.4192
438,9,2.6784
211,30,2.592
156,45,2.6784
111,49,2.592
91,69,2.6784
78,83,2.6784
63,60,2.592
138,30,2.6784
214,1,2.592
248,-12,2.6784
598,-21,2.6784
414,-14,2.4192
285,9,2.6784
173,30,2.592
138,45,2.6784
107,49,2.592
86,69,2.6784
74,83,2.6784
65,60,2.592
100,30,2.6784
191,1,2.592
264,-12,2.6784
404,-21,2.6784
377,-14,2.4192
239,9,2.6784
154,30,2.592
113,45,2.6784
93,49,2.592
82,69,2.6784
66,83,2.6784
56,60,2.592
74,30,2.6784
193,1,2.592
242,-12,2.6784
244,-21,2.6784
201,-14,2.5056
193,9,2.6784
130,30,2.592
88,45,2.6784
76,49,2.592
65,69,2.6784
62,83,2.6784
68,60,2.592
90,30,2.6784
99,1,2.592
262,-12,2.6784
168,-21,2.6784
138,-14,2.4192
114,9,2.6784
84,30,2.592
65,45,2.6784
64,49,2.592
53,69,2.6784
47,83,2.6784
43,60,2.592
89,30,2.6784
197,1,2.592
270,-12,2.6784
289,-21,2.6784
180,-14,2.4192
120,9,2.6784
109,30,2.592
75,45,2.6784
64,49,2.592
58,69,2.6784
53,83,2.6784
63,60,2.592
92,30,2.6784
137,1,2.592
101,-12,2.6784
64,-21,2.6784
49,-14,2.4192
65,9,2.6784
45,30,2.592
34,45,2.6784
43,49,2.592
31,69,2.6784
24,83,2.6784
33,60,2.592
62,30,2.6784
206,1,2.592
345,-12,2.6784
157,-21,2.6784
210,-14,2.5056
246,9,2.6784
142,30,2.592
93,45,2.6784
75,49,2.592
75,69,2.6784
56,83,2.6784
52,60,2.592
99,30,2.6784
200,1,2.592
262,-12,2.6784
338,-21,2.6784
286,-14,2.4192
300,9,2.6784
166,30,2.592
120,45,2.6784
97,49,2.592
87,69,2.6784
68,83,2.6784
63,60,2.592
91,30,2.6784
172,1,2.592
291,-12,2.6784
327,-21,2.6784
192,-14,2.4192
233,9,2.6784
171,30,2.592
116,45,2.6784
99,49,2.592
84,69,2.6784
70,83,2.6784
51,60,2.592
78,30,2.6784
77,1,2.592
