qnat,evap,conversor
4870,163,2.6784
4550,88,2.4192
6537,47,2.6784
7298,35,2.592
4942,55,2.6784
2478,41,2.592
1905,81,2.6784
1647,138,2.6784
1453,190,2.592
1358,227,2.6784
1905,235,2.592
2121,202,2.6784
3811,163,2.6784
4681,88,2.5056
3329,47,2.6784
2079,35,2.592
1449,55,2.6784
1311,41,2.592
1190,81,2.6784
1009,138,2.6784
912,190,2.592
947,227,2.6784
1835,235,2.592
3525,202,2.6784
4911,163,2.6784
5837,88,2.4192
3481,47,2.6784
2788,35,2.592
1986,55,2.6784
1372,41,2.592
1266,81,2.6784
1092,138,2.6784
927,190,2.592
1090,227,2.6784
1770,235,2.592
3076,202,2.6784
5967,163,2.6784
4749,88,2.4192
2582,47,2.6784
1664,35,2.592
1808,55,2.6784
1202,41,2.592
1008,81,2.6784
911,138,2.6784
1017,190,2.592
1011,227,2.6784
898,235,2.592
1550,202,2.6784
4258,163,2.6784
5564,88,2.4192
5917,47,2.6784
4645,35,2.592
4183,55,2.6784
2080,41,2.592
1588,81,2.6784
1268,138,2.6784
1074,190,2.592
1061,227,2.6784
1179,235,2.592
2329,202,2.6784
2803,163,2.6784
2606,88,2.5056
4132,47,2.6784
2940,35,2.592
2190,55,2.6784
1338,41,2.592
1109,81,2.6784
950,138,2.6784
869,190,2.592
936,227,2.6784
1467,235,2.592
2607,202,2.6784
4526,163,2.6784
5601,88,2.4192
4652,47,2.6784
3247,35,2.592
2451,55,2.6784
1495,41,2.592
1255,81,2.6784
1052,138,2.6784
918,190,2.592
885,227,2.6784
2174,235,2.592
4502,202,2.6784
6203,163,2.6784
4594,88,2.4192
4005,47,2.6784
2484,35,2.592
1719,55,2.6784
1439,41,2.592
1177,81,2.6784
1035,138,2.6784
969,190,2.592
903,227,2.6784
1372,235,2.592
2961,202,2.6784
5135,163,2.6784
5913,88,2.4192
5465,47,2.6784
2235,35,2.592
1652,55,2.6784
1299,41,2.592
1118,81,2.6784
1045,138,2.6784
946,190,2.592
1259,227,2.6784
1025,235,2.592
1676,202,2.6784
3165,163,2.6784
4872,88,2.5056
6516,47,2.6784
4960,35,2.592
2096,55,2.6784
1479,41,2.592
1205,81,2.6784
1076,138,2.6784
873,190,2.592
920,227,2.6784
1802,235,2.592
4134,202,2.6784
4946,163,2.6784
4848,88,2.4192
4671,47,2.6784
4903,35,2.592
3113,55,2.6784
1711,41,2.592
1433,81,2.6784
1294,138,2.6784
1027,190,2.592
1087,227,2.6784
1636,235,2.592
2321,202,2.6784
4502,163,2.6784
4742,88,2.4192
5290,47,2.6784
3711,35,2.592
2411,55,2.6784
1583,41,2.592
1323,81,2.6784
1135,138,2.6784
1020,190,2.592
1308,227,2.6784
2045,235,2.592
5173,202,2.6784
6306,163,2.6784
9340,88,2.4192
8616,47,2.6784
5555,35,2.592
3032,55,2.6784
2158,41,2.592
1808,81,2.6784
1539,138,2.6784
1319,190,2.592
1343,227,2.6784
2071,235,2.592
5130,202,2.6784
6451,163,2.6784
5102,88,2.5056
5179,47,2.6784
4003,35,2.592
2658,55,2.6784
1772,41,2.592
1493,81,2.6784
1296,138,2.6784
1122,190,2.592
963,227,2.6784
1670,235,2.592
3709,202,2.6784
5701,163,2.6784
7019,88,2.4192
8198,47,2.6784
7561,35,2.592
9073,55,2.6784
4417,41,2.592
2659,81,2.6784
2119,138,2.6784
1735,190,2.592
1869,227,2.6784
3098,235,2.592
5446,202,2.6784
7077,163,2.6784
10782,88,2.4192
4721,47,2.6784
5595,35,2.592
3794,55,2.6784
2528,41,2.592
2040,81,2.6784
1756,138,2.6784
1507,190,2.592
1533,227,2.6784
2036,235,2.592
3854,202,2.6784
3754,163,2.6784
5101,88,2.4192
6242,47,2.6784
8013,35,2.592
4827,55,2.6784
2422,41,2.592
1968,81,2.6784
1663,138,2.6784
1606,190,2.592
1432,227,2.6784
3099,235,2.592
4252,202,2.6784
6264,163,2.6784
4693,88,2.5056
5659,47,2.6784
4304,35,2.592
2287,55,2.6784
1872,41,2.592
1606,81,2.6784
1384,138,2.6784
1209,190,2.592
1259,227,2.6784
1435,235,2.592
4813,202,2.6784
7589,163,2.6784
9304,88,2.4192
12939,47,2.6784
7926,35,2.592
3650,55,2.6784
2665,41,2.592
2195,81,2.6784
1851,138,2.6784
1573,190,2.592
1416,227,2.6784
2893,235,2.592
2915,202,2.6784
4659,163,2.6784
4674,88,2.4192
3623,47,2.6784
3985,35,2.592
2771,55,2.6784
1775,41,2.592
1536,81,2.6784
1332,138,2.6784
1093,190,2.592
1261,227,2.6784
1949,235,2.592
4148,202,2.6784
4447,163,2.6784
4207,88,2.4192
4757,47,2.6784
4990,35,2.592
2747,55,2.6784
1888,41,2.592
1515,81,2.6784
1295,138,2.6784
1123,190,2.592
1025,227,2.6784
967,235,2.592
1461,202,2.6784
3280,163,2.6784
4649,88,2.5056
5904,47,2.6784
7209,35,2.592
3607,55,2.6784
2020,41,2.592
1642,81,2.6784
1338,138,2.6784
1179,190,2.592
1169,227,2.6784
1599,235,2.592
3380,202,2.6784
3954,163,2.6784
1776,88,2.4192
2640,47,2.6784
3925,35,2.592
2089,55,2.6784
1344,41,2.592
1124,81,2.6784
987,138,2.6784
866,190,2.592
1083,227,2.6784
1467,235,2.592
2990,202,2.6784
4777,163,2.6784
2745,88,2.4192
3127,47,2.6784
2532,35,2.592
1473,55,2.6784
1250,41,2.592
994,81,2.6784
870,138,2.6784
728,190,2.592
652,227,2.6784
815,235,2.592
3412,202,2.6784
2533,163,2.6784
4180,88,2.4192
2272,47,2.6784
2662,35,2.592
1576,55,2.6784
1087,41,2.592
916,81,2.6784
802,138,2.6784
691,190,2.592
627,227,2.6784
1877,235,2.592
3181,202,2.6784
5427,163,2.6784
2556,88,2.5056
4516,47,2.6784
2935,35,2.592
1746,55,2.6784
1664,41,2.592
1398,81,2.6784
1084,138,2.6784
924,190,2.592
837,227,2.6784
1298,235,2.592
3635,202,2.6784
5968,163,2.6784
7268,88,2.4192
7502,47,2.6784
8336,35,2.592
6466,55,2.6784
2976,41,2.592
2079,81,2.6784
1696,138,2.6784
1393,190,2.592
1528,227,2.6784
1380,235,2.592
4234,202,2.6784
3921,163,2.6784
5203,88,2.4192
3721,47,2.6784
3192,35,2.592
2541,55,2.6784
1733,41,2.592
1419,81,2.6784
1451,138,2.6784
1110,190,2.592
1453,227,2.6784
1903,235,2.592
1642,202,2.6784
3603,163,2.6784
3898,88,2.4192
3455,47,2.6784
2976,35,2.592
1416,55,2.6784
1151,41,2.592
1031,81,2.6784
917,138,2.6784
829,190,2.592
823,227,2.6784
1533,235,2.592
2636,202,2.6784
3248,163,2.6784
5775,88,2.5056
8862,47,2.6784
7148,35,2.592
2619,55,2.6784
1838,41,2.592
1415,81,2.6784
1174,138,2.6784
998,190,2.592
905,227,2.6784
1010,235,2.592
3871,202,2.6784
5587,163,2.6784
7749,88,2.4192
6612,47,2.6784
3778,35,2.592
2376,55,2.6784
1791,41,2.592
1414,81,2.6784
1207,138,2.6784
1015,190,2.592
880,227,2.6784
1056,235,2.592
1539,202,2.6784
3440,163,2.6784
5385,88,2.4192
4524,47,2.6784
3466,35,2.592
2047,55,2.6784
1513,41,2.592
1273,81,2.6784
1043,138,2.6784
830,190,2.592
1104,227,2.6784
1882,235,2.592
2808,202,2.6784
5591,163,2.6784
6736,88,2.4192
3854,47,2.6784
1746,35,2.592
1446,55,2.6784
1136,41,2.592
1002,81,2.6784
912,138,2.6784
809,190,2.592
721,227,2.6784
872,235,2.592
1162,202,2.6784
3389,163,2.6784
7972,88,2.5056
5906,47,2.6784
2843,35,2.592
1675,55,2.6784
1203,41,2.592
1027,81,2.6784
943,138,2.6784
750,190,2.592
830,227,2.6784
2625,235,2.592
4168,202,2.6784
5208,163,2.6784
5031,88,2.4192
5487,47,2.6784
6117,35,2.592
3078,55,2.6784
1899,41,2.592
1530,81,2.6784
1296,138,2.6784
1080,190,2.592
1323,227,2.6784
2544,235,2.592
4135,202,2.6784
4205,163,2.6784
6121,88,2.4192
6772,47,2.6784
4896,35,2.592
2731,55,2.6784
1969,41,2.592
1576,81,2.6784
1390,138,2.6784
1207,190,2.592
1181,227,2.6784
1817,235,2.592
2434,202,2.6784
5052,163,2.6784
4706,88,2.4192
4438,47,2.6784
4490,35,2.592
2815,55,2.6784
1573,41,2.592
1318,81,2.6784
1150,138,2.6784
983,190,2.592
895,227,2.6784
1522,235,2.592
3804,202,2.6784
5491,163,2.6784
4677,88,2.5056
6743,47,2.6784
5480,35,2.592
2478,55,2.6784
1672,41,2.592
1449,81,2.6784
1316,138,2.6784
1252,190,2.592
1213,227,2.6784
1694,235,2.592
4329,202,2.6784
3020,163,2.6784
3845,88,2.4192
3977,47,2.6784
2522,35,2.592
1686,55,2.6784
1263,41,2.592
1121,81,2.6784
1001,138,2.6784
852,190,2.592
865,227,2.6784
2295,235,2.592
4880,202,2.6784
6149,163,2.6784
6442,88,2.4192
5143,47,2.6784
2650,35,2.592
2012,55,2.6784
1455,41,2.592
