qnat,evap,conversor
4932,163,2.6784
4470,88,2.4192
6506,47,2.6784
7283,35,2.592
5075,55,2.6784
2507,41,2.592
1918,81,2.6784
1656,138,2.6784
1456,190,2.592
1356,227,2.6784
1890,235,2.592
2100,202,2.6784
3729,163,2.6784
4726,88,2.5056
3369,47,2.6784
2113,35,2.592
1460,55,2.6784
1317,41,2.592
1193,81,2.6784
1014,138,2.6784
914,190,2.592
938,227,2.6784
1742,235,2.592
3500,202,2.6784
4880,163,2.6784
5908,88,2.4192
3502,47,2.6784
2817,35,2.592
2013,55,2.6784
1378,41,2.592
1270,81,2.6784
1098,138,2.6784
931,190,2.592
1059,227,2.6784
1757,235,2.592
3002,202,2.6784
5915,163,2.6784
4893,88,2.4192
2831,47,2.6784
1688,35,2.592
1808,55,2.6784
1215,41,2.592
1013,81,2.6784
915,138,2.6784
1027,190,2.592
1012,227,2.6784
905,235,2.592
1539,202,2.6784
4175,163,2.6784
5685,88,2.4192
5991,47,2.6784
4609,35,2.592
4390,55,2.6784
2106,41,2.592
1599,81,2.6784
1278,138,2.6784
1081,190,2.592
1055,227,2.6784
1179,235,2.592
2242,202,2.6784
2849,163,2.6784
2563,88,2.5056
4114,47,2.6784
3023,35,2.592
2212,55,2.6784
1352,41,2.592
1116,81,2.6784
956,138,2.6784
871,190,2.592
996,227,2.6784
1420,235,2.592
2567,202,2.6784
4477,163,2.6784
5572,88,2.4192
4772,47,2.6784
3389,35,2.592
2464,55,2.6784
1511,41,2.592
1263,81,2.6784
1057,138,2.6784
925,190,2.592
878,227,2.6784
2099,235,2.592
4435,202,2.6784
6164,163,2.6784
4712,88,2.4192
4019,47,2.6784
2504,35,2.592
1749,55,2.6784
1445,41,2.592
1183,81,2.6784
1038,138,2.6784
972,190,2.592
900,227,2.6784
1321,235,2.592
2909,202,2.6784
5102,163,2.6784
5871,88,2.4192
5585,47,2.6784
2263,35,2.592
1663,55,2.6784
1313,41,2.592
1122,81,2.6784
1048,138,2.6784
949,190,2.592
1244,227,2.6784
1029,235,2.592
1666,202,2.6784
3106,163,2.6784
4757,88,2.5056
6548,47,2.6784
5086,35,2.592
2139,55,2.6784
1496,41,2.592
1211,81,2.6784
1082,138,2.6784
879,190,2.592
918,227,2.6784
1700,235,2.592
4189,202,2.6784
4857,163,2.6784
4930,88,2.4192
4864,47,2.6784
4862,35,2.592
3234,55,2.6784
1725,41,2.592
1437,81,2.6784
1305,138,2.6784
1030,190,2.592
1079,227,2.6784
1609,235,2.592
2305,202,2.6784
4410,163,2.6784
4819,88,2.4192
5217,47,2.6784
3810,35,2.592
2442,55,2.6784
1595,41,2.592
1331,81,2.6784
1142,138,2.6784
1018,190,2.592
1300,227,2.6784
1986,235,2.592
5082,202,2.6784
6287,163,2.6784
9206,88,2.4192
8744,47,2.6784
5632,35,2.592
3083,55,2.6784
2174,41,2.592
1820,81,2.6784
1545,138,2.6784
1329,190,2.592
1329,227,2.6784
2042,235,2.592
5045,202,2.6784
6403,163,2.6784
5146,88,2.5056
5231,47,2.6784
4032,35,2.592
2692,55,2.6784
1783,41,2.592
1502,81,2.6784
1302,138,2.6784
1129,190,2.592
967,227,2.6784
1638,235,2.592
3604,202,2.6784
5678,163,2.6784
6972,88,2.4192
8193,47,2.6784
7572,35,2.592
9046,55,2.6784
4580,41,2.592
2683,81,2.6784
2133,138,2.6784
1746,190,2.592
1831,227,2.6784
3043,235,2.592
5398,202,2.6784
7008,163,2.6784
10823,88,2.4192
4787,47,2.6784
5586,35,2.592
3866,55,2.6784
2554,41,2.592
2051,81,2.6784
1766,138,2.6784
1510,190,2.592
1538,227,2.6784
1973,235,2.592
3866,202,2.6784
3740,163,2.6784
5059,88,2.4192
6156,47,2.6784
8024,35,2.592
4980,55,2.6784
2446,41,2.592
1978,81,2.6784
1676,138,2.6784
1603,190,2.592
1431,227,2.6784
3028,235,2.592
4201,202,2.6784
6233,163,2.6784
4753,88,2.5056
5652,47,2.6784
4383,35,2.592
2317,55,2.6784
1879,41,2.592
1614,81,2.6784
1392,138,2.6784
1212,190,2.592
1241,227,2.6784
1426,235,2.592
4682,202,2.6784
7507,163,2.6784
9317,88,2.4192
13111,47,2.6784
8133,35,2.592
3706,55,2.6784
2695,41,2.592
2208,81,2.6784
1862,138,2.6784
1582,190,2.592
1408,227,2.6784
2820,235,2.592
2928,202,2.6784
4666,163,2.6784
4619,88,2.4192
3678,47,2.6784
3990,35,2.592
2808,55,2.6784
1787,41,2.592
1543,81,2.6784
1340,138,2.6784
1100,190,2.592
1250,227,2.6784
1890,235,2.592
4109,202,2.6784
4454,163,2.6784
4200,88,2.4192
4774,47,2.6784
4972,35,2.592
2823,55,2.6784
1901,41,2.592
1525,81,2.6784
1302,138,2.6784
1129,190,2.592
1025,227,2.6784
975,235,2.592
1405,202,2.6784
3262,163,2.6784
4574,88,2.5056
5873,47,2.6784
7205,35,2.592
3735,55,2.6784
2038,41,2.592
1654,81,2.6784
1348,138,2.6784
1172,190,2.592
1183,227,2.6784
1535,235,2.592
3389,202,2.6784
4049,163,2.6784
1773,88,2.4192
2626,47,2.6784
3897,35,2.592
2154,55,2.6784
1357,41,2.592
1129,81,2.6784
993,138,2.6784
870,190,2.592
1059,227,2.6784
1463,235,2.592
2908,202,2.6784
4839,163,2.6784
2714,88,2.4192
3176,47,2.6784
2541,35,2.592
1488,55,2.6784
1266,41,2.592
1000,81,2.6784
875,138,2.6784
733,190,2.592
654,227,2.6784
797,235,2.592
3316,202,2.6784
2608,163,2.6784
4157,88,2.4192
2313,47,2.6784
2624,35,2.592
1633,55,2.6784
1093,41,2.592
922,81,2.6784
806,138,2.6784
696,190,2.592
623,227,2.6784
1822,235,2.592
3119,202,2.6784
5390,163,2.6784
2684,88,2.5056
4413,47,2.6784
3057,35,2.592
1738,55,2.6784
1677,41,2.592
1415,81,2.6784
1090,138,2.6784
931,190,2.592
837,227,2.6784
1237,235,2.592
3568,202,2.6784
5915,163,2.6784
7250,88,2.4192
7520,47,2.6784
8311,35,2.592
6592,55,2.6784
3036,41,2.592
2095,81,2.6784
1709,138,2.6784
1400,190,2.592
1528,227,2.6784
1359,235,2.592
4131,202,2.6784
3998,163,2.6784
5108,88,2.4192
3810,47,2.6784
3202,35,2.592
2563,55,2.6784
1745,41,2.592
1424,81,2.6784
1457,138,2.6784
1111,190,2.592
1426,227,2.6784
1916,235,2.592
1599,202,2.6784
3573,163,2.6784
3941,88,2.4192
3397,47,2.6784
3071,35,2.592
1436,55,2.6784
1156,41,2.592
1036,81,2.6784
921,138,2.6784
832,190,2.592
818,227,2.6784
1512,235,2.592
2625,202,2.6784
3225,163,2.6784
5701,88,2.5056
9090,47,2.6784
7453,35,2.592
2713,55,2.6784
1858,41,2.592
1423,81,2.6784
1182,138,2.6784
1004,190,2.592
904,227,2.6784
996,235,2.592
3758,202,2.6784
5530,163,2.6784
7722,88,2.4192
6675,47,2.6784
3870,35,2.592
2393,55,2.6784
1810,41,2.592
1424,81,2.6784
1213,138,2.6784
1023,190,2.592
881,227,2.6784
1042,235,2.592
1493,202,2.6784
3364,163,2.6784
5374,88,2.4192
4547,47,2.6784
3550,35,2.592
2063,55,2.6784
1526,41,2.592
1280,81,2.6784
1059,138,2.6784
845,190,2.592
1086,227,2.6784
1844,235,2.592
2732,202,2.6784
5568,163,2.6784
6747,88,2.4192
3959,47,2.6784
1766,35,2.592
1459,55,2.6784
1142,41,2.592
1007,81,2.6784
916,138,2.6784
811,190,2.592
725,227,2.6784
850,235,2.592
1181,202,2.6784
3250,163,2.6784
7989,88,2.5056
6056,47,2.6784
3020,35,2.592
1702,55,2.6784
1216,41,2.592
1030,81,2.6784
949,138,2.6784
755,190,2.592
814,227,2.6784
2536,235,2.592
4130,202,2.6784
5208,163,2.6784
5053,88,2.4192
5467,47,2.6784
6250,35,2.592
3170,55,2.6784
1921,41,2.592
1537,81,2.6784
1306,138,2.6784
1089,190,2.592
1294,227,2.6784
2503,235,2.592
4135,202,2.6784
4210,163,2.6784
6098,88,2.4192
6788,47,2.6784
5026,35,2.592
2774,55,2.6784
1990,41,2.592
1580,81,2.6784
1402,138,2.6784
1213,190,2.592
1170,227,2.6784
1788,235,2.592
2408,202,2.6784
5023,163,2.6784
4693,88,2.4192
4455,47,2.6784
4578,35,2.592
2863,55,2.6784
1586,41,2.592
1325,81,2.6784
1155,138,2.6784
989,190,2.592
899,227,2.6784
1465,235,2.592
3770,202,2.6784
5478,163,2.6784
4871,88,2.5056
6702,47,2.6784
5634,35,2.592
2529,55,2.6784
1685,41,2.592
1456,81,2.6784
1319,138,2.6784
1254,190,2.592
1199,227,2.6784
1675,235,2.592
4246,202,2.6784
3209,163,2.6784
4203,88,2.4192
4531,47,2.6784
2786,35,2.592
1697,55,2.6784
1275,41,2.592
1125,81,2.6784
1006,138,2.6784
857,190,2.592
856,227,2.6784
2183,235,2.592
4842,202,2.6784
6132,163,2.6784
6437,88,2.4192
5226,47,2.6784
2683,35,2.592
2051,55,2.6784
1463,41,2.592
1285,81,2.6784
1121,138,2.6784
1060,190,2.592
1473,227,2.6784
2712,235,2.592
2897,202,2.6784
1737,163,2.6784
1474,88,2.4192
1759,47,2.6784
1733,35,2.592
1266,55,2.6784
913,41,2.592
840,81,2.6784
757,138,2.6784
742,190,2.592
1048,227,2.6784
2132,235,2.592
6005,202,2.6784
5516,163,2.6784
2885,88,2.5056
3388,47,2.6784
3016,35,2.592
2049,55,2.6784
1288,41,2.592
1124,81,2.6784
1073,138,2.6784
867,190,2.592
1260,227,2.6784
1816,235,2.592
3899,202,2.6784
4630,163,2.6784
3847,88,2.4192
3650,47,2.6784
4737,35,2.592
2302,55,2.6784
1502,41,2.592
1272,81,2.6784
1041,138,2.6784
851,190,2.592
1167,227,2.6784
3089,235,2.592
4386,202,2.6784
4657,163,2.6784
3735,88,2.4192
4305,47,2.6784
6335,35,2.592
3484,55,2.6784
1797,41,2.592
1421,81,2.6784
1252,138,2.6784
1113,190,2.592
1048,227,2.6784
1816,235,2.592
2373,202,2.6784
4206,163,2.6784
4117,88,2.4192
2921,47,2.6784
2415,35,2.592
2201,55,2.6784
1285,41,2.592
1319,81,2.6784
988,138,2.6784
823,190,2.592
873,227,2.6784
2217,235,2.592
2832,202,2.6784
2109,163,2.6784
1952,88,2.5056
2160,47,2.6784
1847,35,2.592
1058,55,2.6784
1040,41,2.592
828,81,2.6784
766,138,2.6784
874,190,2.592
1472,227,2.6784
2025,235,2.592
4593,202,2.6784
5091,163,2.6784
6178,88,2.4192
2398,47,2.6784
2294,35,2.592
2068,55,2.6784
1378,41,2.592
1181,81,2.6784
962,138,2.6784
910,190,2.592
1143,227,2.6784
1335,235,2.592
2740,202,2.6784
5466,163,2.6784
5355,88,2.4192
6863,47,2.6784
4206,35,2.592
2810,55,2.6784
2273,41,2.592
1558,81,2.6784
1487,138,2.6784
1213,190,2.592
1426,227,2.6784
2063,235,2.592
3655,202,2.6784
5989,163,2.6784
9213,88,2.4192
16102,47,2.6784
8160,35,2.592
3901,55,2.6784
2822,41,2.592
2287,81,2.6784
1995,138,2.6784
1981,190,2.592
2018,227,2.6784
3197,235,2.592
3309,202,2.6784
6072,163,2.6784
9827,88,2.5056
11431,47,2.6784
4781,35,2.592
3794,55,2.6784
2423,41,2.592
2244,81,2.6784
1911,138,2.6784
1693,190,2.592
1802,227,2.6784
2227,235,2.592
4524,202,2.6784
5911,163,2.6784
5412,88,2.4192
4765,47,2.6784
6273,35,2.592
3003,55,2.6784
2071,41,2.592
1692,81,2.6784
1515,138,2.6784
1419,190,2.592
1779,227,2.6784
4042,235,2.592
6218,202,2.6784
6804,163,2.6784
8041,88,2.4192
7650,47,2.6784
7206,35,2.592
4334,55,2.6784
2771,41,2.592
2159,81,2.6784
1815,138,2.6784
1666,190,2.592
1700,227,2.6784
1737,235,2.592
1880,202,2.6784
4737,163,2.6784
7691,88,2.4192
9721,47,2.6784
7417,35,2.592
4915,55,2.6784
2797,41,2.592
2151,81,2.6784
1981,138,2.6784
1538,190,2.592
1961,227,2.6784
3801,235,2.592
5818,202,2.6784
6728,163,2.6784
3363,88,2.5056
2840,47,2.6784
4230,35,2.592
2138,55,2.6784
1478,41,2.592
1308,81,2.6784
1174,138,2.6784
1383,190,2.592
1494,227,2.6784
1838,235,2.592
3731,202,2.6784
5808,163,2.6784
8448,88,2.4192
7612,47,2.6784
7766,35,2.592
3451,55,2.6784
2083,41,2.592
1664,81,2.6784
1478,138,2.6784
1430,190,2.592
1798,227,2.6784
2287,235,2.592
3491,202,2.6784
6020,163,2.6784
7886,88,2.4192
5402,47,2.6784
2638,35,2.592
1912,55,2.6784
1429,41,2.592
1329,81,2.6784
1312,138,2.6784
1249,190,2.592
1061,227,2.6784
1198,235,2.592
1855,202,2.6784
3271,163,2.6784
2779,88,2.4192
2711,47,2.6784
3126,35,2.592
1879,55,2.6784
1260,41,2.592
1160,81,2.6784
926,138,2.6784
920,190,2.592
1014,227,2.6784
1431,235,2.592
3434,202,2.6784
5588,163,2.6784
3712,88,2.5056
4653,47,2.6784
3594,35,2.592
2241,55,2.6784
1317,41,2.592
1109,81,2.6784
1128,138,2.6784
1106,190,2.592
1101,227,2.6784
1719,235,2.592
2510,202,2.6784
3893,163,2.6784
2655,88,2.4192
3193,47,2.6784
2010,35,2.592
1404,55,2.6784
1080,41,2.592
1068,81,2.6784
1016,138,2.6784
940,190,2.592
980,227,2.6784
1699,235,2.592
6032,202,2.6784
9620,163,2.6784
4363,88,2.4192
3313,47,2.6784
2301,35,2.592
1425,55,2.6784
1122,41,2.592
1144,81,2.6784
1081,138,2.6784
1073,190,2.592
1189,227,2.6784
1411,235,2.592
1618,202,2.6784
3282,163,2.6784
5432,88,2.4192
4932,47,2.6784
5481,35,2.592
2727,55,2.6784
1613,41,2.592
1287,81,2.6784
1173,138,2.6784
1108,190,2.592
1425,227,2.6784
1949,235,2.592
3271,202,2.6784
4733,163,2.6784
9134,88,2.5056
13912,47,2.6784
4732,35,2.592
3050,55,2.6784
1971,41,2.592
1574,81,2.6784
1450,138,2.6784
1465,190,2.592
1925,227,2.6784
4069,235,2.592
5068,202,2.6784
6090,163,2.6784
