,retirobaixo,tresmarias,queimado,sobradinho,itaparica,peixeangelical,serradamesa,tucurui,pamx,xingo,canabrava,saosalvador,estreito,lajeado
0,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
1,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
2,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
3,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
4,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
5,241.59,19353.407220331308,557.0,34116.0,10782.0,2741.0,54055.19351120928,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
6,241.59,18932.44012499956,554.039204631245,33493.76018823981,10782.0,2741.0,53280.72307111928,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
7,241.59,18339.885196460305,542.9248058705493,32052.614476919392,10782.0,2741.0,52218.17380061424,48679.51994891921,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
8,241.59,17929.470902841553,524.2770351669101,30093.93310748262,10782.0,2741.0,51169.23649826985,44526.69522914291,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
9,241.59,17548.77749462292,531.857813793596,27829.41172478779,10782.0,2741.0,50596.4515936765,40279.16408307732,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
10,241.59,17411.333381532026,557.0,27192.49643904607,10782.0,2741.0,50593.73907852628,44428.24275991457,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
11,241.59,17563.786747370435,557.0,27384.34874230982,10782.0,2741.0,50683.57381623042,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
12,241.59,19225.13399320024,557.0,32654.071511752743,10782.0,2741.0,52130.34226313517,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
13,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54289.2319911059,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
14,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
15,241.59,19205.142974353632,557.0,34116.0,10782.0,2741.0,54338.40567216345,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
16,241.59,18609.972636451774,547.5163551330318,32541.31953615697,10782.0,2741.0,53380.98648400664,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
17,241.59,17922.16363593751,524.4323333968854,30691.690344666084,10782.0,2741.0,52136.13535513392,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
18,241.59,17063.20321710217,492.49301609582585,28268.309214425444,10782.0,2741.0,50669.727064775965,48903.209177839126,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
19,241.59,16100.12199399527,452.76493285425215,25262.69668307385,10607.64183644221,2617.671699018691,49080.68570911432,43134.49981508278,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
20,240.22299264094093,15140.391668443017,424.85464964895584,22053.47873919456,10143.076356484962,2717.980327111088,47602.39856553966,36253.15817553765,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
21,223.4692492557961,14595.699244162854,438.4898280387521,18942.464007246486,9737.59010110038,2741.0,46727.19256054564,30678.353421207423,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
22,241.59,14782.6461849407,502.9781215733528,18963.521148080094,10782.0,2741.0,46646.07163957426,31950.56280913794,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
23,241.59,16986.862080571384,526.807057105548,23049.07841578678,10782.0,2741.0,47221.71997877855,44461.26080029088,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
24,241.59,19528.0,557.0,31009.8054286672,10782.0,2741.0,49209.28415365364,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
25,241.59,19528.0,545.3178741107141,34116.0,10782.0,2741.0,50955.18374104609,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
26,241.59,19528.0,557.0,34116.0,10782.0,2741.0,52273.03054784503,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
27,241.59,19528.0,557.0,34116.0,10782.0,2741.0,53291.22193672771,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
28,241.59,19079.25224433131,528.7675551330318,33826.95153615698,10782.0,2741.0,52629.92954020729,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
29,241.59,18423.79092236144,503.3401252235554,32132.07579972143,10782.0,2741.0,51619.78870346938,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
30,241.59,17646.446728067705,468.9885603784609,29882.814246188853,10782.0,2741.0,50315.25848594424,48713.04277783912,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
31,241.59,16778.381319154523,432.1962357512677,27050.988129864843,10782.0,2732.842899018691,48861.00518229993,43696.92485484219,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
32,241.59,15918.118454396614,391.5223112386174,23827.23571185863,10354.67435452188,2741.0,47533.654739858735,36540.23913648526,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
33,241.59,15361.417765075796,383.9141371871533,21238.332073638427,10329.60566779996,2741.0,46679.982865492464,28993.72538966171,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
34,241.59,15138.078648662167,489.9757501010091,20405.08059780433,10782.0,2741.0,46990.30901218873,30513.162585642,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
35,241.59,17459.7796234472,557.0,23767.420047942545,10782.0,2741.0,49095.00254912491,45261.82289025645,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
36,241.59,19528.0,557.0,34116.0,10782.0,2741.0,51207.13812271167,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
37,241.59,19462.19206543176,557.0,34116.0,10782.0,2741.0,52991.32492964486,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
38,241.59,19448.040034215865,557.0,34116.0,10782.0,2741.0,54174.37870355443,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
39,241.59,19050.18265047419,557.0,33288.40372274807,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
40,241.59,18356.347818833416,531.4459551330318,32687.14536074204,10782.0,2741.0,53512.12987232689,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
41,241.59,17477.474290442988,493.0247789390667,30511.96426235597,10782.0,2741.0,52334.419124217646,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
42,241.59,16493.895654712553,448.07919353576926,27612.131472490182,10651.458698085651,2741.0,50918.44735364028,48549.66037783912,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
43,241.59,15465.222591403492,398.103580835664,24357.08057600449,10215.504589698789,2655.169299018691,49363.61430609102,43252.2770250682,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
44,241.59,14553.639998155191,355.13800863668126,20893.493087528885,10027.011078606623,2741.0,48115.2404431146,34382.7477848125,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
45,241.59,13549.215993378884,312.8960111884638,17531.479525134764,9794.39884430405,2741.0,46767.83789720253,27409.81039244728,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
46,241.59,13073.60083105391,302.4320533751623,14472.577783453356,9267.586570644298,2741.0,46300.46156742989,21716.696793274252,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
47,241.59,13243.917451373276,405.0674876005278,13338.010225500262,10506.888533382484,2741.0,46584.48691294069,28904.84546073267,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
48,241.59,15237.18296893173,479.5940594037878,20146.233048118327,10782.0,2741.0,48926.04582467373,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
49,241.59,18434.463174172008,557.0,28544.022508757567,10782.0,2741.0,53243.614051610406,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
50,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
51,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
52,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
53,241.59,19288.60722033131,557.0,34110.60385081783,10782.0,2741.0,54218.48951120928,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
54,241.59,18806.20745986827,554.039204631245,32650.11658170259,10782.0,2741.0,53577.55369351111,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
55,241.59,18171.08913633696,553.6384058705494,30203.39539466909,10782.0,2741.0,52607.99200615659,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
56,241.59,17411.15594317912,537.409358419445,27269.78710070226,10735.69835452188,2741.0,51547.58350730277,47442.29164093974,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
57,241.59,16801.011227667488,557.0,24284.16535910921,10628.531403957346,2741.0,50984.908910894206,44475.9066543211,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
58,241.59,16340.339664827356,557.0,21769.116999245573,10782.0,2741.0,51497.542742845726,46372.18505972589,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
59,241.59,16627.86905632548,557.0,23090.15021950923,10782.0,2741.0,53150.70139789099,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
60,241.59,16422.325489327362,557.0,24841.668930283133,10782.0,2741.0,54311.77528510242,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
61,241.59,16241.039678514931,557.0,26540.128869301032,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
62,241.59,17018.686738977445,557.0,32572.104109556043,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
63,241.59,17261.352337924127,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
64,241.59,16722.787413061156,555.5515551330318,34116.0,10782.0,2741.0,53908.53307232689,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
65,241.59,15923.96687636007,545.3113391144599,32270.28385081783,10782.0,2741.0,52958.15411457979,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
66,241.59,15011.754298783922,529.1440402735676,29595.50858403112,10782.0,2741.0,51717.52267817328,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
67,239.69897315330164,14045.482357980389,507.6971849177228,26399.876742779168,10449.61623644221,2741.0,50342.84669991715,47155.5103489192,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
68,238.33258291207312,13266.717065053906,476.58389151554695,23050.933032890232,9875.137222497404,2741.0,49096.96380645398,41107.04542603434,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
69,241.59,12427.691883165227,460.43150038612464,19659.71664694993,9443.581905128309,2741.0,47919.44731587675,35474.45892190745,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
70,241.59,12663.30448957899,485.9942009516412,18341.1387048708,10396.394524558124,2741.0,47380.7436043875,34059.74499681164,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
71,241.59,13369.690240688493,557.0,20110.66077761264,10782.0,2741.0,47462.88085627159,41974.87766232021,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
72,241.59,16394.145261359652,557.0,27126.75475030469,10782.0,2741.0,47958.40746275931,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
73,241.59,19223.81807918613,557.0,34116.0,10782.0,2741.0,49077.994436320056,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
74,241.59,19528.0,557.0,34116.0,10782.0,2741.0,50110.04036694212,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
75,241.59,19451.38297435363,557.0,34116.0,10782.0,2741.0,50626.87625506192,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
76,241.59,19313.538062548658,557.0,34116.0,10782.0,2741.0,49931.79967064913,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
77,241.59,18748.140954159506,533.7781569374954,32669.45185081783,10782.0,2741.0,48737.462025755216,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
78,241.59,17985.967620597297,499.031671116131,30360.241419827507,10782.0,2741.0,47284.024123776464,49219.26037783912,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
79,241.59,17092.980928514364,461.9051764605763,27422.294525373592,10722.81303644221,2681.953299018691,45708.5506659219,43935.40627110773,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
80,241.59,16141.240485881986,418.35098180465553,24151.203924615595,10272.708390680711,2491.277893745016,44086.52468069846,35028.86806658759,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
81,241.59,15787.721001219146,437.3800830051713,20820.101230270528,9699.56225673214,2741.0,43473.92985465395,27294.337104280025,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
82,241.59,17163.219386506764,496.6865932137636,21541.73397100717,10782.0,2741.0,44023.88986804608,28848.72565963928,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
83,241.59,19528.0,557.0,28540.557694071256,10782.0,2741.0,46300.10144196551,49210.45516732981,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
84,241.59,19528.0,557.0,34116.0,10782.0,2741.0,48090.10905528932,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
85,241.59,19528.0,557.0,34116.0,10782.0,2741.0,49993.48948999358,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
86,241.59,19528.0,557.0,34116.0,10782.0,2741.0,51196.57024154009,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
87,241.59,19528.0,526.5188774133908,34116.0,10782.0,2741.0,51069.84500473898,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
88,241.59,19344.41384433131,490.6004490362192,33044.85873615698,10782.0,2741.0,50031.32452843402,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
89,241.59,18856.69134146436,455.2339054191333,31519.04859377073,10782.0,2741.0,48797.92425000484,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
90,241.59,18169.21573057607,410.6807746863814,29030.983466687463,10782.0,2741.0,47347.03104237671,48421.097177839125,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
91,241.59,17457.922425688233,361.0439519156652,26111.88644770624,10677.28023644221,2631.063699018691,45774.08411130287,43129.04434993064,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
92,241.59,16699.701614610523,308.01054335922305,23015.69907014524,10359.795462039698,2534.2383911016623,44320.35938777884,35545.27643071036,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
93,241.59,16157.741308933802,282.0584360219673,19697.70659469973,9833.804289389003,2741.0,43107.43558062134,27863.57636831622,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
94,241.59,16604.92898139328,282.0063193259128,18225.26884632344,10535.07218939042,2741.0,42265.926613447045,24310.406094806694,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
95,241.59,19428.6190659594,497.22032504888085,20621.51751552333,10782.0,2741.0,43017.122171927294,32424.110897615417,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
96,241.59,19528.0,557.0,28842.27810173546,10782.0,2741.0,46328.09923003453,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
97,241.59,19528.0,557.0,34116.0,10782.0,2741.0,49228.55551904388,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
98,241.59,19528.0,557.0,34116.0,10782.0,2741.0,50814.96745304281,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
99,241.59,19528.0,557.0,34116.0,10782.0,2741.0,51515.35283799641,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
100,241.59,19392.625044331307,542.1595551330319,33082.356336156976,10782.0,2741.0,50899.40436899268,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
101,241.59,18925.505716277672,529.5176219395797,31138.83401667445,10782.0,2741.0,49902.86829142505,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
102,241.59,18312.83779653745,510.9011466538193,28523.201584432143,10782.0,2741.0,48712.00678802816,48447.881177839125,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
103,241.59,17563.70543758443,476.3068022687439,25619.63641304185,10704.064236442213,2644.455699018691,47242.90124853935,43726.33302163357,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
104,241.59,16763.757563905736,458.5208699581669,22482.72460501068,10326.711202251548,2741.0,45997.72096310981,36538.51221474961,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
105,241.59,16344.893740784892,450.5242617252287,20172.16126475689,10754.629895882705,2741.0,45633.90714897093,32637.303312199016,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
106,241.59,16011.69850537252,470.9239868220063,17345.480568219955,10544.926198956671,2741.0,46067.2787360356,34167.36162326011,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
107,241.59,16425.463237937427,476.2375485101029,16414.152808755174,10782.0,2741.0,46587.22106312303,42264.51997351725,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
108,241.59,17995.68898153463,557.0,19370.718952973253,10782.0,2741.0,49659.981261059416,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
109,241.59,19528.0,557.0,26326.43117699413,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
110,241.59,19528.0,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
111,241.59,19518.77497435363,557.0,34116.0,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
112,241.59,19059.338623836724,557.0,33851.057136156975,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
113,241.59,18359.869636904463,557.0,32308.851263774333,10782.0,2741.0,54400.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
114,241.59,17507.70912485212,557.0,29887.87433482229,10782.0,2741.0,53940.76555161127,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
115,241.59,16575.696471750056,557.0,27010.41287667516,10782.0,2741.0,53173.83113241236,49616.9599489192,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
116,241.59,15656.30410965834,557.0,23647.61527480038,10214.70635452188,2741.0,52614.65735155527,46136.99681272828,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
117,241.59,14976.836541637187,557.0,20345.513812609253,9736.015902791012,2741.0,52213.64752629552,43606.54290673756,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
118,241.59,16329.81282374475,557.0,20412.4775995025,10782.0,2741.0,52688.51932208632,48910.4302340259,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
119,241.59,18470.8062865917,557.0,24998.68265164049,10782.0,2741.0,54083.40110377472,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
